"",,Hassanabad#1,212070701,376,0,376,,,,,
"",,,,Hassanabad#1,212070703,494,0,494,,,
161 Total,,,,,,1620,0,1620,3,0,3
162,"Government Boys High School,Hassanabad No. 2",,,Hassanabad#2,212070704,633,0,633,2,0,2
"",,,,Hassanabad#2,212070705,271,0,271,,,
162 Total,,,,,,904,0,904,2,0,2
163,"Government Girls Middle School, ChowkKumharana Wala",,,Hassanabad#1,212070701,0,349,349,0,3,3
"",,,,Hassanabad#1,212070702,0,638,638,,,
"",,,,Hassanabad#1,212070703,0,451,451,,,
163 Total,,,,,,0,1438,1438,0,3,3
164,"Government Girls Middle School, ChowkKumharana Wala",,,Hassanabad#2,212070704,0,526,526,0,2,2
"",,,,Hassanabad#2,212070705,0,202,202,,,
164 Total,,,,,,0,728,728,0,2,2
165,"Government Girls Primary School,Ahmedabad, Chah Kotlay Wala",,,"Raza Abad (TarafMubarak Doem)",212070806,727,0,727,3,0,3
"",,,,"Raza Abad (TarafMubarak Doem)",212070805,777,0,777,,,
165 Total,,,,,,1504,0,1504,3,0,3
166,"Government Girls High School, KareemTown",,,"National Colony (TarafMubarak Doem)",212070802,338,0,338,3,0,3
"",,,,"National Colony (TarafMubarak Doem)",212070801,429,0,429,,,
"",,,,"National Colony (TarafMubarak Doem)",212061201,453,0,453,,,
"",,,,"National Colony (TarafMubarak Doem)",212061202,432,0,432,,,
166 Total,,,,,,1652,0,1652,3,0,3
167,"Government Girls High School, KareemTown",,,"National Colony (TarafMubarak Doem)",212070802,0,328,328,0,3,3
"",,,,"National Colony (TarafMubarak Doem)",212070801,0,341,341,,,
"",,,,"National Colony (TarafMubarak Doem)",212061201,0,355,355,,,
"",,,,"National Colony (TarafMubarak Doem)",212061202,0,317,317,,,
167 Total,,,,,,0,1341,1341,0,3,3
168,"Government Girls High School, KareemTown (Elementary Portion)",,,"Bismillah Colony (TarafMubarak Doem)",212070803,443,368,811,1,1,2
168 Total,,,,,,443,368,811,1,1,2
169,"230Government Girls Primary School,Ahmedabad, Chah Kotlay Wala",,,"Taraf Mubarak Doem(Tariqabad)",212070804,741,545,1286,2,1,3
170,"231Government Girls Primary School,Ahmedabad, Chah Kotlay Wala",,,"Raza Abad (TarafMubarak Doem)",212070806,0,518,518,0,2,2
"",,,,"Raza Abad (TarafMubarak Doem)",212070805,0,601,601,,,
170 Total,,,,,,0,1119,1119,0,2,2
171,"Government Boys Primary School, TalabWala",,,"Tariq Abad (TarafMubarak Doem)",212070904,959,721,1680,2,2,4
171 Total,,,,,,959,721,1680,2,2,4
172,"Government Girls High School, KareemTown (Elementary Portion)",,,"Tariqabad (TarafMubarak Doem)",212070902,156,121,277,1,1,2
"",,,,"Tariqabad (TarafMubarak Doem)",212070903,712,530,1242,,,
172 Total,,,,,,868,651,1519,2,2,2
173,"Government Girls Primary School, FakharAbad",,,"Tariq Abad (TarafMubarak Doem)",212070905,589,0,589,2,0,2
"",,,,"Tariq Abad (TarafMubarak Doem)",212070901,280,0,280,,,
173 Total,,,,,,869,0,869,2,0,2
174,"Government Girls Primary School, FakharAbad",,,"Tariq Abad (TarafMubarak Doem)",212070905,0,516,516,0,2,2
"",,,,"Tariq Abad (TarafMubarak Doem)",212070901,0,220,220,,,
174 Total,,,,,,0,736,736,0,2,2
175,"N.F.C. Institute of Engirneering andTechnological Training opposite KhadFactory",,,"Shah Town(Jahangirabad)",212071001,828,0,828,2,0,2
"",,,,"Khad Factory(Jahangirabad)",212071002,136,0,136,,,
175 Total,,,,,,964,0,964,2,0,2
176,"N.F.C. Institute of Engirneering andTechnological Training opposite KhadFactory",,,"Shah Town(Jahangirabad)",212071001,0,683,683,0,2,2
"",,,,"Khad Factory(Jahangirabad)",212071002,0,105,105,,,
176 Total,,,,,,0,788,788,0,2,2
177,"Government Girls High School Model,Khaliq Pura",,,"Khaliq Pura(Jahangirabad)",212071004,656,0,656,2,0,2
"",,,,"Khaliq Pura(Jahangirabad)",212071101,523,0,523,,,
177 Total,,,,,,1179,0,1179,2,0,2
178,"Government Girls High School Model,Khaliq Pura",,,"Khaliq Pura(Jahangirabad)",212071004,0,529,529,0,2,2
"",,,,"Khaliq Pura(Jahangirabad)",212071101,0,457,457,,,
178 Total,,,,,,0,986,986,0,2,2
179,"267Government Girls High School Model,Khaliq Pura",,,"Chah Noor Wala(Jahangirabad)",212071005,530,0,530,2,0,2
"",,,,"Chah Noor Wala(Jahangirabad)",212071003,609,0,609,,,
179 Total,,,,,,1139,0,1139,2,0,2
"",,"Chah Noor Wala(Jahangirabad)",212071005,0,461,461,,,,,
180 Total,,,,,,0,952,952,0,2,2
181,"Basic Health Unit, Rajapur",,,Raja Pur (Jahangirabad),212071105,627,531,1158,1,1,2
181 Total,,,,,,627,531,1158,1,1,2
182,"Basic Health Unit, Rajapur",,,"Farrukh Town(Jahangirabad)",212071103,527,0,527,4,0,4
"",,,,"Farrukh Town(Jahangirabad)",212071104,585,0,585,,,
"",,,,"Farrukh Town(Jahangirabad)",212071102,596,0,596,,,
182 Total,,,,,,1708,0,1708,4,0,4
183,"271Basic Health Unit, Rajapur",,,"Farrukh Town(Jahangirabad)",212071103,0,358,358,0,3,3
"",,,,"Farrukh Town(Jahangirabad)",212071104,0,416,416,,,
"",,,,"Farrukh Town(Jahangirabad)",212071102,0,594,594,,,
183 Total,,,,,,0,1368,1368,0,3,3
184,"Government Girls High School Model,Khaliq Pura",,,Raja Pur (Near Bypass),212071203,191,180,371,2,2,4
"",,,,Raja Pur (Near Bypass),212071201,132,141,273,,,
"",,,,Raja Pur (Near Bypass),212071202,356,324,680,,,
"",,,,Raja Pur (Near Bypass),212071204,239,221,460,,,
184 Total,,,,,,918,866,1784,2,2,4
185,Government Moonlight Girls High School,,,Samejaabad#2,212080101,286,0,286,2,0,2
"",,,,Samejaabad#2,212080102,325,0,325,,,
"",,,,Mehriya Colony,212080103,200,0,200,,,
"",,,,Samejaabad#2,212080104,254,0,254,,,
185 Total,,,,,,1065,0,1065,2,0,2
186,Government Moonlight Girls High School,,,Mehriya Colony,212080105,311,0,311,3,0,3
"",,,,Mehriya Colony,212080106,261,0,261,,,
"",,,,Piran Ghaib,212080107,338,0,338,,,
"",,,,Mughal Pura,212080108,417,0,417,,,
186 Total,,,,,,1327,0,1327,3,0,3
187,"Government Moonlight High School(Higher Secondary Portion)",,,Samejaabad#2,212080101,0,245,245,0,2,2
"",,,,Samejaabad#2,212080102,0,252,252,,,
"",,,,Mehriya Colony,212080103,0,165,165,,,
"",,,,Samejaabad#2,212080104,0,253,253,,,
187 Total,,,,,,0,915,915,0,2,2
188,"Government Moonlight High School(Higher Secondary Portion)",,,Mehriya Colony,212080105,0,284,284,0,2,2
"",,,,Mehriya Colony,212080106,0,217,217,,,
"",,,,Piran Ghaib,212080107,0,292,292,,,
"",,,,Mughal Pura,212080108,0,339,339,,,
188 Total,,,,,,0,1132,1132,0,2,2
"",,Manzoor  Colony,212080201,319,0,319,,,,,
"",,Manzoorabad,212080202,388,0,388,,,,,
"",,Manzoorabad,212080203,363,0,363,,,,,
"",,Hassanabad#1,212080204,485,0,485,,,,,
"",,,,Samejabad#2,212080210,95,0,95,,,
189 Total,,,,,,2127,0,2127,4,0,4
190,Government Moonlight Girls High School,,,Hassanabad#1,212080206,205,0,205,2,0,2
"",,,,Hassanabad#1,212080207,323,0,323,,,
"",,,,Mehriya Colony,212080208,221,0,221,,,
"",,,,Samejabad,212080209,486,0,486,,,
190 Total,,,,,,1235,0,1235,2,0,2
191,"Government Moonlight High School(Higher Secondary Portion)",,,Manzoor  Colony,212080201,0,234,234,0,4,4
"",,,,Manzoorabad,212080202,0,340,340,,,
"",,,,Manzoorabad,212080203,0,292,292,,,
"",,,,Hassanabad#1,212080204,0,424,424,,,
"",,,,Samejabad#2,212080205,0,439,439,,,
"",,,,Samejabad#2,212080210,0,95,95,,,
191 Total,,,,,,0,1824,1824,0,4,4
192,"Government Moonlight Girls High School(Higher Secondary Portion)",,,Hassanabad#1,212080206,0,181,181,0,2,2
"",,,,Hassanabad#1,212080207,0,279,279,,,
"",,,,Mehriya Colony,212080208,0,217,217,,,
"",,,,Samejabad,212080209,0,428,428,,,
192 Total,,,,,,0,1105,1105,0,2,2
193,"Government Boys Elementary School No.3, V Block, New Multan",,,Siddiqia Colony,212080301,307,0,307,4,0,4
"",,,,New Multan”U”,212080303,536,0,536,,,
"",,,,"Block ""V""",212080304,300,0,300,,,
"",,,,New Multan”A”,212080305,382,0,382,,,
"",,,,New Multan”B”,212080306,536,0,536,,,
193 Total,,,,,,2061,0,2061,4,0,4
194,"Government Boys Elementary School No.3, V Block, New Multan",,,Bismillah Colony,212080302,623,0,623,4,0,4
"",,,,New Multan”S”,212080307,703,0,703,,,
"",,,,New Multan”U:,212080308,486,0,486,,,
"",,,,New Multan”U:,212080309,181,0,181,,,
194 Total,,,,,,1993,0,1993,4,0,4
195,"Government Girls Primary School, VBlock, New Multan",,,Siddiqia Colony,212080301,0,273,273,0,3,3
"",,,,Bismillah Colony,212080302,0,497,497,,,
"",,,,New Multan”U”,212080303,0,455,455,,,
"",,,,"Block ""V""",212080304,0,296,296,,,
195 Total,,,,,,0,1521,1521,0,3,3
196,"Government Girls Primary School, VBlock, New Multan",,,New Multan”A”,212080305,0,352,352,0,4,4
"",,,,New Multan”B”,212080306,0,448,448,,,
"",,,,New Multan”S”,212080307,0,579,579,,,
"",,,,New Multan”U:,212080308,0,454,454,,,
"",,,,New Multan”U:,212080309,0,138,138,,,
196 Total,,,,,,0,1971,1971,0,4,4
197,"Government Shadab Institute (SpecialEducation)",,,New Multan”X”,212080401,465,0,465,2,0,2
"",,,,New Multan”W”,212080402,599,0,599,,,
"",,,,New Multan”W”,212080409,36,0,36,,,
197 Total,,,,,,1100,0,1100,2,0,2
198,"Government Shadab Institute (SpecialEducation)",,,New Multan”W”,212080403,572,0,572,2,0,2
"",,,,New Multan”W”,212080404,526,0,526,,,
198 Total,,,,,,1098,0,1098,2,0,2
199,"Government Shadab Institute (SpecialEducation)",,,New Multan”W”,212080405,257,0,257,3,0,3
"",,New Multan”X”,212080406,243,0,243,,,,,
"",,New Multan”X”,212080407,587,0,587,,,,,
"",,New Multan”X”,212080408,500,0,500,,,,,
200,"Government Girls Primary School, BehariColony",,,New Multan”X”,212080401,0,399,399,0,4,4
"",,,,New Multan”W”,212080402,0,528,528,,,
"",,,,New Multan”W”,212080409,0,25,25,,,
"",,,,New Multan”W”,212080403,0,528,528,,,
"",,,,New Multan”W”,212080404,0,402,402,,,
200 Total,,,,,,0,1882,1882,0,4,4
201,"Government Girls Primary School, BehariColony",,,New Multan”W”,212080405,0,211,211,0,3,3
"",,,,New Multan”X”,212080406,0,209,209,,,
"",,,,New Multan”X”,212080407,0,513,513,,,
"",,,,New Multan”X”,212080408,0,412,412,,,
201 Total,,,,,,0,1345,1345,0,3,3
202,"Government Boys Higher School,Samejabad",,,Juma Khalsa,212080608,533,390,923,1,1,2
"",,,,Juma Khalsa,212080602,32,52,84,,,
202 Total,,,,,,565,442,1007,1,1,2
203,"Government Boys Higher School,Samejabad",,,Juma Khalsa,212080603,54,66,120,2,1,3
"",,,,Juma Khalsa,212080604,744,554,1298,,,
203 Total,,,,,,798,620,1418,2,1,3
204,"Government Boys Higher School,Samejabad",,,Juma Khalsa,212080601,465,0,465,4,0,4
"",,,,Juma Khalsa,212080605,629,0,629,,,
"",,,,Juma Khalsa,212080606,17,0,17,,,
"",,,,Juma Khalsa,212080607,609,0,609,,,
204 Total,,,,,,1720,0,1720,4,0,4
205,"Government Boys Higher School,Samejabad",,,Juma Khalsa,212080601,0,355,355,0,3,3
"",,,,Juma Khalsa,212080605,0,480,480,,,
"",,,,Juma Khalsa,212080606,0,20,20,,,
"",,,,Juma Khalsa,212080607,0,475,475,,,
205 Total,,,,,,0,1330,1330,0,3,3
206,"Government Girls Elementary School, Z-Town",,,Shah Town Piran Ghaib,212080701,552,0,552,3,0,3
"",,,,Shah Town Phase-I,212080702,394,0,394,,,
"",,,,Shah Town Phase-II,212080704,226,0,226,,,
"",,,,Shah Town Phase-II,212080703,297,0,297,,,
206 Total,,,,,,1469,0,1469,3,0,3
207,"Government Girls Elementary School, Z-Town",,,Shah Town Piran Ghaib,212080701,0,459,459,0,2,2
"",,,,Shah Town Phase-I,212080702,0,335,335,,,
"",,,,Shah Town Phase-II,212080704,0,184,184,,,
"",,,,Shah Town Phase-II,212080703,0,250,250,,,
207 Total,,,,,,0,1228,1228,0,2,2
208,"247Government Girls Elementary School,Z-Town",,,"Sarwar Town FaisalColony",212080707,572,0,572,2,0,2
"",,,,Imran Raza Colony,212080705,171,0,171,,,
"",,,,Imran Raza Colony,212080706,53,0,53,,,
"",,,,"Shah Town Phase-II, ZTown",212080806,415,0,415,,,
208 Total,,,,,,1211,0,1211,2,0,2
209,"248Government Girls Elementary School,Z-Town",,,"Sarwar Town FaisalColony",212080707,0,492,492,0,2,2
"",,Imran Raza Colony,212080705,0,139,139,,,,,
"",,Imran Raza Colony,212080706,0,40,40,,,,,
"",,"Shah Town Phase-II, ZTown",212080806,0,353,353,,,,,
210,"Government Girls Elementary School, Z-Town",,,Z-Town Piran Ghaib,212080803,293,0,293,4,0,4
"",,,,Z-Town Piran Ghaib,212080802,196,0,196,,,
"",,,,Z-Town Piran Ghaib,212080801,194,0,194,,,
"",,,,Z-Town Piran Ghaib,212080804,168,0,168,,,
"",,,,Z-Town Piran Ghaib,212080805,138,0,138,,,
"",,,,"Z-Town Jamia MasjidAshraf Piran Ghaib",212080807,361,0,361,,,
"",,,,"Z-Town Hussian TownPiran Ghaib",212080808,418,0,418,,,
"",,,,"Z-Town Hussian TownPiran Ghaib",212080809,84,0,84,,,
210 Total,,,,,,1852,0,1852,4,0,4
211,"Government Girls Elementary School, Z-Town",,,Z-Town Piran Ghaib,212080803,0,240,240,0,4,4
"",,,,Z-Town Piran Ghaib,212080802,0,198,198,,,
"",,,,Z-Town Piran Ghaib,212080801,0,172,172,,,
"",,,,Z-Town Piran Ghaib,212080804,0,156,156,,,
"",,,,Z-Town Piran Ghaib,212080805,0,111,111,,,
"",,,,"Z-Town Jamia MasjidAshraf Piran Ghaib",212080807,0,331,331,,,
"",,,,"Z-Town Hussian TownPiran Ghaib",212080808,0,415,415,,,
"",,,,"Z-Town Hussian TownPiran Ghaib",212080809,0,77,77,,,
211 Total,,,,,,0,1700,1700,0,4,4
212,"Government Islamia High School, AamKhas Bagh",,,Kashi Gran,212120101,340,0,340,4,0,4
"",,,,Moh. Khokhran,212120102,599,0,599,,,
"",,,,Moh. Khokhran,212120103,434,0,434,,,
"",,,,Ghareeb Abad,212120104,244,0,244,,,
"",,,,Ghareeb Abad,212120105,452,0,452,,,
212 Total,,,,,,2069,0,2069,4,0,4
213,"Government Islamia High School (PrimaryPortion) Aam Khas Bagh",,,Kashi Gran,212120101,0,331,331,0,4,4
"",,,,Moh. Khokhran,212120102,0,505,505,,,
"",,,,Moh. Khokhran,212120103,0,369,369,,,
"",,,,Ghareeb Abad,212120104,0,216,216,,,
"",,,,Ghareeb Abad,212120105,0,385,385,,,
213 Total,,,,,,0,1806,1806,0,4,4
214,"Government Boys Islamia High School,Doulat Gate",,,Thalla Waiz Wala,212120201,427,0,427,3,0,3
"",,,,Thalla Waiz Wala,212120206,647,0,647,,,
"",,,,Thalla Waiz Wala,212120202,348,0,348,,,
214 Total,,,,,,1422,0,1422,3,0,3
215,"Government Boys Islamia High School,Doulat Gate",,,Pir Gohar Sultan,212120203,544,0,544,3,0,3
"",,,,Beron Dehli Gate,212120204,460,0,460,,,
"",,,,Beron Dehli Gate,212120205,285,0,285,,,
"",,,,Beron Dehli Gate,212120207,71,0,71,,,
215 Total,,,,,,1360,0,1360,3,0,3
216,"Government MC Girls Middle School,Kashigran",,,Thalla Waiz Wala,212120201,0,439,439,0,2,2
"",,,,Thalla Waiz Wala,212120206,0,309,309,,,
"",,,,Thalla Waiz Wala,212120202,0,311,311,,,
216 Total,,,,,,0,1059,1059,0,2,2
"",,Pir Gohar Sultan,212120203,0,461,461,,,,,
"",,Beron Dehli Gate,212120204,0,337,337,,,,,
"",,Beron Dehli Gate,212120205,0,230,230,,,,,
217 Total,,,,,,0,1100,1100,0,2,2
218,"Government Islamia High School, AamKhas Bagh",,,Jandey Shah,212120301,871,0,871,4,0,4
"",,,,Daud Jahania,212120302,481,0,481,,,
"",,,,Aulakh Vehra,212120305,611,0,611,,,
"",,,,Aulakh Vehra,212120307,332,0,332,,,
218 Total,,,,,,2295,0,2295,4,0,4
219,"Government Islamia High School (PrimaryPortion) Aam Khas Bagh",,,Jandey Shah,212120301,0,682,682,0,4,4
"",,,,Daud Jahania,212120302,0,406,406,,,
"",,,,Aulakh Vehra,212120305,0,503,503,,,
"",,,,Aulakh Vehra,212120307,0,265,265,,,
219 Total,,,,,,0,1856,1856,0,4,4
220,"Government Primary School, Khair-ul-Madaras, Dehli Gate",,,Baghban Pura,212120303,365,0,365,2,0,2
"",,,,Baghban Pura,212120304,268,0,268,,,
"",,,,Manzoorabad,212120306,510,0,510,,,
220 Total,,,,,,1143,0,1143,2,0,2
221,"Government Primary School, Khair-ul-Madaras, Dehli Gate",,,Baghban Pura,212120303,0,222,222,0,2,2
"",,,,Baghban Pura,212120304,0,229,229,,,
"",,,,Manzoorabad,212120306,0,437,437,,,
221 Total,,,,,,0,888,888,0,2,2
222,"Government Primary School, Khair-ul-Madaris, Dehli Gate",,,T.B. Hospital,212120401,596,0,596,4,0,4
"",,,,Gao Shala,212120402,712,0,712,,,
"",,,,Moh.Hazariyan,212120403,398,0,398,,,
"",,,,Moh.Hazariyan,212120408,464,0,464,,,
222 Total,,,,,,2170,0,2170,4,0,4
223,"Government Primary School, Khair-ul-Madaris, Dehli Gate",,,Dehli Gate,212120404,409,0,409,3,0,3
"",,,,Moh.Hazariyan,212120405,147,0,147,,,
"",,,,Moh.Hazariyan,212120406,495,0,495,,,
"",,,,Gao Shala,212120407,274,0,274,,,
223 Total,,,,,,1325,0,1325,3,0,3
224,"Government Girls Middle School, IttefaqPura Chungi No. 14",,,T.B. Hospital,212120401,0,422,422,0,4,4
"",,,,Gao Shala,212120402,0,609,609,,,
"",,,,Moh.Hazariyan,212120403,0,262,262,,,
"",,,,Moh.Hazariyan,212120408,0,466,466,,,
224 Total,,,,,,0,1759,1759,0,4,4
225,"Government Girls Middle School, IttefaqPura Chungi No. 14",,,Dehli Gate,212120404,0,347,347,0,2,2
"",,,,Moh.Hazariyan,212120405,0,118,118,,,
"",,,,Moh.Hazariyan,212120406,0,421,421,,,
"",,,,Gao Shala,212120407,0,255,255,,,
225 Total,,,,,,0,1141,1141,0,2,2
226,"Government MC Middle School, AghaPura",,,Beron Dehli Gate,212120501,640,0,640,4,0,4
"",,,,Beron Dehli Gate,212120502,260,0,260,,,
"",,,,Agha Pura,212120503,598,0,598,,,
"",,,,Agha Pura,212120504,491,0,491,,,
226 Total,,,,,,1989,0,1989,4,0,4
227,"Government MC Middle School, AghaPura",,,Agha Pura,212120505,216,0,216,2,0,2
"",,,,Agha Pura,212120506,434,0,434,,,
"",,,,Agha Pura,212120507,222,0,222,,,
227 Total,,,,,,872,0,872,2,0,2
228,"Government MC Primary School, FaranKhuni Burj",,,Beron Dehli Gate,212120501,0,562,562,0,3,3
"",,Beron Dehli Gate,212120502,0,195,195,,,,,
"",,Agha Pura,212120503,0,491,491,,,,,
"",,Agha Pura,212120504,0,386,386,,,,,
229,"Government MC Primary School, FaranKhuni Burj",,,Agha Pura,212120505,0,161,161,0,2,2
"",,,,Agha Pura,212120506,0,357,357,,,
"",,,,Agha Pura,212120507,0,194,194,,,
229 Total,,,,,,0,712,712,0,2,2
230,"Government MC Middle School, AghaPura",,,Beron Dehli Gate,212120601,510,0,510,4,0,4
"",,,,Beron Dehli Gate,212120602,524,0,524,,,
"",,,,Beron Dehli Gate,212120603,700,0,700,,,
230 Total,,,,,,1734,0,1734,4,0,4
231,"Government MC Middle School, AghaPura",,,Purana Silli Khana,212120604,273,0,273,2,0,2
"",,,,Ishaq Pura,212120605,381,0,381,,,
"",,,,Ishaq Pura,212120606,327,0,327,,,
231 Total,,,,,,981,0,981,2,0,2
232,"Government MC Boys Primary School,Dehli Gate",,,Beron Dehli Gate,212120601,0,433,433,0,3,3
"",,,,Beron Dehli Gate,212120602,0,430,430,,,
"",,,,Beron Dehli Gate,212120603,0,529,529,,,
232 Total,,,,,,0,1392,1392,0,3,3
233,"Government MC Boys Primary School,Dehli Gate",,,Purana Silli Khana,212120604,0,221,221,0,2,2
"",,,,Ishaq Pura,212120605,0,313,313,,,
"",,,,Ishaq Pura,212120606,0,254,254,,,
233 Total,,,,,,0,788,788,0,2,2
234,"Government Islamia High School, HaramGate",,,Beron Pak Gate,212200101,478,0,478,3,0,3
"",,,,Beron Haram Gate,212200102,141,0,141,,,
"",,,,Beron Haram Gate,212200103,366,0,366,,,
"",,,,Chah Chandarwala,212200104,447,0,447,,,
234 Total,,,,,,1432,0,1432,3,0,3
235,"Government Islamia High School, HaramGate",,,Gerian wala,212200105,351,0,351,2,0,2
"",,,,Jindi Vehra,212200106,269,0,269,,,
"",,,,Jindi Vehra,212200107,401,0,401,,,
235 Total,,,,,,1021,0,1021,2,0,2
236,"Government MC Primary School, NathPura",,,Beron Pak Gate,212200101,0,397,397,0,2,2
"",,,,Beron Haram Gate,212200102,0,136,136,,,
"",,,,Beron Haram Gate,212200103,0,328,328,,,
"",,,,Chah Chandarwala,212200104,0,375,375,,,
236 Total,,,,,,0,1236,1236,0,2,2
237,"Government MC Primary School, NathPura",,,Gerian wala,212200105,0,347,347,0,2,2
"",,,,Jindi Vehra,212200106,0,217,217,,,
"",,,,Jindi Vehra,212200107,0,341,341,,,
237 Total,,,,,,0,905,905,0,2,2
238,"Government Islamia High School, HaramGate",,,Jindi Vehra,212200201,212,0,212,3,0,3
"",,,,Pir Prathi,212200204,218,0,218,,,
"",,,,Pir Prathi,212200205,587,0,587,,,
"",,,,Sadiq Colony,212200206,599,0,599,,,
238 Total,,,,,,1616,0,1616,3,0,3
239,"Government Islamia High School, HaramGate",,,Matam Wah,212200202,515,0,515,2,0,2
"",,,,Salamat Pura,212200203,730,0,730,,,
239 Total,,,,,,1245,0,1245,2,0,2
240,"Government MC Boys Primary School,Nath Pura",,,Jindi Vehra,212200201,0,184,184,0,4,4
"",,,,Matam Wah,212200202,0,421,421,,,
"",,,,Salamat Pura,212200203,0,597,597,,,
"",,,,Pir Prathi,212200204,0,156,156,,,
"",,,,Pir Prathi,212200205,0,401,401,,,
240 Total,,,,,,0,1759,1759,0,4,4
241,"Government Girls Middle School, ChowkShaheedan",,,Shah Risal Rd.,212200301,0,479,479,0,3,3
"",,,,Cheeta Wahin,212200302,0,231,231,,,
"",,,,Akbar Road,212200303,0,165,165,,,
241 Total,,,,,,0,1385,1385,0,3,3
242,"Government MC Middle School, ChowkShaheedan",,,Shah Risal Rd.,212200301,507,0,507,2,0,2
"",,,,Cheeta Wahin,212200302,271,0,271,,,
"",,,,Akbar Road,212200303,174,0,174,,,
242 Total,,,,,,952,0,952,2,0,2
243,"Government MC Middle School, ChowkShaheedan",,,Jogiyan Wala,212200304,235,0,235,2,0,2
"",,,,Cheeta Wahin,212200305,285,0,285,,,
"",,,,Bindi Pura,212200306,181,0,181,,,
"",,,,Chowk Shaheedan,212200307,115,0,115,,,
243 Total,,,,,,816,0,816,2,0,2
244,"Government Girls Middle School, ChowkShaheedan",,,Jogiyan Wala,212200304,0,230,230,0,2,2
"",,,,Cheeta Wahin,212200305,0,243,243,,,
"",,,,Bindi Pura,212200306,0,148,148,,,
"",,,,Chowk Shaheedan,212200307,0,97,97,,,
244 Total,,,,,,0,718,718,0,2,2
245,"Government Middle School, ChowkShaheedan",,,Nath Pura,212200401,325,0,325,2,0,2
"",,,,Beron Haram Gate,212200402,11,0,11,,,
"",,,,Nath Pura,212200403,554,0,554,,,
245 Total,,,,,,890,0,890,2,0,2
246,"Government Girls Middle School, ChowkShaheedan",,,Nath Pura,212200401,0,294,294,0,2,2
"",,,,Beron Haram Gate,212200402,0,16,16,,,
"",,,,Nath Pura,212200403,0,453,453,,,
246 Total,,,,,,0,763,763,0,2,2
247,"Government MC Girls Primary SchoolNear Civil Defence",,,Beron Bohar Gate,212200404,111,0,111,2,0,2
"",,,,Fareed Abad,212200405,182,0,182,,,
"",,,,Fareed Abad,212200406,529,0,529,,,
"",,,,Fareed Abad,212200407,312,0,312,,,
247 Total,,,,,,1134,0,1134,2,0,2
248,"Control Room, Civil Defence (ZainabDegree College)",,,Beron Bohar Gate,212200404,0,81,81,0,2,2
"",,,,Fareed Abad,212200405,0,143,143,,,
"",,,,Fareed Abad,212200406,0,418,418,,,
"",,,,Fareed Abad,212200407,0,256,256,,,
248 Total,,,,,,0,898,898,0,2,2
249,"Government Zainab Degree College,Railway Road (New Building)",,,Beron Bohar Gate,212200501,220,0,220,3,0,3
"",,,,Ganna Mandi,212200502,207,0,207,,,
"",,,,Fareed Abad,212200503,391,0,391,,,
"",,,,Basti Mohanian,212200504,809,0,809,,,
249 Total,,,,,,1627,0,1627,3,0,3
250,"Government MC Girls Primary School,Near Civil Defence",,,Fareed Abad,212200505,553,0,553,3,0,3
"",,,,Nala Wali Muhammad,212200506,956,0,956,,,
250 Total,,,,,,1509,0,1509,3,0,3
251,"Control Room, Civil Defence",,,Beron Bohar Gate,212200501,0,214,214,0,3,3
"",,,,Ganna Mandi,212200502,0,144,144,,,
"",,,,Fareed Abad,212200503,0,360,360,,,
"",,,,Basti Mohanian,212200504,0,639,639,,,
251 Total,,,,,,0,1357,1357,0,3,3
"",,Fareed Abad,212200505,0,488,488,,,,,
252 Total,,,,,,0,1308,1308,0,3,3
253,"Government Zainab Degree College,Railway Road (New Building)",,,Nala Wali Mohd.,212200601,872,0,872,3,0,3
"",,,,Ghareeb Abad,212200602,326,0,326,,,
"",,,,Basti Mohanian,212200603,242,0,242,,,
253 Total,,,,,,1440,0,1440,3,0,3
254,"Government Zainab Degree College,Railway Road (New Building)",,,Nala Wali Mohd.,212200604,117,0,117,2,0,2
"",,,,Ghareeb Abad,212200605,568,0,568,,,
"",,,,Nala Wali Mohd.,212200606,221,0,221,,,
254 Total,,,,,,906,0,906,2,0,2
255,"Control Room, Civil Defence (ZainabDegree College)",,,Nala Wali Mohd.,212200601,0,657,657,0,2,2
"",,,,Ghareeb Abad,212200602,0,265,265,,,
"",,,,Basti Mohanian,212200603,0,204,204,,,
255 Total,,,,,,0,1126,1126,0,2,2
256,"Control Room, Civil Defence (ZainabDegree College)",,,Nala Wali Mohd.,212200604,0,89,89,0,2,2
"",,,,Ghareeb Abad,212200605,0,487,487,,,
"",,,,Nala Wali Mohd.,212200606,0,178,178,,,
256 Total,,,,,,0,754,754,0,2,2
257,"Government MC Middle School, ChowkShaheedan",,,Nala Wali Mohd.,212200701,469,0,469,4,0,4
"",,,,Nala Wali Mohd.,212200706,339,0,339,,,
"",,,,Ghareeb Abad,212200702,294,0,294,,,
"",,,,Ghareeb Abad,212200707,349,0,349,,,
"",,,,Bagh Baigi,212200703,434,0,434,,,
"",,,,Bagh Baigi,212200708,82,0,82,,,
257 Total,,,,,,1967,0,1967,4,0,4
258,"Government MC Middle School, ChowkShaheedan",,,Ghareeb Abad,212200704,549,0,549,2,0,2
"",,,,Nawen Bhoen,212200705,471,0,471,,,
258 Total,,,,,,1020,0,1020,2,0,2
259,"Government Girls MC Middle School,Chowk Shaheedan",,,Nala Wali Mohd.,212200701,0,278,278,0,3,3
"",,,,Nala Wali Mohd.,212200706,0,355,355,,,
"",,,,Ghareeb Abad,212200702,0,253,253,,,
"",,,,Ghareeb Abad,212200707,0,318,318,,,
