"",PP,Sr#,Polling Station Name,PS Type,"Block
Code",Area,Male Vote,Female Vote,Total Vote,"Male
Booth","Female
Booth","Total
Booth"
1248",2,1,3

"",90,70,Union Council Office Angra Daggar,Combined,"142010506
142030104
142030105","انگرا نشیب
انگراڈ گر
انگراڈ گر","16
113
432
561","11
115
358
484","27
228
790
1045",1,1,2

90,71,Govt Boys Primary School Tiba Hamid Shah,Combined,142030101,لنڈی ڈگر,"613
613","525
525","1138
1138",1,1,2,

"",90,72,Govt Boys Primary School 9TDA,Combined,"142030301
142030302
142030310
142030311
142030312","چک نمبر 9 ٹی ڈی اے
چک نمبر 9 ٹی ڈی اے
چک نمبر 9 ٹی ڈی اے
چک نمبر 9 ٹی ڈی اے
چک نمبر 9 ٹی ڈی اے","200
110
184
160
189
843","139
79
141
113
155
627","339
189
325
273
344
1470",2,1,3

"",90,73,Govt Boys Primary School 10TDA,Combined,142030309,چک نمبر 10 ٹی ڈی اے,"281
281","205
205","486
486",1,1,2

"",90,74,Govt Boys Primary School 11TDA,Combined,"142030204
142030205
142030206
142030207","چک نمبر 11 ٹی ڈی اے
چک نمبر 12 ٹی ڈی اے
ڈگر قریشی شمالی غربی
ڈگر قریشی جنوبی غربی","222
186
11
120
539","153
142
7
103
405","375
328
18
223
944",1,1,2

"",90,75,Govt Girls Primary School 6TDA,Combined,"142030401
142030402
142030403
142030407","چک نمبر6 ٹی ڈی اے
چک نمبر6 ٹی ڈی اے
چک نمبر6 ٹی ڈی اے
چک نمبر6 ٹی ڈی اے","215
445
353
17
1030","150
354
257
18
779","365
799
610
35
1809",2,2,4

"",90,76,Govt Boys High School 7TDA,Combined,142030501,چک نمبر7 ٹی ڈی اے,"369
369","275
275","644
644",1,1,2

"",90,77,Govt Boys Primary School 8/TDA,Combined,"142030303
142030313","چک نمبر 8 ٹی ڈی اے
چک نمبر 8 ٹی ڈی اے","293
151
444","211
93
304","504
244
748",1,1,2

"",90,78,Govt Boys Primary School 14TDA,Combined,"142030304
142030305
142030306
142030307
142030308","چک نمبر 14 ٹی ڈی اے
چک نمبر 14 ٹی ڈی اے
چک نمبر 14 ٹی ڈی اے
چک نمبر 14 ٹی ڈی اے
چک نمبر 14 ٹی ڈی اے","118
218
217
156
72
781","81
152
185
123
59
600","199
370
402
279
131
1381",2,1,3

"",90,79,"Govt Girls Primary School Daggar Yar Shah
Gharbi",Combined,"142030404
142030405
142030406","ڈگر یار شا ہ غربی
ڈگر یار شا ہ غربی
ڈگر یار شا ہ غربی","220
326
256
802","128
144
176
448","348
470
432
1250",2,1,3

"",90,80,Govt.Boys Primary School Chah Thala,Combined,"142030803
142030804
142030805","حاجی حسین شا ہ ڈگر
حاجی حسین شا ہ ڈگر
حاجی حسین شا ہ ڈگر","234
318
358
910","157
265
255
677","391
583
613
1587",2,1,3

"",90,81,"Govt Elementary School Basti Ahmed Shah
Wali.",Combined,"142030801
142030802","حاجی حسین شا ہ ڈگر
حاجی حسین شا ہ ڈگر","324
192
516","260
174
434","584
366
950",1,1,2

"",90,82,Govt Boys Elemantry School Sohy Wala,Combined,"142030702
142030703","الله یارسوہا
الله یارسوہا","318
403
721","254
290
544","572
693
1265",2,1,3

"",90,83,Govt Boys Primary School Drahlanwala,Combined,"142030701
142030704","الله یارسوہا
الله یارسوہا","299
519
818","155
436
591","454
955
1409",2,1,3

90,84,Govt Boys Elementary School 47ML,Combined,"142030604
142030605","چک نمبر 47ایم ایل
چک نمبر 47ایم ایل","288
418
706","229
319
548","517
737
1254",2,1,3,

"",90,85,Govt Boys Primary School 46ML,Combined,142030606,چک نمبر 46ایم ایل,"501
501","346
346","847
847",1,1,2

"",90,86,Govt Boys Primary School 15-ATDA,Combined,"142030602
142030603","چک نمبر 15  اےٹی ڈی اے
چک نمبر 15  اےٹی ڈی اے","336
385
721","234
265
499","570
650
1220",2,1,3

"",90,87,Govt Girls Primary School 15. TDA,Combined,"142030502
142030601","ڈگرقریشی شمالی شرقی
چک نمبر 15 ٹی ڈی اے","258
401
659","179
304
483","437
705
1142",2,1,3

"",90,88,Govt Boys PrimarySchool Zurhranian wala .,Combined,"142030503
142030504
142030505","ڈگر یار شاہ شرقی
ڈگر یار شاہ شرقی
ڈگر یار شاہ شرقی","230
406
159
795","171
256
111
538","401
662
270
1333",2,1,3

"",90,89,Health Center Daggar Qurashi Darmani,Combined,"142030208
142030209
142030210","ڈگر قریشی درمیانی
ڈگر قریشی درمیانی
ڈگر قریشی درمیانی","154
133
96
383","128
98
77
303","282
231
173
686",1,1,2

"",90,90,Govt Boys Secondary School Baranga,Male,"142050101
142050102
142050103
142050104
142050201
142050202
142050301","بڑنگہ نمبر 1
بڑنگہ نمبر 1
بڑنگہ نمبر 1
بڑنگہ نمبر 1
بڑنگہ نمبر ،2 محلہ مصلیانوالہ، نورخیل
بڑنگہ نمبر 2
بڑنگہ نمبر 3","101
599
451
36
167
228
151
1733","0
0","101
599
451
36
167
228
151
1733",3,0,3

"",90,91,Govt.Girls Elementary School Baranga,Female,"142050101
142050102
142050103
142050104
142050201
142050202
142050301","بڑنگہ نمبر 1
بڑنگہ نمبر 1
بڑنگہ نمبر 1
بڑنگہ نمبر 1
بڑنگہ نمبر ،2 محلہ مصلیانوالہ، نورخیل
بڑنگہ نمبر 2
بڑنگہ نمبر 3","0
0","77
593
356
25
114
177
145
1487","77
593
356
25
114
177
145
1487",0,3,3

"",90,92,GOVT Boys High School Kath,Combined,142050401,گدائی نمبر ،1 کریالی، پکا میانہ,"556
556","399
399","955
955",1,1,2

"",90,93,"Govt Girls Elementary School Kath Primary
portion",Combined,142050402,گدائی نمبر ،1 کاٹھ,"594
594","528
528","1122
1122",1,1,2

"",90,94,Govt Girls Primary School Chibber,Combined,142050403,گدائی نمبر ،1چبر، محلہ نظام خیل,"636
636","478
478","1114
1114",1,1,2

"",90,95,Govt Boys Elementary School Gadai,Combined,"142050404
142050405","گدائی نمبر ،1 چاہ حاجی والہ، موچیاں والہ
گدائی نمبر 1","569
295
864","575
221
796","1144
516
1660",2,1,3

"",90,96,"Govt Girls Elementary School Kath Middle
portion",Combined,142050501,گدائی نمبر ،2کاٹھ موڑ، کچا جبانہ,"284
284","196
196","480
480",1,1,2

90,97,Govt Boys Primary School Jabana,Combined,"142050601
142050602","مہوٹہ، کچا جبانہ، پکاجبانہ
مہوٹہ، چاہ بختاور وانہ، کچا جبانہ","395
413
808","385
454
839","780
867
1647",2,1,3,

"",90,98,Govt Boys Secondary School Mahota,Combined,"142050603
142050604","مہوٹہ
مہوٹہ، ڈوگی","383
476
859","258
413
671","641
889
1530",2,1,3

"",90,99,Govt Boys Primary School Dogi Sharif,Combined,"142050605
142050606","مہوٹہ، ڈوگی
مہوٹہ، ڈوگی","254
404
658","239
363
602","493
767
1260",2,1,3

"",90,100,Govt Girls Primary School 6RD,Combined,"142050701
142050703","چک نمبر1 رکھ دلیوالہ
چک نمبر6 رکھ دلیوالہ","253
313
566","178
237
415","431
550
981",1,1,2

"",90,101,Govt Primary School Bharam Khail,Combined,142050702,چک نمبر2 رکھ دلیوالہ,"542
542","378
378","920
920",1,1,2

"",90,102,"Govt Boys Primary School Chak No 3-4Rakh
Dullewala",Combined,"142050801
142050802","چک نمبر 3رکھ دلیوالہ
چک نمبر4 رکھ دلیوالہ","515
448
963","417
323
740","932
771
1703",2,2,4

"",90,103,"Govt Elementary School Nawan Ali Khail
Chak 5",Combined,"142050803
142050804","چک نمبر5 رکھ دلیوالہ
چک نمبر7 رکھ دلیوالہ","242
389
631","207
342
549","449
731
1180",1,1,2

"",90,104,Town Commtte Dullewala,Male,"142060101
142060102
142060103
142060104
142060105","چاہ ہستی والہ دلیوالہ ٹاؤن کمیٹی
چاہ ہستی والہ دلیوالہ ٹاؤن کمیٹی
محلہ قادر بخش ،  دلیوالہ ٹاؤن کمیٹی
محلہ راں + محلہ میا نہ + محلہ چنجڑیا نوالہ دلیوالہ ٹاؤن
کمیٹی
محلہ ہستی والہ دلیوالہ ٹاؤن کمیٹی","403
31
139
238
159
970","0
0","403
31
139
238
159
970",2,0,2

"",90,105,Govt Girls High School Dullewala (F),Female,"142060101
142060102
142060103
142060104
142060105
142060106
142060107
142060201
142060301
142060305","چاہ ہستی والہ دلیوالہ ٹاؤن کمیٹی
چاہ ہستی والہ دلیوالہ ٹاؤن کمیٹی
محلہ قادر بخش ،  دلیوالہ ٹاؤن کمیٹی
محلہ راں + محلہ میا نہ + محلہ چنجڑیا نوالہ دلیوالہ ٹاؤن
کمیٹی
محلہ ہستی والہ دلیوالہ ٹاؤن کمیٹی
محلہ راں والہ دلیوالہ ٹاؤن کمیٹی
محلہ راں  دلیوالہ ٹاؤن کمیٹی
محلہ میا نہ والہ دلیوالہ ٹاؤن کمیٹی
محلہ راں دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین + سنہری مسجد دلیوالہ ٹاؤن کمیٹی","0
0","292
25
81
180
114
106
198
62
290
261
1609","292
25
81
180
114
106
198
62
290
261
1609",0,3,3

"",90,106,Govt Boys Primary School Mohallah Ran,Male,"142060106
142060107
142060201
142060301
142060305","محلہ راں والہ دلیوالہ ٹاؤن کمیٹی
محلہ راں  دلیوالہ ٹاؤن کمیٹی
محلہ میا نہ والہ دلیوالہ ٹاؤن کمیٹی
محلہ راں دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین + سنہری مسجد دلیوالہ ٹاؤن کمیٹی","141
255
96
316
384
1192","0
0","141
255
96
316
384
1192",2,0,2

90,107,Govt Boys Elementary School Dullewala,Male,"142060202
142060203
142060204","قاضیا نوالہ دلیوالہ ٹاؤن کمیٹی
درکھا نا نوالہ دلیوالہ ٹاؤن کمیٹی
محلہ قاضیا نوالہ دلیوالہ ٹاؤن کمیٹی","515
225
386
1126","0
0","515
225
386
1126",2,0,2,

"",90,108,Vetinery Hospital Dullewala,Male,"142060205
142060206
142060207
142060304","محلہ لوہارا نوالہ دلیوالہ ٹاؤن کمیٹی
محلہ بلوچا نوالہ + محلہ پٹھا نوالہ دلیوالہ ٹاؤن کمیٹی
محلہ جھمٹاں والہ دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین دلیوالہ ٹاؤن کمیٹی","188
256
350
331
1125","0
0","188
256
350
331
1125",2,0,2

"",90,109,"Govt Girls Elementary School mohallah
Jhmatan wala",Female,"142060202
142060203
142060204
142060205
142060206
142060207
142060304","قاضیا نوالہ دلیوالہ ٹاؤن کمیٹی
درکھا نا نوالہ دلیوالہ ٹاؤن کمیٹی
محلہ قاضیا نوالہ دلیوالہ ٹاؤن کمیٹی
محلہ لوہارا نوالہ دلیوالہ ٹاؤن کمیٹی
محلہ بلوچا نوالہ + محلہ پٹھا نوالہ دلیوالہ ٹاؤن کمیٹی
محلہ جھمٹاں والہ دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین دلیوالہ ٹاؤن کمیٹی","0
0","365
174
360
137
232
297
259
1824","365
174
360
137
232
297
259
1824",0,4,4

"",90,110,Govt High School Dullewala,Male,"142060302
142060303
142060306
142060307","محلہ مہاجرین + سنہری مسجد دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین دلیوالہ ٹاؤن کمیٹی","249
655
232
222
1358","0
0","249
655
232
222
1358",3,0,3

"",90,111,Govt Girls Primary School Dullewala,Female,"142060302
142060303
142060306
142060307","محلہ مہاجرین + سنہری مسجد دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین دلیوالہ ٹاؤن کمیٹی
محلہ مہاجرین دلیوالہ ٹاؤن کمیٹی","0
0","250
531
155
183
1119","250
531
155
183
1119",0,2,2

"",90,112,Govt. Boys Elementary School Khemtian Wala,Male,"142070101
142070102
142070107","نئی آبادی شمالی دریا خان ٹاؤن کمیٹی
محلہ کھیمٹا نوالہ دریا خان ٹاؤن کمیٹی
مہریہ مسجد دریا خان ٹاؤن کمیٹی","929
557
217
1703","0
0","929
557
217
1703",3,0,3

"",90,113,Govt Girls Primary School Sultan No-2,Female,"142070101
142070102
142070107","نئی آبادی شمالی دریا خان ٹاؤن کمیٹی
محلہ کھیمٹا نوالہ دریا خان ٹاؤن کمیٹی
مہریہ مسجد دریا خان ٹاؤن کمیٹی","0
0","758
440
188
1386","758
440
188
1386",0,2,2

"",90,114,"Govt. Boys Elementery School, Darya Khan",Male,"142070108
142070109
142070110
142070202
142070203
142070204","موتی مسجد دریا خان ٹاؤن کمیٹی
سنہری مسجد دریا خان ٹاؤن کمیٹی
محلہ دریا خان ٹاؤن کمیٹی
محلہ شاد مان دریا خان ٹاؤن کمیٹی
کوثرمسجد ثاؤن کمیٹی دریا خان","625
325
121
436
208
241
1956","0
0","625
325
121
208
241
1956",3,0,3

"",90,115,"Govt.Girls Elementary School Mohallah
Mohajreen Middle Portion Darya Khan",Female,"142070103
142070104
142070105","بلال مسجد دریا خان ٹاؤن کمیٹی
بلال مسجد غربی دریا خان ٹاؤن کمیٹی
عقب سول ہسپتال دریا خان ٹاؤن کمیٹی","0
0","511
147
248
906","511
147
248
906",0,2,2

90,116,"Govt Girls Elementary School Mohallah
Mohajreen (Primary Portion)",Female,"142070106
142070501","محلہ بلوچا نوالہ دریا خان ٹاؤن کمیٹی
گلشن اسلام دریا خان ٹاؤن کمیٹی","0
0","215
745
960","215
745
960",0,2,2,

"",90,117,"Tehsil Municipal office, Darya Khan  PS-1",Male,"142070103
142070104
142070105
142070106","بلال مسجد دریا خان ٹاؤن کمیٹی
بلال مسجد غربی دریا خان ٹاؤن کمیٹی
عقب سول ہسپتال دریا خان ٹاؤن کمیٹی
محلہ بلوچا نوالہ دریا خان ٹاؤن کمیٹی","614
161
298
206
1279","0
0","614
161
298
206
1279",2,0,2

"",90,118,"Tehsil Municipal office/ Nadra Office , Darya
Khan  PS-2",Male,142070501,گلشن اسلام دریا خان ٹاؤن کمیٹی,"859
859","0
0","859
859",2,0,2

"",90,119,"Govt. Girls High School kausar Masjid Darya
Khan Elementary Portion PS-1",Female,"142070108
142070109
142070110","موتی مسجد دریا خان ٹاؤن کمیٹی
سنہری مسجد دریا خان ٹاؤن کمیٹی
محلہ دریا خان ٹاؤن کمیٹی","0
0","512
300
128
940","512
300
128
940",0,2,2

"",90,120,"Govt. Girls High School kausar Masjid Darya
Khan Elementary Portion PS-2",Female,"142070202
142070203
142070204","چوک امیرحمزہ دریا خان ٹاؤن کمیٹی
محلہ شاد مان دریا خان ٹاؤن کمیٹی
کوثرمسجد ثاؤن کمیٹی دریا خان","0
0","405
181
188
774","405
181
188
774",0,2,2

"",90,121,"Govt. Boys Primary School Ali Lak Darya
Khan",Male,"142070201
142070205
142070206","محلہ نورمحمد کھیمٹہ دریا خان ٹاؤن کمیٹی
محلہ کربلا چن شاہ دریا خان ٹاؤن کمیٹی
محلہ ڈاکٹر ہاشم والہ دریا خان ٹاؤن کمیٹی","511
226
649
1386","0
0","511
226
649
1386",2,0,2

"",90,122,"Govt. Girls Primary School Karbla Sadat
Darya Khan",Female,"142070201
142070205
142070206","محلہ نورمحمد کھیمٹہ دریا خان ٹاؤن کمیٹی
محلہ کربلا چن شاہ دریا خان ٹاؤن کمیٹی
محلہ ڈاکٹر ہاشم والہ دریا خان ٹاؤن کمیٹی","0
0","462
214
607
1283","462
214
607
1283",0,2,2

"",90,123,Govt. Boys High School Darya Khan  PS-1,Male,"142070303
142070309","محلہ بھونا نوالہ دریا خان ٹاؤن کمیٹی
محلہ بھونا نوالہ دریا خان ٹاؤن کمیٹی","480
209
689","0
0","480
209
689",2,0,2

"",90,124,Govt. Boys High School Darya Khan  PS-2,Female,"142070303
142070309","محلہ بھونا نوالہ دریا خان ٹاؤن کمیٹی
محلہ بھونا نوالہ دریا خان ٹاؤن کمیٹی","0
0","426
171
597","426
171
597",0,2,2

"",90,125,Govt. Boys High School Darya Khan  PS-3,Female,"142070304
142070305
142070310","محلہ نئی آبادی جنوبی دریا خان ٹاؤن کمیٹی
سیالا نوالہ - مہا نا نوالہ دریا خان ٹاؤن کمیٹی
سیالا نوالہ - مہا نا نوالہ دریا خان ٹاؤن کمیٹی","0
0","454
548
388
1390","454
548
388
1390",0,3,3

"",90,126,"Bilot Project Women Vocational Training
Centre Darya Khan",Female,"142070207
142070302","محلہ ریسٹ ہاؤس دریا خان ٹاؤن کمیٹی
محلہ زرگراں والہ دریا خان ٹاؤن کمیٹی","0
0","1059
172
1231","1059
172
1231",0,3,3

"",90,127,"Govt. Girls Primary School Muhallah Sail
Wala Darya Khan",Male,"142070302
142070304
142070305
142070310","محلہ زرگراں والہ دریا خان ٹاؤن کمیٹی
محلہ نئی آبادی جنوبی دریا خان ٹاؤن کمیٹی
سیالا نوالہ - مہا نا نوالہ دریا خان ٹاؤن کمیٹی
سیالا نوالہ - مہا نا نوالہ دریا خان ٹاؤن کمیٹی","194
560
553
559
1866","0
0","194
560
553
559
1866",3,0,3

"",90,128,"Govt Girls Primary School Dhingana(Javaed
Abad)",Male,"142070306
142070311","آرائیا نوالہ دریا خان ٹاؤن کمیٹی
آرائیا نوالہ دریا خان ٹاؤن کمیٹی","497
312
809","0
0","497
312
809",2,0,2

90,129,Govt Boys Primary School Darya Khan Janubi,Male,"142070307
142070308
142070312","مہر آباد دریا خان ٹاؤن کمیٹی
معصوم آباد دریا خان ٹاؤن کمیٹی
مہر آباد دریا خان ٹاؤن کمیٹی","368
407
613
1388","0
0","368
407
613
1388",3,0,3,

"",90,130,Govt. Boys Primary School Tibba Chanawar,Female,"142070306
142070311","آرائیا نوالہ دریا خان ٹاؤن کمیٹی
آرائیا نوالہ دریا خان ٹاؤن کمیٹی","0
0","416
261
677","416
261
677",0,2,2

"",90,131,Govt Elementary School (ASM) Darya Khan,Female,"142070307
142070308
142070312
142070405","مہر آباد دریا خان ٹاؤن کمیٹی
معصوم آباد دریا خان ٹاؤن کمیٹی
مہر آباد دریا خان ٹاؤن کمیٹی
محلہ فیکٹوشوگرملز دریا خان ٹاؤن کمیٹی","0
0","281
318
478
137
1214","281
318
478
137
1214",0,2,2

"",90,132,Agriculture Office Darya Khan,Male,142070402,باروی مسجد دریا خان ٹاؤن کمیٹی,"647
647","0
0","647
647",2,0,2

"",90,133,Govt. Girls High School darya Khan  PS-2,Female,"142070402
142070404","باروی مسجد دریا خان ٹاؤن کمیٹی
کرسچین کالونی دریا خان ٹاؤن کمیٹی","0
0","500
109
609","500
109
609",0,2,2

"",90,134,Govt. Girls High School darya Khan  PS-2,Female,"142070502
142070503
142070504
142070505","عید گاہ شرقی دریا خان ٹاؤن کمیٹی
مرا قبہ ہال ٹاؤ دریا خان ٹاؤن کمیٹی
اہلحد یث مسجد دریا خان ٹاؤن کمیٹی
نوری مسجد دریا خان ٹاؤن کمیٹی","0
0","699
536
327
331
1893","699
536
327
331
1893",0,3,3

"",90,135,"Govt. Boys Elementery School Nai Abadi
Darya Khan",Combined,142070506,مرا قبہ ہال ٹاؤ دریا خان ٹاؤن کمیٹی,"476
476","353
353","829
829",1,1,2

"",90,136,Rest House Darya Khan/ Land Record Office,Male,142070207,محلہ ریسٹ ہاؤس دریا خان ٹاؤن کمیٹی,"1157
1157","0
0","1157
1157",2,0,2

"",90,137,Vetinery Hospital darya Khan,Male,"142070406
142070407","محلہ بنگیال آباد دریا خان ٹاؤن کمیٹی
محلہ بنگیال آباد دریا خان ٹاؤن کمیٹی","201
422
623","0
0","201
422
623",2,0,2

"",90,138,Deputy District Education Office Darya Khan,Male,142070301,محلہ سیکنڈری سکول دریا خان ٹاؤن کمیٹی,"479
479","0
0","479
479",2,0,2

"",90,139,"Govt. Girls Primary School Bangial abad
Darya Khan",Female,"142070301
142070401
142070403
142070406
142070407","محلہ سیکنڈری سکول دریا خان ٹاؤن کمیٹی
محلہ ریلوے سٹیشن دریا خان ٹاؤن کمیٹی
اسلام نگر دریا خان ٹاؤن کمیٹی
محلہ بنگیال آباد دریا خان ٹاؤن کمیٹی
محلہ بنگیال آباد دریا خان ٹاؤن کمیٹی","0
0","436
112
417
154
422
1541","436
112
417
154
422
1541",0,3,3

"",90,140,Govt Boys Primary School Farooq Abad,Male,"142070502
142070503
142070504
142070505","عید گاہ شرقی دریا خان ٹاؤن کمیٹی
مرا قبہ ہال ٹاؤ دریا خان ٹاؤن کمیٹی
اہلحد یث مسجد دریا خان ٹاؤن کمیٹی
نوری مسجد دریا خان ٹاؤن کمیٹی","850
713
408
459
2430","0
0","850
713
408
459
2430",4,0,4

"",90,141,Govt Primary School Railway Station D/Khan,Male,"142070401
142070403
142070404
142070405","محلہ ریلوے سٹیشن دریا خان ٹاؤن کمیٹی
اسلام نگر دریا خان ٹاؤن کمیٹی
کرسچین کالونی دریا خان ٹاؤن کمیٹی
محلہ فیکٹوشوگرملز دریا خان ٹاؤن کمیٹی","138
481
116
135
870","0
0","138
481
116
135
870",2,0,2

90,142,Govt Boys Primary School 5-RMK,Combined,"139060102
139060103
139060104","چک نمبر5رکھ مہوٹہ خانسر
چک نمبر6رکھ مہوٹہ خانسر
چک نمبر7رکھ مہوٹہ خانسر","225
335
320
880","156
242
224
622","381
577
544
1502",2,1,3,

"",90,143,"Govt Boys Elementary School Rakh Mahota
Chak No 1RMK",Male,"139060101
139060201
139060202
139060203","چک نمبر4رکھ مہوٹہ خانسر
چک نمبر1 رکھ مہوٹہ خانسر
چک نمبر2 رکھ مہوٹہ خانسر
چک نمبر3رکھ مہوٹہ خانسر","302
254
429
185
1170","0
0","302
254
429
185
1170",2,0,2

"",90,144,"Govt Boys Elementary School Rakh Mahota
Chak No 1RMK",Female,"139060101
139060201
139060202
139060203","چک نمبر4رکھ مہوٹہ خانسر
چک نمبر1 رکھ مہوٹہ خانسر
چک نمبر2 رکھ مہوٹہ خانسر
چک نمبر3رکھ مہوٹہ خانسر","0
0","252
242
359
161
1014","252
242
359
161
1014",0,2,2

"",90,145,Govt Boys High School Dia Murad,Combined,139030301,ڈگر اولکھ نمبر1چاہ لاہوریانوالہ،لنگرموچیانوالہ,"549
549","412
412","961
961",1,1,2

"",90,146,Govt Boys Primary School Sultan Wala,Combined,"139030303
139030304","ڈگر اولکھ نمبر1 صلح کھوہ، چاہ کمال
ڈگر اولکھ نمبر1 چاہ محمدوالہ دایہ مراد","500
537
1037","441
413
854","941
950
1891",2,2,4

"",90,147,Govt Model Primary School Mahany Wala,Combined,"139030305
139030306
139030307","ڈگر اولکھ نمبر1 دایہ مراد
ڈگر اولکھ نمبر1 دایہ مراد
ڈگر اولکھ نمبر1 دایہ مراد","105
273
40
418","66
226
35
327","171
499
75
745",1,1,2

"",90,148,Govt Elementary School Tibi Noor Shah (P),Combined,139030302,ڈگر اولکھ نمبر1 پگڑانوالہ,"941
941","729
729","1670
1670",2,1,3

"",90,149,"Govt Primary School Bair Wala Chak No 26
TDA",Combined,"139030105
139030106","چک نمبر 26 ٹی ڈی اے
چک نمبر 26 ٹی ڈی اے","511
343
854","440
221
661","951
564
1515",2,1,3

"",90,150,Govt High School Kotla Jam New Building,Combined,"139030205
139030206","کو ٹلہ جام ڈگرملکانوالہ، بلوچانوالہ
کو ٹلہ جام ڈگر،بلوچانوالہ","246
335
581","185
280
465","431
615
1046",1,1,2

"",90,151,Govt Primary School Kotla Jam New Building,Combined,"139030207
139030208","کو ٹلہ جام ڈگر،شیخانوالہ،بلوچانوالہ
کو ٹلہ جام ڈگرمحلہ کمہارانوالہ جنوبی","538
350
888","455
255
710","993
605
1598",2,1,3

"",90,152,Govt Girls High School Kotla Jam (P),Combined,"139030211
139030212
139030213","کو ٹلہ جام ڈگرمحلہ صدیق اکبر
کو ٹلہ جام ڈگرمحلہ مہاجرانوالہ
کو ٹلہ جام ڈگرملکانوالہ محلہ قاضیانوالہ","240
128
337
705","195
117
292
604","435
245
629
1309",1,1,2

"",90,153,Govt Girls High School Kotla Jam (P),Combined,"139030209
139030210","کو ٹلہ جام ڈگرحافظ آباد- ساندھیانوالہ
کو ٹلہ جام ڈگرحافظ آباد- ساندھیانوالہ","339
519
858","251
410
661","590
929
1519",2,1,3

"",90,154,Govt Primary School Chak No 27TDA,Combined,"139030101
139030102
139030103
139030104
139030801","چک نمبر 24 ٹی ڈی اے
چک نمبر 25 ٹی ڈی اے
چک نمبر 27 ٹی ڈی اے
چک نمبر 28 ٹی ڈی اے
چک نمبر29 ٹی ڈی اے","122
0
392
130
30
674","73
0
330
93
37
533","195
0
722
223
67
1207",2,1,3

"",90,155,Health Center Kotla Jam (P),Combined,"139030201
139030214
139030215","کو ٹلہ جام ڈگرٹبہ حبیب شاہ
کو ٹلہ جام ڈگر،ٹبہ حبیب شاہ، ریلوے لائن
کو ٹلہ جام ڈگر،ٹبہ حبیب شاہ، ریلوے لائن","468
168
216
852","459
112
160
731","927
280
376
1583",2,1,3

90,156,Health Center Kotla Jam (P),Combined,"139030203
139030204","کو ٹلہ جام ڈگرمحلہ درکھانوالہ- حیات کالونی
کو ٹلہ جام ڈگرمحلہ درکھانوالہ- حیات کالونی","262
351
613","221
281
502","483
632
1115",1,1,2,

"",90,157,"Govt Boys Primary School Kotla Jam Old
Building",Combined,139030202,کو ٹلہ جام ڈگرٹبہ حبیب شاہ,"217
217","157
157","374
374",1,1,2

"",90,158,Govt Girls High School Daggar Rahtas (P),Male,"139030401
139030402","ڈگررہتاس غربی بستی میاں پنجہ متوانوالہ
ڈگررہتاس غربی چاہ بوڑھا، بستی میاں پنجہ","282
749
1031","0
0","282
749
1031",2,0,2

"",90,159,Govt Girls High School Daggar Rahtas (P),Female,"139030401
139030402","ڈگررہتاس غربی بستی میاں پنجہ متوانوالہ
ڈگررہتاس غربی چاہ بوڑھا، بستی میاں پنجہ","0
0","235
566
801","235
566
801",0,2,2

"",90,160,Govt Boys High School Basti Mian Panja (P),Combined,"139030403
139030404","ڈگررہتاس غربی بستی میاں پنجہ
ڈگررہتاس غربی بستی میاں پنجہ","588
215
803","474
158
632","1062
373
1435",2,1,3

"",90,161,Govt Girls Primary School Chak No 181TDA,Combined,"139030601
139030602","چک نمبر 180 ٹی ڈی اے
چک نمبر 181 ٹی ڈی اے","492
440
932","415
390
805","907
830
1737",2,1,3

"",90,162,Govt Girls High School 183 TDA (P),Combined,139030604,چک نمبر 183ٹی ڈی اے,"612
612","493
493","1105
1105",1,1,2

"",90,163,Govt Girls Primary School Chah Hota,Combined,139030603,چک نمبر 182 ٹی ڈی اے,"427
427","333
333","760
760",1,1,2

"",90,164,"Govt Boys Primary School 184 TDA Rehman
Abad.",Combined,139030502,چک نمبر184 ٹی ڈی اے,"880
880","675
675","1555
1555",2,1,3

"",90,165,Govt Boys Primary School Arif Wala.,Combined,139030501,ڈگررہتاس شرقی,"348
348","261
261","609
609",1,1,2

"",90,166,"Govt Boys Primary School Chak No 185 TDA
Abdulhameed Abad",Combined,139030703,چک نمبر 185 ٹی ڈی اے,"554
554","397
397","951
951",1,1,2

"",90,167,"Govt Girls Elementary School Chak No. 186
TDA",Combined,139030704,چک نمبر 186 ٹی ڈی اے,"481
481","415
415","896
896",1,1,2

"",90,168,"Govt Middle Elementary School Chak No
33TDA",Combined,"139030405
139030701
139030702","چک نمبر 32 ٹی ڈی اے
چک نمبر 33 ٹی ڈی اے
چک نمبر 33 ٹی ڈی اے","68
399
424
891","53
356
364
773","121
755
788
1664",2,1,3

"",90,169,Govt Boys Primary School Gadola,Combined,"139030219
139030220
139030222","گڈولہ ڈگرٹبہ قریشیانوالہ
