Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voters on the electoral roll in case electoral area is bifurcated","Number of voters assigned to polling station",Number of polling  booths,,,,,,
"-",-,"BHOUN (MOHALLAHMADINA MASJID,MOHALLAH SABZIMANDI)",131040405,,0,542,542,,,,,
"-",-,"BHOUN (MOHALLAHPEER GUL BAADSHAH)",131040501,,0,268,268,,,,,
"-",-,"BHOUN (MOHALLAHMANDI BAZAR,MOHALLAH PURANIMACHINE)",131040503,,0,212,212,,,,,
220,"Government Boys & GirlsPrimary School No.1 Bhoun",-,-,"BHOUN (MOHALLAHSAADAT, MOHALLAHQAZIAN, MOHALLAHDAAK KHANA)",131040402,,254,0,254,4,0,4
"-",-,"BHOUN (MOHALLAHNIKA, MOHALLAH MIANAKHWAN)",131040403,,293,0,293,,,,,
"-",-,"BHOUN (MOHALLAHKOOT, MOHALLAH NIKA)",131040502,,608,0,608,,,,,
"-",-,"BHOUN (MOHALLAHKOT, MOHALLAHFAROOQ ABAD,MOHALLAH DHOKERATA)",131040504,,97,0,97,,,,,
221,"Government Boys & GirlsPrimary School No.1 Bhoun",-,-,"BHOUN (MOHALLAHSAADAT, MOHALLAHQAZIAN, MOHALLAHDAAK KHANA)",131040402,,0,282,282,0,3,3
"",,-,-,"BHOUN (MOHALLAHNIKA, MOHALLAH MIANAKHWAN)",131040403,,0,247,247,,,
"",,-,-,"BHOUN (MOHALLAHKOOT, MOHALLAH NIKA)",131040502,,0,553,553,,,
"",,-,-,"BHOUN (MOHALLAHKOT, MOHALLAHFAROOQ ABAD,MOHALLAH DHOKERATA)",131040504,,0,72,72,,,
221 Total,,-,-,,,-,0,1154,1154,0,3,3
222,"Government Boys ElementarySchool Khai",KHAI,131010704,-,-,,481,0,481,3,0,3
"",,KHAI,131010705,-,-,,342,0,342,,,
"",,"KHAI (MOHALLAHARIF IQBAL)",131010706,-,-,,183,0,183,,,
"",,KHAI,131010707,-,-,,435,0,435,,,
222 Total,,,,-,-,-,1441,0,1441,3,0,3
223,"Government Girls Primary SchoolKhai",KHAI,131010704,-,-,,0,452,452,0,3,3
KHAI,131010705,-,-,,0,326,326,,,,,
"KHAI (MOHALLAHARIF IQBAL)",131010706,-,-,,0,179,179,,,,,
KHAI,131010707,-,-,,0,410,410,,,,,
224,"Government Boys Primary SchoolShamas Abad","SHAMS ABAD(KARYALA)",131010701,-,-,,350,315,665,1,1,2
224 Total,,,,-,-,-,350,315,665,1,1,2
225,"Government Girls Primary SchoolThoa Hamayun",THOA HUMAYOON,131010702,-,-,,233,267,500,1,1,2
"",,"THOA HAMAIUN(JANUBI, SHARQI,MOHALLAH GHARBI)",131010703,-,-,,292,287,579,,,
225 Total,,,,-,-,-,525,554,1079,1,1,2
226,"Government Boys Primary SchoolMohra Awan","PAADSHAHN (DHOKEHARL)",128060805,-,-,,203,0,203,4,0,4
"",,PAADSHAHN(RATTA),128060806,-,-,,358,0,358,,,
"",,"PAADSHAHN (MOHRAAWAN)",128060807,-,-,,437,0,437,,,
"",,"PAADSHAHN (MOHRAAWAN)",128060808,-,-,,412,0,412,,,
"",,"PAADSHAHN (DHOKEQADA)",128060809,-,-,,121,0,121,,,
"",,PADSHAHAN I,128060811,-,-,,209,0,209,,,
226 Total,,,,-,-,-,1740,0,1740,4,0,4
227,"Government Girls ElementarySchool Mohra Awan","PAADSHAHN (DHOKEHARL)",128060805,-,-,,0,186,186,0,4,4
PAADSHAHN(RATTA),128060806,-,-,,0,329,329,,,,,
"PAADSHAHN (MOHRAAWAN)",128060807,-,-,,0,409,409,,,,,
"PAADSHAHN (MOHRAAWAN)",128060808,-,-,,0,432,432,,,,,
"PAADSHAHN (DHOKEQADA)",128060809,-,-,,0,118,118,,,,,
PADSHAHAN I,128060811,-,-,,0,189,189,,,,,
228,"Government Boys HigherSecondary School Padshahan.","PAADSHAHN (DHOKEDANDI)",128060801,-,-,,354,0,354,4,0,4
"",,PADSHAHAN I,128060802,-,-,,366,0,366,,,
"",,PADSHAHAN I,128060803,-,-,,324,0,324,,,
"",,"PAADSHAHN(MOHALLAH MALKANWALA)",128060804,-,-,,278,0,278,,,
"",,PADSHAHAN I,128060810,-,-,,309,0,309,,,
228 Total,,,,-,-,-,1631,0,1631,4,0,4
229,"Government Girls High SchoolPadshahan","PAADSHAHN (DHOKEDANDI)",128060801,-,-,,0,302,302,0,4,4
"",,PADSHAHAN I,128060802,-,-,,0,327,327,,,
"",,PADSHAHAN I,128060803,-,-,,0,258,258,,,
"",,"PAADSHAHN(MOHALLAH MALKANWALA)",128060804,-,-,,0,255,255,,,
"",,PADSHAHAN I,128060810,-,-,,0,298,298,,,
229 Total,,,,-,-,-,0,1440,1440,0,4,4
230,"Government Girls ElementarySchool Chohan .",CHOHAN,128061003,-,-,,383,390,773,2,2,4
"",,CHOHAN,128061004,-,-,,216,211,427,,,
"",,CHOHAN,128061005,-,-,,197,190,387,,,
230 Total,,,,-,-,-,796,791,1587,2,2,4
231,"Government Boys High SchoolHasola",HASSOLA,128061006,-,-,,128,0,128,2,0,2
"",,"HASOOLA (DHOKEMUHAMMAD YAR)",128061007,-,-,,411,0,411,,,
"",,"HASOOLA (DHOKEHASOLIAN",128061008,-,-,,477,0,477,,,
231 Total,,,,-,-,-,1016,0,1016,2,0,2
232,"Government Boys High SchoolHasola",HASSOLA,128061006,-,-,,0,113,113,0,2,2
"HASOOLA (DHOKEMUHAMMAD YAR)",128061007,-,-,,0,380,380,,,,,
"HASOOLA (DHOKEHASOLIAN",128061008,-,-,,0,437,437,,,,,
233,"Government Boys Primary SchoolLohaisar","LOHAISAR (DHOKEJHAKAR)",128061001,-,-,,308,268,576,2,1,3
"",,"LOHAISAR (DHOKEJHAKAR)",128061002,-,-,,434,350,784,,,
233 Total,,,,-,-,-,742,618,1360,2,1,3
234,"Government Boys ElementrySchool Doray",DORE,128060605,-,-,,0,561,561,0,2,2
"",,DORE,128060606,-,-,,0,336,336,,,
234 Total,,,,-,-,-,0,897,897,0,2,2
235,"Government Boys ElementrySchool Doray",DORE,128060605,-,-,,561,0,561,2,0,2
"",,DORE,128060606,-,-,,350,0,350,,,
235 Total,,,,-,-,-,911,0,911,2,0,2
236,"Government Girls Primary SchoolMiswal",MASWAL,128060601,-,-,,412,428,840,2,2,4
"",,MASWAL,128060602,-,-,,258,253,511,,,
236 Total,,,,-,-,-,670,681,1351,2,2,4
237,"Government Girls ElementarySchool Mohra Alho",MOHRA ALHO,128060603,-,-,,529,0,529,2,0,2
"",,"MOHRA ALHUU(MOHRA KHURD)",128060604,-,-,,418,0,418,,,
237 Total,,,,-,-,-,947,0,947,2,0,2
238,"Government Girls ElementarySchool Mohra Alho",MOHRA ALHO,128060603,-,-,,0,526,526,0,2,2
"",,"MOHRA ALHUU(MOHRA KHURD)",128060604,-,-,,0,381,381,,,
238 Total,,,,-,-,-,0,907,907,0,2,2
239,"Government Boys High SchoolJand",JAND,128061201,-,-,,0,558,558,0,2,2
"",,JAND,128061202,-,-,,0,361,361,,,
239 Total,,,,-,-,-,0,919,919,0,2,2
240,"Government Boys High SchoolJand",JAND,128061201,-,-,,623,0,623,2,0,2
"",,JAND,128061202,-,-,,381,0,381,,,
240 Total,,,,-,-,-,1004,0,1004,2,0,2
241,"Government Girls Primary SchoolSaue",SAAO (DHOKE KIAL),128061203,-,-,,523,471,994,1,1,2
241 Total,,,,-,-,-,523,471,994,1,1,2
242,"Government Girls ElementarySchool Langha",LANGAH,128060901,-,-,,529,0,529,2,0,2
"LANGAH (DHOKESAJAWAL KHAN)",128060902,-,-,,366,0,366,,,,,
243,"Government Girls ElementarySchool Langha",LANGAH,128060901,-,-,,0,519,519,0,2,2
"",,"LANGAH (DHOKESAJAWAL KHAN)",128060902,-,-,,0,366,366,,,
243 Total,,,,-,-,-,0,885,885,0,2,2
244,"Government Girls High SchoolDomali",DOMALI,128060905,-,-,,216,237,453,1,1,2
244 Total,,,,-,-,-,216,237,453,1,1,2
245,"Government Boys ElementarySchool Langha","LANGAH (DHOKEMIAN MEHRAB)",128060903,-,-,,289,0,289,2,0,2
"",,LANGAH,128060904,-,-,,626,0,626,,,
245 Total,,,,-,-,-,915,0,915,2,0,2
246,"Government Boys ElementarySchool Langha","LANGAH (DHOKEMIAN MEHRAB)",128060903,-,-,,0,298,298,0,2,2
"",,LANGAH,128060904,-,-,,0,640,640,,,
246 Total,,,,-,-,-,0,938,938,0,2,2
247,"Government Boys Primary SchoolDhoda",DHODHA,128080401,-,-,,717,0,717,4,0,4
"",,DHODHA,128080402,-,-,,297,0,297,,,
"",,"DHODHA (DHOKEMIAN MEHRAB)",128080403,-,-,,674,0,674,,,
247 Total,,,,-,-,-,1688,0,1688,4,0,4
248,"Government Girls ElementarySchool Dhodha",DHODHA,128080401,-,-,,0,749,749,0,4,4
"",,DHODHA,128080402,-,-,,0,318,318,,,
"",,"DHODHA (DHOKEMIAN MEHRAB)",128080403,-,-,,0,592,592,,,
248 Total,,,,-,-,-,0,1659,1659,0,4,4
249,"Government Boys Primary SchoolBhubhar",BHUBAR,128080404,-,-,,442,493,935,2,2,4
"",,BHUBAR,128080405,-,-,,267,315,582,,,
249 Total,,,,-,-,-,709,808,1517,2,2,4
250,"Government Girls Primary SchoolMundee","MANDI (DHOKEMALKAN)",128080406,-,-,,241,241,482,1,1,2
250 Total,,,,-,-,-,241,241,482,1,1,2
251,"Government Elementary SchoolDhoke Rajian","MOGLA (NARAMUGHLAN)",128080204,-,-,,542,540,1082,2,2,4
"MOGLA (NARAMUGHLAN)",128080205,-,-,,328,298,626,,,,,
252,"Government Boys Primary SchoolSadiali",SAIDYALI,128080304,-,-,,275,274,549,1,1,2
252 Total,,,,-,-,-,275,274,549,1,1,2
253,"Government Boys Primary SchoolJoor",CHECHIAN (JUUR),128080201,-,-,,346,342,688,1,1,2
"",,"CHECHIAN (DHOKEGHULAM HUSSAN)",128080202,-,-,,180,182,362,,,
253 Total,,,,-,-,-,526,524,1050,1,1,2
254,"Government Boys Primary SchoolDhoke Wali","CHECHIAN (DHOKEHASU)",128080203,-,-,,433,413,846,1,1,2
254 Total,,,,-,-,-,433,413,846,1,1,2
255,"Government Girls Primary SchoolNara Moghla",NARA CHAUNTARIAN,128080206,-,-,,281,292,573,2,2,4
"",,"NARA CHAUNTRAN(NARA MUGHLAN)",128080207,-,-,,344,354,698,,,
255 Total,,,,-,-,-,625,646,1271,2,2,4
256,"Government Girls HigherSecondary School Kalas",KALAS,128080104,-,-,,381,348,729,1,1,2
256 Total,,,,-,-,-,381,348,729,1,1,2
257,"Government Model PrimarySchool Kolian",KOLIAN (KALAS),128080106,-,-,,390,405,795,1,1,2
257 Total,,,,-,-,-,390,405,795,1,1,2
258,"Government Boys Primary SchoolHaphi",HAPHI (CHAKORA),128080101,-,-,,487,414,901,2,1,3
"",,"HAPHI (CHAKORA,DHOKE GHAZI)",128080102,-,-,,102,91,193,,,
258 Total,,,,-,-,-,589,505,1094,2,1,3
259,"Government Girls Primary SchoolChakora",CHAKORA,128080105,-,-,,487,509,996,1,1,2
259 Total,,,,-,-,-,487,509,996,1,1,2
260,"Government Boys High SchoolKalas","CHAK QADA(CHAKORA)",128080103,-,-,,902,0,902,2,0,2
260 Total,,,,-,-,-,902,0,902,2,0,2
261,"Government Boys High SchoolKalas","CHAK QADA(CHAKORA)",128080103,-,-,,0,827,827,0,2,2
262,"Government Boys High SchoolMulhal Muglan","BAMLA (MULHALMUGHLAN)",128080301,-,-,,0,418,418,0,2,2
"",,"BAMLA (MULHALMUGHLAN)",128080302,-,-,,0,423,423,,,
"",,"BAMLA (MULHALMUGHLAN)",128080303,-,-,,0,240,240,,,
262 Total,,,,-,-,-,0,1081,1081,0,2,2
263,"Government Boys High SchoolMulhal Muglan","BAMLA (MULHALMUGHLAN)",128080301,-,-,,442,0,442,2,0,2
"",,"BAMLA (MULHALMUGHLAN)",128080302,-,-,,407,0,407,,,
"",,"BAMLA (MULHALMUGHLAN)",128080303,-,-,,246,0,246,,,
263 Total,,,,-,-,-,1095,0,1095,2,0,2
264,"Government Boys Primary SchoolKahala",KAHALAH,128080601,-,-,,465,396,861,2,2,4
"",,JANDALA BHAKRAL,128080604,-,-,,264,252,516,,,
264 Total,,,,-,-,-,729,648,1377,2,2,4
265,"Government Girls ElementarySchool Jandiala Raika",JANDALA RAUKA,128080602,-,-,,299,283,582,2,1,3
"",,JANDALA RAUKA,128080603,-,-,,318,298,616,,,
265 Total,,,,-,-,-,617,581,1198,2,1,3
266,"Government Boys High SchoolGhazial",GHAZIAL,128080501,-,-,,319,333,652,2,2,4
"",,GHAZIAL,128080502,-,-,,424,451,875,,,
266 Total,,,,-,-,-,743,784,1527,2,2,4
267,"Government Boys Primary SchoolRatta Mohra",GHAZIAL,128080503,-,-,,74,71,145,2,1,3
"",,"GHAZIAL (MOHRIGHAZIAL)",128080504,-,-,,546,523,1069,,,
267 Total,,,,-,-,-,620,594,1214,2,1,3
268,"Government Boys Primary SchoolDharrugi",DHURAGGI,128080701,-,-,,617,0,617,4,0,4
"",,DHURAGGI,128080702,-,-,,465,0,465,,,
"",,DHURAGGI,128080703,-,-,,282,0,282,,,
268 Total,,,,-,-,-,1364,0,1364,4,0,4
269,"Government Girls High SchoolDharrugi",DHURAGGI,128080701,-,-,,0,599,599,0,3,3
"",,DHURAGGI,128080702,-,-,,0,422,422,,,
"",,DHURAGGI,128080703,-,-,,0,267,267,,,
269 Total,,,,-,-,-,0,1288,1288,0,3,3
PHUTAKI,128080505,-,-,,427,443,870,,,,,
270 Total,,,,-,-,-,589,622,1211,2,2,4
271,"Government Girls Primary SchoolBangwala",PHUTAKI,128080507,-,-,,367,389,756,1,1,2
271 Total,,,,-,-,-,367,389,756,1,1,2
272,"Government Girls Primary SchoolMiswal",PHUTAKI,128080506,-,-,,269,250,519,1,1,2
272 Total,,,,-,-,-,269,250,519,1,1,2
273,"Government Boys Primary SchoolTasa Mohra","TASA MOHRA(BANGWALA)",128080305,-,-,,203,210,413,1,1,2
"",,SANGWALI,128080307,-,-,,38,46,84,,,
273 Total,,,,-,-,-,241,256,497,1,1,2
274,"Government Girls Primary SchoolSaba Mohra",SABA MOHRA,128080306,-,-,,357,308,665,1,1,2
274 Total,,,,-,-,-,357,308,665,1,1,2
275,"Government Girls Primary SchoolPindi Gujran",PINDI GUJRAN,128080704,-,-,,700,715,1415,2,2,4
275 Total,,,,-,-,-,700,715,1415,2,2,4
276,"Government Primary School JandKhan Zada",JAND KHANZADA,128080902,-,-,,229,234,463,2,2,4
"",,JAND KHANZADA,128080904,-,-,,382,381,763,,,
276 Total,,,,-,-,-,611,615,1226,2,2,4
277,"Government Model PrimarySchool Panjdhera 1",PANJ DHERA,128080905,-,-,,429,381,810,2,1,3
"",,LILLIANDI,128080906,-,-,,209,190,399,,,
277 Total,,,,-,-,-,638,571,1209,2,1,3
278,Government Primary School Kal,KAL,128061104,-,-,,721,658,1379,2,2,4
278 Total,,,,-,-,-,721,658,1379,2,2,4
279,"Government Boys Primary SchoolKalial","KOTLA KALIAL (DHOKEKHANDOA)",128061101,-,-,,454,0,454,3,0,3
"KOTLA KALIAL (DOKEKARAM KABBA,KHINGAR,PANJDHERA)",128061102,-,-,,658,0,658,,,,,
280,"Government Girls Primary SchoolKalial","KOTLA KALIAL (DHOKEKHANDOA)",128061101,-,-,,0,413,413,0,2,2
"",,"KOTLA KALIAL (DOKEKARAM KABBA,KHINGAR,PANJDHERA)",128061102,-,-,,0,579,579,,,
280 Total,,,,-,-,-,0,992,992,0,2,2
281,"Office of the Union Council JandKhan Zada",JAND KHANZADA,128080901,-,-,,368,367,735,2,2,4
"",,JAND KHANZADA,128080903,-,-,,200,224,424,,,
281 Total,,,,-,-,-,568,591,1159,2,2,4
282,"Government Boys Primary SchoolDhok Kamal","BHEEN (DHOKECHACH)",128060701,-,-,,309,245,554,2,2,4
"",,"BHEEN (DHOKEKAMAL DHOKECHACH)",128060702,-,-,,465,433,898,,,
282 Total,,,,-,-,-,774,678,1452,2,2,4
283,"Government Girls Primary schoolJaond",JAWAND,128060708,-,-,,378,366,744,1,1,2
283 Total,,,,-,-,-,378,366,744,1,1,2
284,"Government Community ModelSchool Bheen","BHEEN (DHOKEBULANDIAN, IQBALABAD)",128060703,-,-,,0,333,333,0,2,2
"",,"BHEEN (MOHALLAHUSMAN ABAD)",128060704,-,-,,0,224,224,,,
"",,"BHEEN MOHALLAHFAROOQI)",128060705,-,-,,0,193,193,,,
284 Total,,,,-,-,-,0,750,750,0,2,2
285,"Government Boys High SchoolBheen","BHEEN (DHOKEBULANDIAN, IQBALABAD)",128060703,-,-,,359,0,359,2,0,2
"BHEEN (MOHALLAHUSMAN ABAD)",128060704,-,-,,265,0,265,,,,,
"BHEEN MOHALLAHFAROOQI)",128060705,-,-,,232,0,232,,,,,
286,"Government Boys High SchoolBheen",BHEEN,128060706,-,-,,480,0,480,2,0,2
"",,"BHEEN (MOHALLAHSIDIQUE)",128060707,-,-,,574,0,574,,,
286 Total,,,,-,-,-,1054,0,1054,2,0,2
287,"Government Girls High SchoolBheen",BHEEN,128060706,-,-,,0,483,483,0,2,2
"",,"BHEEN (MOHALLAHSIDIQUE)",128060707,-,-,,0,570,570,,,
287 Total,,,,-,-,-,0,1053,1053,0,2,2
288,"Government Girls Primary SchoolMusa Kahoot",MUSA KAHOT,128061103,-,-,,307,273,580,1,1,2
288 Total,,,,-,-,-,307,273,580,1,1,2
289,"Government Primary SchoolChak Umra",CHAK UMRA,128060504,-,-,,514,0,514,4,0,4
"",,CHAK UMRA,128060505,-,-,,481,0,481,,,
"",,CHAK UMRA,128060506,-,-,,325,0,325,,,
289 Total,,,,-,-,-,1320,0,1320,4,0,4
290,"Government Girls High SchoolChak Umra",CHAK UMRA,128060504,-,-,,0,522,522,0,3,3
"",,CHAK UMRA,128060505,-,-,,0,452,452,,,
"",,CHAK UMRA,128060506,-,-,,0,315,315,,,
290 Total,,,,-,-,-,0,1289,1289,0,3,3
291,"Government Boys Primary SchoolMona Meerwal",MONA MEERWAL,128060502,-,-,,643,672,1315,2,2,4
"",,MONA MEERWAL,128060503,-,-,,177,190,367,,,
291 Total,,,,-,-,-,820,862,1682,2,2,4
292,"Government Girls CommunityModel Primary School Damal",DAMAL,128060501,-,-,,330,298,628,1,1,2
292 Total,,,,-,-,-,330,298,628,1,1,2
293,"Government Girls Primary SchoolHarrar .",HARAR,128060304,-,-,,369,366,735,1,1,2
293 Total,,,,-,-,-,369,366,735,1,1,2
294,"Government Primary SchoolJhallay",JHAHLE,128060305,-,-,,390,352,742,1,1,2
294 Total,,,,-,-,-,390,352,742,1,1,2
295,"Government Model PrimarySchool Main Mair .",MIAN MAIR,128060301,-,-,,267,202,469,2,2,4
MIAN MAIR,128060302,-,-,,344,345,689,,,,,
MIAN MAIR,128060303,-,-,,142,138,280,,,,,
296,"Government Primary SchoolDhapai",DHEHPAI,128080804,-,-,,616,610,1226,2,1,3
296 Total,,,,-,-,-,616,610,1226,2,1,3
297,"Government Girls High SchoolNachindi",NACHINDI,128080801,-,-,,560,0,560,2,0,2
"",,NACHINDI,128080802,-,-,,357,0,357,,,
"",,POTHA KASHMIRI,128080803,-,-,,123,0,123,,,
297 Total,,,,-,-,-,1040,0,1040,2,0,2
298,"Government Girls High SchoolNachindi",NACHINDI,128080801,-,-,,0,560,560,0,2,2
"",,NACHINDI,128080802,-,-,,0,346,346,,,
"",,POTHA KASHMIRI,128080803,-,-,,0,74,74,,,
298 Total,,,,-,-,-,0,980,980,0,2,2
299,"Government Girls Primary SchoolJandial Mehmood",KHOKHAR,128080805,-,-,,251,246,497,2,2,4
"",,JANDIAL MAHMOOD,128080806,-,-,,245,232,477,,,
"",,NARWAN,128080807,-,-,,196,177,373,,,
299 Total,,,,-,-,-,692,655,1347,2,2,4
300,"Government Girls CommunityModel Elementry School",DOMAN,128081003,-,-,,440,444,884,2,2,4
"",,DOMAN,128081004,-,-,,245,223,468,,,
300 Total,,,,-,-,-,685,667,1352,2,2,4
301,"Government Boys Primary SchoolKurpal",KARPAL (DOHMAN),128081005,-,-,,242,243,485,1,1,2
301 Total,,,,-,-,-,242,243,485,1,1,2
302,"Government Boys Primary SchoolSocian",MULYHAL,128081006,-,-,,93,77,170,1,1,2
"",,SOSI,128081007,-,-,,287,266,553,,,
302 Total,,,,-,-,-,380,343,723,1,1,2
303,"Government Primary SchoolArrar Barrar",ARAR BARRAR,128081001,-,-,,443,445,888,2,2,4
"",,ARAR BARRAR,128081002,-,-,,312,275,587,,,
303 Total,,,,-,-,-,755,720,1475,2,2,4
304,"Government High School KhanPur",KHANPUR,128081107,-,-,,260,0,260,4,0,4
"",,KHANPUR,128081108,-,-,,406,0,406,,,
"",,KHANPUR,128081109,-,-,,133,0,133,,,
"",,KHANPUR,128081110,-,-,,740,0,740,,,
304 Total,,,,-,-,-,1539,0,1539,4,0,4
KHANPUR,128081107,-,-,,0,270,270,,,,,
KHANPUR,128081108,-,-,,0,422,422,,,,,
KHANPUR,128081109,-,-,,0,115,115,,,,,
306,"Government Girls High SchoolChak Baqir Shah",CHAK BAQIR SHAH,128081101,-,-,,272,246,518,2,2,4
"",,CHAK BAQIR SHAH,128081102,-,-,,584,634,1218,,,
"",,CHAK BAQIR SHAH,128081103,-,-,,294,303,597,,,
306 Total,,,,-,-,-,1150,1183,2333,2,2,4
307,"Government Girls High SchoolChak Baqir Shah",CHAK BAQIR SHAH,128081104,-,-,,359,381,740,2,2,4
"",,CHAK BAQIR SHAH,128081105,-,-,,251,249,500,,,
"",,CHAK BAQIR SHAH,128081106,-,-,,270,245,515,,,
307 Total,,,,-,-,-,880,875,1755,2,2,4
308,"Government Girls Primary SchoolChabbar",CHHABBAR,128081401,-,-,,525,461,986,2,2,4
"",,CHHABRI,128081403,-,-,,183,185,368,,,
308 Total,,,,-,-,-,708,646,1354,2,2,4
309,"Government Boys Primary SchoolChak Jharray",CHAK JHARREY,128081406,-,-,,421,398,819,1,1,2
"",,KAHAN PUR,128081407,-,-,,22,13,35,,,
309 Total,,,,-,-,-,443,411,854,1,1,2
310,"Government Girls Primary SchoolTaniala",TANIALA,128081504,-,-,,246,226,472,1,1,2
"",,RAKH DARENGAN,128081508,-,-,,121,103,224,,,
310 Total,,,,-,-,-,367,329,696,1,1,2
311,"Government Primary SchoolChoa Ganj Ali Shah",CHOA GANJ ALI SHAH,128081306,-,-,,327,309,636,1,1,2
311 Total,,,,-,-,-,327,309,636,1,1,2
312,"Government Girls CommunityModel Elementry SchoolDiwalian",CHUMBI SADQAL,128081502,-,-,,56,42,98,2,1,3
"",,CHUMBI SADQAL,128081503,-,-,,160,139,299,,,
"",,DOHRIAN,128081505,-,-,,221,205,426,,,
"",,DIWALIAN,128081507,-,-,,160,138,298,,,
312 Total,,,,-,-,-,597,524,1121,2,1,3
313,"Government Boys Usama BinTariq Shaheed High SchoolDewalian",DIWALIAN,128081506,-,-,,715,648,1363,2,2,4
313 Total,,,,-,-,-,715,648,1363,2,2,4
314,"Government Primary SchoolDhoke Boda",DHOK QADOO,128081305,-,-,,469,418,887,2,2,4
"",,DHOK BODA,128081307,-,-,,183,161,344,,,
314 Total,,,,-,-,-,652,579,1231,2,2,4
315,"Government Girls High SchoolShah Pur Syedan",SHAH PUR SAIDAN,128081303,-,-,,148,132,280,2,2,4
"",,SHAH PUR SAIDAN,128081304,-,-,,605,566,1171,,,
315 Total,,,,-,-,-,753,698,1451,2,2,4
SAID PUR,128081301,-,-,,521,484,1005,,,,,
316 Total,,,,-,-,-,618,594,1212,2,2,4
317,Basic Health Unit Trimni,DHOK MATHRA SINGH,128081308,-,-,,24,24,48,1,1,2
"",,SAR,128081309,-,-,,162,178,340,,,
"",,TARIMNI,128081501,-,-,,293,258,551,,,
317 Total,,,,-,-,-,479,460,939,1,1,2
318,"Government High School JandialFaizullah",JANDIAL FAIZ UALLAH,128081201,-,-,,502,481,983,1,1,2
"",,HOON,128081208,-,-,,39,28,67,,,
"",,RAKH DIL JABA,128081209,-,-,,0,0,0,,,
318 Total,,,,-,-,-,541,509,1050,1,1,2
319,"Government Boys Primary SchoolNoor Pur.",NOOR PUR,128081206,-,-,,693,625,1318,2,2,4
"",,DHAR MACHHI,128081207,-,-,,52,41,93,,,
319 Total,,,,-,-,-,745,666,1411,2,2,4
320,"Government Primary SchoolMohra Masat",TAME,128081202,-,-,,91,88,179,1,1,2
"",,MOHRA NIJARAN,128081203,-,-,,219,198,417,,,
"",,MOHRA MASAT,128081204,-,-,,159,134,293,,,
320 Total,,,,-,-,-,469,420,889,1,1,2
321,"Government Model PrimarySchool  Campus 2 Takia ShahMurad(Mohra Malarian)",MOHRA MALYARAN,128081205,-,-,,584,559,1143,2,1,3
321 Total,,,,-,-,-,584,559,1143,2,1,3
322,"Government, Primary SchoolKhotian .",KHOTHIAN,128081804,-,-,,483,0,483,4,0,4
"",,"KHOTHIAN(MOHALLAH USMANI)",128081805,-,-,,718,0,718,,,
"",,"KHOTIAN (MOHALLAHSHAH USMAN)",128081806,-,-,,403,0,403,,,
322 Total,,,,-,-,-,1604,0,1604,4,0,4
KHOTHIAN,128081804,-,-,,0,441,441,,,,,
"KHOTHIAN(MOHALLAH USMANI)",128081805,-,-,,0,655,655,,,,,
324,"Government Primary SchoolGhanwal",GHANWAL,128081402,-,-,,424,342,766,1,1,2
324 Total,,,,-,-,-,424,342,766,1,1,2
325,"Government Girls ElementarySchool Chak Kharak",CHAK KHARAK,128081404,-,-,,377,352,729,1,1,2
"",,CHAK KHARAK,128081405,-,-,,157,150,307,,,
325 Total,,,,-,-,-,534,502,1036,1,1,2
326,"Government Primary SchoolRabbal",RABBAL,128070501,-,-,,808,0,808,4,0,4
"",,RABBAL,128070502,-,-,,255,0,255,,,
"",,RABBAL,128070503,-,-,,462,0,462,,,
326 Total,,,,-,-,-,1525,0,1525,4,0,4
327,"Government Girls ElementarySchool Rabbal",RABBAL,128070501,-,-,,0,809,809,0,3,3
"",,RABBAL,128070502,-,-,,0,247,247,,,
"",,RABBAL,128070503,-,-,,0,449,449,,,
327 Total,,,,-,-,-,0,1505,1505,0,3,3
328,"Government Boys Primary SchoolSarkal Mair .",SARKAL MAYAR,128081801,-,-,,618,0,618,2,0,2
"",,SARKAL MAYAR,128081802,-,-,,263,0,263,,,
328 Total,,,,-,-,-,881,0,881,2,0,2
329,"Government Girls Primary SchoolSarkal Mair",SARKAL MAYAR,128081801,-,-,,0,612,612,0,2,2
"",,SARKAL MAYAR,128081802,-,-,,0,254,254,,,
329 Total,,,,-,-,-,0,866,866,0,2,2
330,Office Union Concil Khotian,SARKAL MAYAR,128081803,-,-,,396,395,791,1,1,2
330 Total,,,,-,-,-,396,395,791,1,1,2
331,Government High School Budhial,BHUDIAL,128070601,-,-,,487,0,487,3,0,3
"",,BHUDIAL,128070602,-,-,,611,0,611,,,
"",,BHUDIAL,128070603,-,-,,261,0,261,,,
331 Total,,,,-,-,-,1359,0,1359,3,0,3
332,"Government Girls ElementarySchool Budhial",BHUDIAL,128070601,-,-,,0,456,456,0,3,3
"",,BHUDIAL,128070602,-,-,,0,631,631,,,
"",,BHUDIAL,128070603,-,-,,0,228,228,,,
332 Total,,,,-,-,-,0,1315,1315,0,3,3
333,"Government Primary SchoolPanjain",PANJAIN,128070606,-,-,,600,574,1174,2,2,4
"",,PANJAIN,128070607,-,-,,275,260,535,,,
333 Total,,,,-,-,-,875,834,1709,2,2,4
334,"Government Girls CommunityModel School Kheewal",KHIWAL,128070504,-,-,,731,761,1492,2,2,4
335,"Government Primary SchoolGhukal",GHUKKAL,128070604,-,-,,251,242,493,1,1,2
"",,MOHRA GUJRAN,128070605,-,-,,202,173,375,,,
