1,2,3,4,5,6,7,8,9,10,11
"",,,Mohallah Shaheed Baba Faridnagar,105030409,,345,0,345,,,
"",,,,,Total: -,"1,104",0,"1,104",4,0,4
"",208,"GOVERNMENT DEGREE COLLEGE FOR WOMENHASSANABDAL (SOUTH PORTION ) (MALE)(P)",Mohallah Rehampura,105030303,,652,0,652,,,
"",,,Mohallah Mehmood Abad,105030304,,511,0,511,,,
"",,,,,Total: -,"1,163",0,"1,163",4,0,4
"",209,"GOVERNMENT BOYS ELEMENTRY SCHOOLHASANABDAL (MALE)(P)",Mohallah Mehmood Abad,105030305,,376,0,376,,,
"",,,Khwaja Nagar,105030306,,34,0,34,,,
"",,,Khwaja Nagar,105030309,,648,0,648,,,
"",,,,,Total: -,"1,058",0,"1,058",3,0,3
"",210,"GOVERNMENT BOYS HIGH SCHOOL (HOUSINGCOLONY) (EAST PORTION) HASSANABDAL (MALE)(P)",Mohallah Munoo Nagar,105030401,,247,0,247,,,
"",,,Mohallah Islampura,105030403,,649,0,649,,,
"",,,,,Total: -,896,0,896,3,0,3
"",211,"GOVERNMENT BOYS HIGH SCHOOL (HOUSINGCOLONY) (EAST PORTION) HASSANABDAL (MALE)(P)",Mohallah Munoo Nagar,105030408,,152,0,152,,,
"",,,Mohallah Islampura,105030407,,735,0,735,,,
"",,,,,Total: -,887,0,887,3,0,3
"",212,"GOVERNMENT BOYS HIGH SCHOOL (HOUSINGCOLONEY) WEST PORTION HASSANABDAL (MALE)(P)",Mohallah Mehr Abad,105030404,,159,0,159,,,
"",,,Mohallah Mehr Abad,105030410,,341,0,341,,,
"",,,Mohallah Mehr Abad,105030405,,242,0,242,,,
"",,,Mohallah Mehr Abad,105030411,,135,0,135,,,
"",,,KSB Colony,105030406,,521,0,521,,,
"",,,,,Total: -,"1,398",0,"1,398",4,0,4
"",213,"GOVERNMENT GIRLS ELEMENTARY SCHOOL NO.1ABBOTABAD CHOWK HASSANABDAL (MALE)(P)",Thanda Choa Fauji Mill,105030501,,255,0,255,,,
"",,,Cadet College Colony/M Khan Colony,105030502,,384,0,384,,,
"",,,,,Total: -,639,0,639,2,0,2
"",214,"MC BOYS PRIMARY SCHOOL MOHOLLAH SHAHEED ABADHASSANABADAL (FEMALE)(P)",Mohallah Munoo Nagar,105030401,,0,213,213,,,
"",,Mohallah Islampura,105030403,,0,498,498,,,,
"",,Mohallah Munoo Nagar,105030408,,0,64,64,,,,
"",,Mohallah Islampura,105030407,,0,654,654,,,,
"",,,,Total: -,0,"1,429","1,429",0,4,4,
215,"GOVERNMENT BOYS ELEMENTRY SCHOOLHASSANABADAL CADET COLLEGE (FEMALE) (P)",Thanda Choa Fauji Mill,105030501,,0,161,161,,,,
Cadet College Colony/M Khan Colony,105030502,,0,329,329,,,,,,
"",,Total: -,0,490,490,0,2,2,,,
"",216,"GOVERNMENT BOYS PRIMARY SCHOOL NO.3MOHALLAH MEHRABAD HASSANABADL (FEMALE) (P)",Mohallah Mehr Abad,105030404,,0,157,157,,,
"",,,Mohallah Mehr Abad,105030410,,0,292,292,,,
"",,,Mohallah Mehr Abad,105030405,,0,219,219,,,
"",,,Mohallah Mehr Abad,105030411,,0,81,81,,,
"",,,KSB Colony,105030406,,0,418,418,,,
"",,,,,Total: -,0,"1,167","1,167",0,4,4
"",217,"GOVERNMENT GIRLS ELEMENTRY SCHOOL (MC)HASSANABADAL (FEMALE) (P)",Mohallah Irshad Nagar/Munoo Nagar,105030301,,0,624,624,,,
"",,,Mohallah Irshad Nagar/Munoo Nagar,105030307,,0,392,392,,,
"",,,Mohallah Melad Nagar,105030302,,0,218,218,,,
"",,,,,Total: -,0,"1,234","1,234",0,4,4
"",218,"GOVERNMENT GIRLS ELEMENTRY SCHOOL (MC)HASSANABADAL (FEMALE) (P)",Mohallah Melad Nagar,105030308,,0,428,428,,,
"",,,Mohallah Rehampura,105030303,,0,600,600,,,
"",,,Mohallah Shaheeda Baba Faridnagar,105030402,,0,59,59,,,
"",,,Mohallah Shaheed Baba Faridnagar,105030409,,0,339,339,,,
"",,,,,Total: -,0,"1,426","1,426",0,4,4
"",219,"GOVERNMENT GIRLS PRIMARY SCHOOL NO.3MOHALLAH KHAWAJA NAGAR (FEMALE)HASSANABADAL (P)",Mohallah Mehmood Abad,105030304,,0,531,531,,,
"",,,Mohallah Mehmood Abad,105030305,,0,371,371,,,
"",,,Khwaja Nagar,105030306,,0,44,44,,,
"",,,,,Total: -,0,946,946,0,3,3
"",220,"GOVERNMENT BOYS HIGHER SECONDARY SCHOOL(COLLEGE SIDE) HASSANABADAL (MALE) (P)",Mohallah Androon,105030101,,441,0,441,,,
"",,,Mohallah Androon,105030102,,301,0,301,,,
"",,,Mohallah Hataran/Panja Bazar,105030204,,347,0,347,,,
"",,,,,Total: -,"1,089",0,"1,089",3,0,3
"",221,"GOVERNMENT BOYS HIGHER SECONDARY SCHOOL(EAST PORTION ) HASSANABADAL (MALE)  (P)",Dhok Miskeen,105030104,,426,0,426,,,
"",,,Dhok Miskeen,105030107,,394,0,394,,,
"",,,,,Total: -,820,0,820,3,0,3
"",222,"GOVERNMENT BOYS HIGHER SECONDARY SCHOOL(EAST PORTION ) HASSANABADAL (MALE)  (P)",Dhok Miskeen,105030105,,341,0,341,,,
"",,,Dhok Miskeen,105030108,,886,0,886,,,
"",,,,,Total: -,"1,227",0,"1,227",4,0,4
"",223,"GOVERNMENT BOYS HIGHER SECONDARY SCHOOL(NORTH PORTION ) HASSANABADAL (MALE) (P)",Mohallah Takya/Imam Bargah Road,105030103,,388,0,388,,,
"",,,Mohallah Peeran,105030503,,415,0,415,,,
"",,,,,NM,1,0,1,,,
"",,,,,Total: -,804,0,804,3,0,3
"",224,"GOVERNMENT BOYS HIGHER SECONDARY SCHOOL(NORTH PORTION ) HASSANABADAL (MALE) (P)",Mohallah Sakhi Nagar,105030106,,516,0,516,,,
Mohallah Sakhi Nagar,105030109,,660,0,660,,,,,,
"",,Total: -,"1,176",0,"1,176",4,0,4,,,
Mohallah Old Post Office,105030201,,658,0,658,,,,,,
"",,WOMEN EAST PORTION HASSANABADAL (MALE)(P),Mohallah Ghulam Khan,105030203,,375,0,375,,,
"",,,,,Total: -,"1,497",0,"1,497",4,0,4
"",226,"GOVERNMENT BOYS PRIMARY SCHOOL NO.2MOHALLAH NIA HASSANABADAL (MALE) (P)",Mohallah Roshanpura,105030205,,596,0,596,,,
"",,,Mohallah Khwaja Nagar,105030206,,439,0,439,,,
"",,,,,Total: -,"1,035",0,"1,035",3,0,3
"",227,"GOVERNMENT GIRLS HIGHER SECONDARY SCHOOL(COLLEGE SIDE SOURTHEN SIDE) HASSANABADAL(FEMALE) (P)",Mohallah Androon,105030101,,0,466,466,,,
"",,,Mohallah Androon,105030102,,0,304,304,,,
"",,,Mohallah Takya/Imam Bargah,105030103,,0,392,392,,,
"",,,Mohallah Hataran/Panja Bazar,105030204,,0,347,347,,,
"",,,,,Total: -,0,"1,509","1,509",0,4,4
"",228,"GOVERNMENT GIRLS HIGHER SECONDARY SCHOOLHASSANABADAL (EAST SIDE) (FEMALE) (P)",Dhok Miskeen,105030104,,0,310,310,,,
"",,,Dhok Miskeen,105030107,,0,355,355,,,
"",,,,,Total: -,0,665,665,0,2,2
"",229,"GOVERNMENT GIRLS HIGHER SECONDARY SCHOOLHASSANABADAL (EAST SIDE) (FEMALE) (P)",Dhok Miskeen,105030105,,0,240,240,,,
"",,,Dhok Miskeen,105030108,,0,788,788,,,
"",,,,,Total: -,0,"1,028","1,028",0,3,3
"",230,"GOVERNMENT GIRLS HIGHER SECONDARY SCHOOLNORTH SIDE HASSANABADAL (FEMALE) (P)",Mohallah Sakhi Nagar,105030106,,0,403,403,,,
"",,,Mohallah Peeran,105030503,,0,366,366,,,
"",,,,,NM,0,2,2,,,
"",,,,,Total: -,0,771,771,0,2,2
"",231,"GOVERNMENT GIRLS PRIMARY SCHOOL NO.2 BANOOBLOCK (NORTH SIDE) HASSANABADAL (FEMALE) (P)",Mohallah Old Post Office,105030201,,0,632,632,,,
"",,,Mohallah Old Post Office,105030202,,0,426,426,,,
"",,,Mohallah Ghulam Khan,105030203,,0,356,356,,,
"",,,,,Total: -,0,"1,414","1,414",0,4,4
"",232,"GOVERNMENT GIRLS PRIMARY SCHOOL NO.2 BANOOBLOCK (SOUTH SIDE) HASSANABADAL (FEMALE) (P)",Mohallah Roshanpura,105030205,,0,568,568,,,
"",,,Mohallah Khwaja Nagar,105030206,,0,342,342,,,
"",,,,,Total: -,0,910,910,0,3,3
"",233,"GOVERNMENT BOYS HIGH SCHOOL BURHAN HIGHPORTION (MALE)  (P)",Burhan,105020601,,449,0,449,,,
"",,,Burhan,105020602,,303,0,303,,,
"",,,,,Total: -,752,0,752,2,0,2
"",234,"GOVERNMENT BOYS HIGH SCHOOL BURHAN HIGHPORTION (MALE)  (P)",Burhan,105020603,,303,0,303,,,
BURHAN,105020610,,387,0,387,,,,,,
Burhan,105020604,,274,0,274,,,,,,
Burhan,105020607,,272,0,272,,,,,,
"",,Total: -,"1,236",0,"1,236",4,0,4,,,
Burhan,105020601,,0,376,376,,,,,,
Burhan,105020602,,0,258,258,,,,,,
"",,(FEMALE)(P),Burhan,105020603,,0,333,333,,,
"",,,Burhan,105020604,,0,270,270,,,
"",,,,,Total: -,0,"1,469","1,469",0,4,4
"",236,RURAL DISPENSARY BURHAN (MALE)(T),Burhan,105020605,,502,0,502,,,
"",,,Burhan,105020606,,872,0,872,,,
"",,,,,Total: -,"1,374",0,"1,374",4,0,4
"",237,"GOVERNMENT BOYS HIGH SCHOOL BURHANELEMENTARY PORTION (FEMALE)  (P)",Burhan,105020605,,0,433,433,,,
"",,,Burhan,105020606,,0,811,811,,,
"",,,Burhan,105020607,,0,240,240,,,
"",,,,,Total: -,0,"1,484","1,484",0,4,4
"",238,"GOVERNMENT BOYS PRIMARY SCHOOL TASS(COMBINED)(P)",Burhan,105020608,,803,678,"1,481",,,
"",,,Rakh Kharimar,105020609,,6,2,8,,,
"",,,,,Total: -,809,680,"1,489",2,2,4
"",239,"GOVERNMENT GIRLS  PRIMARY SCHOOLGHARSHEEN (COMBINED) (P)",Gharsheen,105020401,,602,525,"1,127",,,
"",,,,,Total: -,602,525,"1,127",2,1,3
"",240,"GOVERNMENT GIRLS  PRIMARY SCHOOLGHARSHEEN (COMBINED) (P)",Gharsheen,105020402,,507,444,951,,,
"",,,,,Total: -,507,444,951,2,1,3
"",241,"GOVERNMENT BOYS ELEMENTRY  SCHOOL KHUDA(MALE)(P)",Khuda,105020503,,40,0,40,,,
"",,,Khuda,105020504,,550,0,550,,,
"",,,Khuda,105020505,,301,0,301,,,
"",,,,,Total: -,891,0,891,3,0,3
"",242,"GOVERNMENT BOYS ELEMENTRY  SCHOOL KHUDA(FEMALE)(P)",Khuda,105020503,,0,48,48,,,
"",,,Khuda,105020504,,0,464,464,,,
"",,,Khuda,105020505,,0,234,234,,,
"",,,,,Total: -,0,746,746,0,2,2
"",243,"GOVERNMENT BOYS PRIMARY SCHOOL FATEH ULLAH(COMBINED) (P)",Fateh Ullah,105020501,,594,524,"1,118",,,
"",,,,,Total: -,594,524,"1,118",2,1,3
"",244,"GOVERNMENT BOYS PRIMARY SCHOOL FATEH ULLAH(COMBINED) (P)",Fateh Ullah,105020502,,560,469,"1,029",,,
"",,,,,Total: -,560,469,"1,029",2,1,3
"",245,"GOVERNMENT GIRLS ELEMENTARY SCHOOL KOHILA(FEMALE) (P)",Kohila,105020801,,0,567,567,,,
"",,,Kohila,105020803,,0,233,233,,,
"",,,Kohila,105020802,,0,320,320,,,
"",,,,,Total: -,0,"1,120","1,120",0,4,4
"",246,"GOVERNMENT BOYS ELEMENTARY SCHOOL KOHLIA(MALE)(P)",Kohila,105020801,,669,0,669,,,
Kohila,105020803,,291,0,291,,,,,,
Kohila,105020802,,424,0,424,,,,,,
"",,Total: -,"1,384",0,"1,384",4,0,4,,,
"",247,"GOVERNMENT BOYS PRIMARY SCHOOL JALLO (Male)(P)",Jallo,105020805,,196,0,196,,,
"",,,Jallo,105020806,,418,0,418,,,
"",,,,,Total: -,"1,076",0,"1,076",3,0,3
"",248,"GOVERNMENT BOYS PRIMARY SCHOOL JALLO(Female) (P)",Jallo,105020804,,0,411,411,,,
"",,,Jallo,105020805,,0,170,170,,,
"",,,Jallo,105020806,,0,359,359,,,
"",,,,,Total: -,0,940,940,0,3,3
"",249,"GOVERNMENT BOYS PRIMARY SCHOOL KACHA(COMBINED)(P)",KACHA,105020807,,342,303,645,,,
"",,,KACHA,105020808,,570,473,"1,043",,,
"",,,,,Total: -,912,776,"1,688",2,2,4
"",250,"GOVERNMENT BOYS PRIMARY SCHOOL BAI(MALE)(P)",Bai,105020809,,907,0,907,,,
"",,,BAI,105020810,,208,0,208,,,
"",,,BAI,105020811,,203,0,203,,,
"",,,,,Total: -,"1,318",0,"1,318",4,0,4
"",251,"GOVERNMENT GIRLS PRIMARY SCHOOL BAI(FEMALE) (P)",Bai,105020809,,0,773,773,,,
"",,,BAI,105020810,,0,167,167,,,
"",,,BAI,105020811,,0,139,139,,,
"",,,,,Total: -,0,"1,079","1,079",0,3,3
"",252,"GOVERNMENT BOYS PRIMARY SCHOOL BEFAHAD(COMBINED) (P)",Befahad,105010901,,758,658,"1,416",,,
"",,,,,,0,0,,,,
"",,,,,Total: -,758,658,"1,416",2,2,4
"",253,"GOVERNMENT GIRLS PRIMARY SCHOOL ISLAMGHARNOOR ABAD (COMBINED) (P)",Islam Garh,105020701,,522,405,927,,,
"",,,,,,0,0,,,,
"",,,,,Total: -,522,405,927,2,1,3
"",254,"GOVERNMENT GIRLS PRIMARY SCHOOL, DHOKMEHDI (COMBINED) (T)",Islam Garh (Dhok Mehdi),105020702,,450,363,813,,,
"",,,,,,0,0,,,,
"",,,,,Total: -,450,363,813,2,1,3
"",255,"GOVERNMENT BOYS PRIMARY SCHOOL KHALIQ-DAD(MALE)",Khaliq Dad,105020703,,885,0,885,,,
"",,,Khaliq Dad,105020704,,54,0,54,,,
"",,,Khaliq Dad,105020705,,474,0,474,,,
"",,,Kund Haji,105020706,,14,0,14,,,
"",,,,,Total: -,"1,427",0,"1,427",4,0,4
"",256,"GOVERNMENT BOYS PRIMARY SCHOOL KHALIQ-DAD(FEMALE)",Khaliq Dad,105020703,,0,790,790,,,
Khaliq Dad,105020704,,0,48,48,,,,,,
Khaliq Dad,105020705,,0,362,362,,,,,,
Kund Haji,105020706,,0,12,12,,,,,,
"",,Total: -,0,"1,212","1,212",0,4,4,,,
"",257,"GOVERNMENT BOYS ELEMENTARY SCHOOL PATHERGHAR AT BABRKI (COMBINED) PRIMARY PORTION (P)",Babraki,105010302,,117,88,205,,,
"",,,,,Total: -,877,720,"1,597",2,2,4
"",258,"GOVERNMENT BOYS PRIMARY SCHOOL KATARIAN(COMBINED) (P)",Katarian,105010305,,441,378,819,,,
"",,,,,,0,0,,,,
"",,,,,Total: -,441,378,819,2,1,3
"",259,"GOVERNMENT GIRLS PRIMARY SCHOOL QANDAHARIPUR (COMBINED) (P)",Qandahari Pur,105010303,,525,407,932,,,
"",,,Dallo,105010304,,246,203,449,,,
"",,,Rakh Qandahari Pur,105010306,,1,0,1,,,
"",,,,,Total: -,772,610,"1,382",2,2,4
"",260,"GOVERNMENT BOYS PRIMARY SCHOOL DHERIMALHU (COMBINED)(P)",Dheri Malhu,105010506,,648,556,"1,204",,,
"",,,,,,0,0,,,,
"",,,,,Total: -,648,556,"1,204",2,2,4
"",261,"GOVERNMENT BOYS PRIMARY SCHOOL KAMRA(COMBINED) (P)",Kamra,105010507,,251,208,459,,,
"",,,KAMRA,105010509,,332,337,669,,,
"",,,Kamra,105010508,,217,166,383,,,
"",,,KAMRA,105010510,,62,57,119,,,
"",,,,,Total: -,862,768,"1,630",2,2,4
"",262,"GOVERNMENT GIRLS PRIMARY SCHOOL BHALESSAR(COMBINED) (P)",Bhalesar,105010511,,355,285,640,,,
"",,,Bhalesar,105010512,,476,368,844,,,
"",,,,,Total: -,831,653,"1,484",2,2,4
"",263,"GOVERNMENT BOYS HIGH SCHOOL POURMIANA(MALE) (P)",Pourmiana,105010501,,945,0,945,,,
"",,,Pourmiana,105010504,,237,0,237,,,
"",,,,,Total: -,"1,182",0,"1,182",3,0,3
"",264,"GOVERNMENT GIRLS HIGH SCHOOL POURMIANA(FEMALE) (P)",Pourmiana,105010501,,0,884,884,,,
"",,,Pourmiana,105010504,,0,221,221,,,
"",,,,,Total: -,0,"1,105","1,105",0,3,3
"",265,"GOVERNMENT BOYS PRIMARY SCHOOL POURMIANA(COMBINED) (P)",Pourmiana,105010503,,143,151,294,,,
"",,,Pourmiana,105010502,,555,527,"1,082",,,
"",,,Pourmiana,105010505,,82,65,147,,,
"",,,,,Total: -,780,743,"1,523",2,2,4
"",266,"GOVERNMENT GIRLS HIGH SCHOOL JAHAN ABAD(FEMALE) (P)",Jehan Abad,105010404,,0,404,404,,,
"",,,Jehan Abad,105010405,,0,599,599,,,
"",,,,,Total: -,0,"1,003","1,003",0,3,3
"",267,"GOVERNMENT BOYS ELEMENTARY SCHOOL JEHANABAD (MALE) (P)",Jehan Abad,105010404,,462,0,462,,,
Jehan Abad,105010405,,651,0,651,,,,,,
"",,Total: -,"1,113",0,"1,113",3,0,3,,,
Bhoi Gar,105010402,,817,660,"1,477",,,,,,
"",269,"GOVERNMENT BOYS PRIMARY SCHOOL, BHOI(MALE)(T)",Bhoi Gar,105010401,,904,0,904,,,
"",,,Bhoi Gar,105010403,,645,0,645,,,
"",,,,,Total: -,"1,549",0,"1,549",4,0,4
"",270,"GOVERNMENT GIRLS ELEMENTARY SCHOOL BHOI(FEMALE)(P)",Bhoi Gar,105010401,,0,826,826,,,
"",,,Bhoi Gar,105010403,,0,527,527,,,
"",,,,,Total: -,0,"1,353","1,353",0,4,4
"",271,"GOVERNMENT BOYS HIGH SCHOOL PIND MEHRI(COMBINED) (P)",Pind Mehri,105010603,,802,655,"1,457",,,
"",,,,,Total: -,802,655,"1,457",2,2,4
"",272,"GOVERNMENT BOYS HIGH SCHOOL PIND MEHRI (MALE)(P)",Pind Mehri,105010602,,729,0,729,,,
"",,,PIND MEHRI,105010604,,514,0,514,,,
"",,,,,Total: -,"1,243",0,"1,243",4,0,4
"",273,"GOVERNMENT GIRLS HIGH SCHOOL PIND MEHRI(FEMALE) (P)",Pind Mehri,105010602,,0,591,591,,,
"",,,PIND MEHRI,105010604,,0,411,411,,,
"",,,,,Total: -,0,"1,002","1,002",0,3,3
"",274,"GOVERNMENT BOYS PRIMARY SCHOOL CHAPPER HARDU(COMBINED) (P)",Chapper Hardu,105010601,,264,196,460,,,
"",,,,,,0,0,,,,
"",,,,,Total: -,264,196,460,1,1,2
"",275,"GOVERNMENT BOYS PRIMARY SCHOOL MOHRI(COMBINED)(P)",Mohri,105010706,,591,431,"1,022",,,
"",,,,,,0,0,,,,
"",,,,,Total: -,591,431,"1,022",2,1,3
"",276,"GOVERNMENT GIRLS PRIMARY SCHOOL ISMAELIA(COMBINED) (P)",Ismaelia,105010707,,214,158,372,,,
"",,,,,,0,0,,,,
"",,,,,Total: -,214,158,372,1,1,2
"",277,"GOVERNMENT BOYS HIGH SCHOOL SULTAN PUR(COMBINED)(P)",Sultan Pur,105010701,,372,291,663,,,
"",,,Sultan Pur,105010702,,452,267,719,,,
"",,,,,Total: -,824,558,"1,382",2,2,4
"",278,"GOVERNMENT BOYS HIGH SCHOOL SULTAN PUR(COMBINED)(P)",SULTAN PUR,105010703,,589,445,"1,034",,,
"",,,,,Total: -,589,445,"1,034",2,1,3
"",279,"GOVERNMENT BOYS PRIMARY SCHOOL SULTAN PUR(COMBINED) (P)",SULTAN PUR,105010704,,515,569,"1,084",,,
"",,,,,Total: -,515,569,"1,084",2,1,3
"",280,"GOVERNMENT GIRLS PRIMARY SCHOOL SULTANPUR AT UTMAN ABAD (COMBINED) (P)",Sultan Pur,105010705,,674,540,"1,214",,,
"",,,,,Total: -,674,540,"1,214",2,2,4
"",281,"GOVERNMENT BOYS HIGH SCHOOL SHAHIA(MALE)(P)",SHAHIA,105010708,,650,0,650,,,
SHAHIA,105010709,,470,0,470,,,,,,
Shahia,105010710,,353,0,353,,,,,,
"",,Total: -,"1,473",0,"1,473",4,0,4,,,
SHAHIA,105010708,,0,538,538,,,,,,
"",,(FEMALE)(P),Shahia,105010710,,0,302,302,,,
"",,,,,,0,"1,201","1,201",0,4,4
"",283,"GOVERNMENT BOYS HIGH SCHOOL BHALLAR JOGI(COMBINED) (P)",Bhalar Jogi,105020101,,559,538,"1,097",,,
"",,,,,Total: -,559538,"1,097",2,1,3,
"",284,"GOVERNMENT BOYS HIGH SCHOOL BHALLAR JOGI(COMBINED) (P)",Bhalar Jogi,105020102,,569,449,"1,018",,,
"",,,,,Total: -,569449,"1,018",2,1,3,
"",285,"GOVERNMENT GIRLS ELEMENTRY SCHOOL BHADIAN(COMBINED) (P)",Bhadian,105020103,,667,513,"1,180",,,
"",,,,,Total: -,667,513,"1,180",2,1,3
"",286,"GOVERNMENT GIRLS PRIMARY SCHOOL BHEDIAN ATISLAM KOT (COMBINED) (P)",Bhadian,105020104,,337,242,579,,,
"",,,BHADIAN,105020105,,562,469,"1,031",,,
"",,,,,Total: -,899,711,"1,610",2,2,4
"",287,"GOVERNMEN BOYS PRIMARY SCHOOL BHEDIAN(COMBINED) (P)",BHADIAN,105020106,,249,176,425,,,
"",,,BHADIAN,105020107,,547,481,"1,028",,,
"",,,,,Total: -,796,657,"1,453",2,2,4
"",288,"GOVERNMENT BOYS PRIMARY SCHOOL KAWAN(COMBINED) (P)",Kawan,105020206,,927,760,"1,687",,,
"",,,,,Total: -,927,760,"1,687",,,
"",289,"GOVERNMENT GIRLS COMMUNITY MODLE SCHOOLMANSOORA (COMBINED) (P)",Mansoora,105020205,,433,308,741,,,
"",,,,,Total: -,433,308,741,2,1,3
"",290,"GOVERNMENT GIRLS PRIMARY SCHOOL MIR PUR(COMBINED) (P)",Mir Pur,105020203,,783,695,"1,478",,,
"",,,Khota Khurd,105020204,,65,49,114,,,
"",,,,,Total: -,848,744,"1,592",2,2,4
"",291,"GOVERNMENT BOYS PRIMARY SCHOOL TANDA(MALE)(P)",Tanda,105020201,,624,0,624,,,
"",,,Tanda,105020202,,628,0,628,,,
"",,,,,Total: -,"1,252",0,"1,252",4,0,4
"",292,"GOVERNMENT GIRLS ELEMENTARY SCHOOL TANDA(FEMALE) (P)",Tanda,105020201,,0,505,505,,,
"",,,Tanda,105020202,,0,497,497,,,
"",,,,,Total: -,0,"1,002","1,002",0,3,3
"",293,"GOVERNMENT BOYS ELEMENTARY SCHOOLSABAZPIR (MALE)(P)",Sabazpir,105020302,,640,0,640,,,
"",,,Sabazpir,105020303,,417,0,417,,,
"",,,,,Total: -,"1,057",0,"1,057",3,0,3
"",294,"GOVERNMENT BOYS ELEMENTARY SCHOOLSABAZPIR (FEMALE)(P)",Sabazpir,105020302,,0,522,522,,,
"",,,Sabazpir,105020303,,0,306,306,,,
"",,,,,Total: -,0,828,828,0,3,3
"",295,"GOVERNMENT GIRLS PRIMARY SCHOOL PIRMINDIALA(COMBINED)(P)",Pir Mandiala,105020305,,333,284,617,,,
"",,,,,Total: -,333,284,617,1,1,2
"",296,"GOVERNMENT BOYS PRIMARY SCHOOL GUNGA PIND(COMBINED) (P)",Gunga Pind,105020304,,246,232,478,,,
"",,Total: -,246,232,478,1,1,2,,,
"",(COMBINED)(P),,,Total: -,316,234,550,1,1,2
298,"GOVT. BOYS ELEMENTARY SCHOOL (KASHMIRIGATE) HAZRO (MALE)(P) (1st PORTION)",Mohallah Masjid wa Muqbara,109050203,,639,0,639,,,
"",,Mohallah Shahbaz Garh,109050209,,621,0,621,,,
"",,Total: -,,,1260,0,1260,4,0,4
299,"GOVT. BOYS ELEMENTARY SCHOOL (KASHMIRIGATE) HAZRO (FEMALE) (P) (2nd PORTION)",Mohallah Masjid wa Muqbara,109050203,,0,492,492,,,
"",,Mohallah Shahbaz Garh,109050209,,0,468,468,,,
"",,Total: -,,,0,960,960,0,3,3
300,GOVT. HIGH  SCHOOL NO.2 HAZRO (DHERI) (MALE)(P),Mohallah Mian Mola Baksh,109050206,,1526,0,1526,,,
"",,Total: -,,,1526,0,1526,4,0,4
301,GOVT. HIGH  SCHOOL NO.2 HAZRO (DHERI) (MALE)(P),Mohallah Qasaban,109050207,,803,0,803,,,
"",,Mohallah Masjid Qasaban,109050208,,137,0,137,,,
"",,Mohallah Masjid Qasaban,109050212,,108,0,108,,,
"",,Total: -,,,1048,0,1048,3,0,3
302,"GOVT. GIRLS HIGH SCHOOL NO. 3  (OLD HOSPITAL)HAZRO (FEMALE)(P)",Mohallah Mian Mola Baksh,109050206,,0,1477,1477,,,
"",,Total: -,,,0,1477,1477,0,4,4
303,"GOVT. GIRLS HIGH SCHOOL NO. 3  (OLD HOSPITAL)HAZRO (FEMALE)(P)",Mohallah Qasaban,109050207,,0,601,601,,,
"",,Mohallah Masjid Qasaban,109050208,,0,138,138,,,
"",,Mohallah Masjid Qasaban,109050212,,0,75,75,,,
"",,Total: -,,,0,814,814,0,2,2
304,"GOVT. BOYS HIGH SCHOOL NO 1 HAZRO (THANAROAD) (MALE)(P)",Mohallah Muslim Ganj,109050101,,507,0,507,,,
"",,Mohallah Muslim Ganj,109050110,,525,0,525,,,
"",,Mohallah Abad Gali,109050103,,294,0,294,,,
"",,Total: -,,,1326,0,1326,4,0,4
305,"GOVT. BOYS HIGH SCHOOL NO 1 HAZRO (THANAROAD) (MALE)(P)",Mohallah Abdul,109050102,,579,0,579,,,
"",,Mohallah Azeem Khan,109050205,,329,0,329,,,
"",,Mohallah Azeem Khan,109050211,,172,0,172,,,
"",,Total: -,,,1080,0,1080,3,0,3
306,"GOVT. BOYS HIGH SCHOOL NO 1 HAZRO (THANAROAD) (FEMALE)(P)",Mohallah Muslim Ganj,109050101,,0,564,564,,,
"",,Mohallah Muslim Ganj,109050110,,0,352,352,,,
"",,Mohallah Abad Gali,109050103,,0,278,278,,,
"",,Total: -,,,0,1194,1194,0,4,4
307,"GOVT. BOYS HIGH SCHOOL NO 1 HAZRO (THANAROAD) (FEMALE)(P)",Mohallah Abdul,109050102,,0,536,536,,,
Mohallah Azeem Khan,109050205,,0,317,317,,,,,
Mohallah Azeem Khan,109050211,,0,136,136,,,,,
Total: -,,,0,989,989,0,3,3,,
Mohallah Eidgah,109050201,,527,0,527,,,,,
Mohallah Eidgah,109050210,,364,0,364,,,,,
"",,Total: -,908,0,908,3,0,3,,
309,GOVT. GIRLS COLLEGE HAZRO (MALE)(P),Mohallah Eidgah,109050202,,973,0,973,,,
"",,Hazro Rural,109050111,,62,0,62,,,
"",,Total: -,1035,0,1035,3,0,3,,
310,GOVT. GIRLS COLLEGE HAZRO (FEMALE)(P),Mohallah Eidgah,109050201,,0,341,341,,,
"",,Mohallah Eidgah,109050210,,0,396,396,,,
"",,Total: -,0,737,737,0,2,2,,
311,GOVT. GIRLS COLLEGE HAZRO (FEMALE)(P),Mohallah Eidgah,109050202,,0,825,825,,,
"",,Hazro Rural,109050111,,0,47,47,,,
"",,Urtak,109020803,,0,9,9,,,
"",,Total: -,0,881,881,0,3,3,,
312,"GOVT. GIRLS HIGH SCHOOL NO.2 (NAWAZ SHARIFMODEL SCHOOL) HAZRO (MALE)(P)",Mohallah Pathan Colony,109050105,,855,0,855,,,
"",,Mohallah Ashraf Pura,109050107,,371,0,371,,,
"",,Total: -,1226,0,1226,4,0,4,,
313,MUNCIPAL DISPENSARY HAZRO (FEMALE)(P),Mohallah Pathan Colony,109050105,,0,706,706,,,
"",,Mohallah Ashraf Pura,109050107,,0,316,316,,,
