Sr. No,"No. and Name of PollingStation",In case of rural areas,In Case of Urban Area,"S. No. of Voterson the Electoralroll in caseelectoral area isbifurcated","Number of Voters assigned topolling Station",Number of Polling Booths,,,,,,
"",,Chak No.38UCC,198020615,,,,0,345,345,,,
115,"115. Government.BoysPrimary School Chak No.43",Chak No.43,198020616,,,,354,240,594,1,1,2
"",,Chak No.43,198020619,,,,299,225,524,,,
116,"116. Government GirlsElementary School Bharath",Bhurth,1   9  8  0  2  0   3  0  1,,,,721,0,721,4,0,4
"",,Bhurth,198020302,,,,495,0,495,,,
"",,Bhurth,198020303,,,,395,0,395,,,
"",,Qadian (BC),198020309,,,,0,0,0,,,
"",,Khair Din Pur (BC),198020403,,,,2,0,2,,,
"",,Kot Mool Chand,198020404,,,,215,0,215,,,
117,"117. Government GirlsElementary School Bharath",Bhurth,1   9  8  0  2  0   3  0  1,,,,0,532,532,0,2,2
Bhurth,198020302,,,,0,340,340,,,,,
Bhurth,198020303,,,,0,248,248,,,,,
Qadian (BC),198020309,,,,0,0,0,,,,,
Khair Din Pur (BC),198020403,,,,0,0,0,,,,,
Kot Mool Chand,198020404,,,,0,125,125,,,,,
Bhurth,1   9  8  0  2  0   3  0  4,,,,2  7  5,0,275,,,,,
Bhurth,1   9  8  0  2  0   3  1  3,,,,2  2  3,0,223,,,,,
Bhurth,198020305,,,,67,0,67,,,,,
Bhurth,198020314,,,,230,0,230,,,,,
Bhurth,198020306,,,,448,0,448,,,,,
Jadha (BC),198020310,,,,3,0,3,,,,,
Ali Pur (BC),198020311,,,,2,0,2,,,,,
119,"119. Government.BoysPrimary School Karool. (111)",Bhurth,1   9  8  0  2  0   3  0  4,,,,0,2  2  5,225,0,2,2
"",,Bhurth,1   9  8  0  2  0   3  1  3,,,,0,1  2  9,129,,,
"",,Bhurth,198020305,,,,0,51,51,,,
"",,Bhurth,198020314,,,,0,137,137,,,
"",,Bhurth,198020306,,,,0,255,255,,,
"",,Jadha (BC),198020310,,,,0,1,1,,,
"",,Ali Pur (BC),198020311,,,,0,4,4,,,
"",,Rasool (BC),198020312,,,,0,0,0,,,
120,"120. Government.BoysPrimary School Bhulkhy (P)*",Kot Nathu,1  9 8020307,,,,218,126,344,2,1,3
"",,Kot Jaspat,198020308,,,,69,28,97,,,
"",,Bhulkay,198020401,,,,219,159,378,,,
"",,Bhulkay,198020402,,,,394,282,676,,,
121,"121. Government.BoysPrimary School Bhulkhy (P)*",Daddian,198010205,,,,532,349,881,2,1,3
"",,Kot Hadyat Ali,198010206,,,,461,248,709,,,
122,"122. Government PrimarySchool Bukan Wal",Bakanwal,1  9  8  0  2  0  8   0  1,,,,1  9  8,9  0,288,1,1,2
"",,Ratni Wal (BC),198020802,,,,0,0,0,,,
"",,Shedi Wal,198020803,,,,21,17,38,,,
"",,Qazi Marali,198020804,,,,35,10,45,,,
"",,Kotli Kachi,198020805,,,,10,8,18,,,
"",,Chohan,198020806,,,,36,32,68,,,
123,"123. Canal Rest HouseBabakwal (T)**",Babakwal  (Shahabpura),198010202,,,,574,303,877,2,2,4
"",,Babakwal  (Shahabpura),198010203,,,,312,204,516,,,
124,"124. Canal Rest HouseBabakwal. (115)",Babakwal  (Shahabpura),1  9  8   0  1  0  2  0   1,,,,601,318,919,2,1,3
125,"125. Government.BoysPrimary School Chak No.40UCC (Male) (T)**",Chak No.40UCC,198020504,,,,911,0,911,3,0,3
"",,Chak No.40UCC,198020505,,,,467,0,467,,,
"",,Chak No.40UCC,198020506,,,,0,0,0,,,
"",,Chak No.40UCC,198020507,,,,0,0,0,,,
"",,Chak No.40UCC,198020508,,,,0,0,0,,,
126,"126. Government.BoysPrimary School Chak No.40UCC (Female) (T)**",Chak No.40UCC,198020504,,,,0,588,588,0,2,2
"",,Chak No.40UCC,198020505,,,,0,293,293,,,
"",,Chak No.40UCC,198020506,,,,0,0,0,,,
"",,Chak No.40UCC,198020507,,,,0,0,0,,,
"",,Chak No.40UCC,198020508,,,,0,0,0,,,
127,"127. Government.BoysPrimary School Chak No.42UCC (P)*",Chak No.42UCC,198020501,,,,585,398,983,1,1,2
128,"128. Government GirlsElementary School Chak No.41",Chak No.41UCC,198020502,,,,383,248,631,1,1,2
Chak No.41UCC,198020503,,,,382,219,601,,,,,
"Chak No.39UCC (ShadmanScheme)",198020601,,,,585,0,585,,,,,
130,"130. Government.BoysPrimary School Chak No.39UCC. (120)",Chak No.39UCC (Goldan City),198020603,,,,426,0,426,2,0,2
"",,Chak No.39UCC (Goldan City),198020604,,,,0,0,0,,,
"",,(Scheme No.3 Rana Town),198020605,,,,10,0,10,,,
"",,(Scheme No.3 Rana Town),198020606,,,,32,0,32,,,
"",,(Scheme No.3 Rana Town),198020617,,,,394,0,394,,,
131,"131. Government.BoysPrimary School Chak No.39UCC (Female) (P)*","Chak No.39UCC (ShadmanScheme)",198020601,,,,0,433,433,0,3,3
"Chak No.39UCC (ShadmanScheme)",198020602,,,,0,336,336,,,,,
Chak No.39UCC (Goldan City),198020603,,,,0,248,248,,,,,
Chak No.39UCC (Goldan City),198020604,,,,0,0,0,,,,,
"(Scheme No.3 Rana Town)",198020605,,,,0,7,7,,,,,
"(Scheme No.3 Rana Town)",198020606,,,,0,14,14,,,,,
"(Scheme No.3 Rana Town)",198020617,,,,0,324,324,,,,,
"Chak No.39UCC               (ShereBangal Colony)",198020607,,,,81,0,81,,,,,
"Chak No.39UCC               (ShereBangal Colony)",198020618,,,,142,0,142,,,,,
"Chak No.39UCC               (ShereBangal Colony)",198020608,,,,187,0,187,,,,,
"Chak No.39UCC               (ShereBangal Colony)",198020609,,,,188,0,188,,,,,
"Chak No.39UCC               (ShereBangal Colony)",198020610,,,,397,0,397,,,,,
"Chak No.39UCC               (ShereBangal Colony)",198020611,,,,299,0,299,,,,,
133,"133. Social welfare DispansaryF Block Near Gate No.2 ShereBangal Colony Chak No.39UCC(Female) (T)**","Chak No.39UCC              (ShereBangal Colony)",198020607,,,,0,53,53,0,3,3
"",,"Chak No.39UCC              (ShereBangal Colony)",198020618,,,,0,122,122,,,
"",,"Chak No.39UCC               (ShereBangal Colony)",198020608,,,,0,153,153,,,
"",,"Chak No.39UCC               (ShereBangal Colony)",198020609,,,,0,149,149,,,
"",,"Chak No.39UCC               (ShereBangal Colony)",198020610,,,,0,308,308,,,
"",,"Chak No.39UCC               (ShereBangal Colony)",198020611,,,,0,240,240,,,
"",,"Chak No.39UCC               (ShereBangal Colony)",198020612,,,,0,188,188,,,
134,"134. Basic Health CentreLambray (Male) (P)*",Lambray,199050401,,,,366,0,366,2,0,2
"",,Lambray,199050403,,,,463,0,463,,,
135,"135. Government.Boys MiddleSchool Lambray (Female) (P)*",Lambray,199050401,,,,0,284,284,0,2,2
"",,Lambray,199050403,,,,0,384,384,,,
136,"136. Government GirlsCommunity Model School,",Mari Challean,199050402,,,,293,204,497,1,1,2
"",,Mari Challean,199050404,,,,412,228,640,,,
137,"137. Government.Boys HighSchool Tipiala Dost",Tipiala Dost Muhammad,199050601,,,,257,167,424,1,1,2
"",,Tipiala Dost Muhammad,199050602,,,,426,296,722,,,
138,"138. Government.Boys HighSchool Tipiala Dost",Tipiala Dost Muhammad,199050603,,,,245,170,415,1,1,2
"",,Tipiala Dost Muhammad,199050604,,,,304,210,514,,,
139,"139. Government.Boys HighSchool Tipiala DostMuhammad (P)*",Tipiala Dost Muhammad,199050605,,,,495,358,853,1,1,2
"",,Tipiala Dost Muhammad,199050606,,,,158,73,231,,,
"",,Tipiala Dost Muhammad,199050610,,,,154,116,270,,,
140,"140. Government.Girls HighSchool Tipiala DostMuhammad (P)*",Tipiala Dost Muhammad,199050607,,,,292,178,470,1,1,2
"",,Tipiala Dost Muhammad,199050608,,,,216,107,323,,,
"",,Tipiala Dost Muhammad,199050611,,,,108,125,233,,,
141,"141. Govt. Boys Primary SchoolRastam pur",Rastam Pur,199050609,,,,444,282,726,1,1,2
142,"142. Government Girls HighSchool Nangal Kiswala",Nangal Kaswala,199050210,,,,641,451,1092,2,2,4
"",,Nangal Kaswala,199050211,,,,420,295,715,,,
143,"143. Govt Girls Degree CollegeMuridke (Shehzad Town) (P)*",Kot Yaqoob,199050203,,,,465,306,771,2,2,4
"",,Kot Yaqoob,199050204,,,,457,345,802,,,
144,"144. Govt Girls Degree CollegeMuridke (Shehzad Town) (194)",Kot Yaqoob,199050202,,,,284,200,484,2,2,4
"",,(Shahzad Town),199050205,,,,248,187,435,,,
"",,Kot Yaqoob,199050208,,,,110,73,183,,,
145,"145. Government.BoysPrimary School Kot YaqoobTiba (P)*",Kot Yaqoob,199050206,,,,363,143,506,2,2,4
Kot Yaqoob,199050207,,,,236,196,432,,,,,
Kot Yaqoob,199050212,,,,322,158,480,,,,,
Kot Yaqoob,199050213,,,,130,155,285,,,,,
Kot Yaqoob,1  9  9   0  5  0  2  01,,,,424,346,770,,,,,
Kot Yaqoob,199050209,,,,318,239,557,,,,,
147,"147. Government.BoysPrimary School Kot Syedan",Kot Syedian,199050505,,,,368,250,618,1,1,2
"",,Monganwala,1   9  9  0 50506,,,,82,73,155,,,
148,"148. Government RuralDispensary, Chora Rajputtan,",Chora Rajputtan,199050501,,,,211,130,341,1,1,2
"",,Chora Rajputtan,199050502,,,,313,194,507,,,
149,"149. Government.Girls PrimarySchool Chora Rajputtan (P)*",Chora Rajputtan,199050504,,,,707,452,1159,2,2,4
