66,Govt High School Bagrian Dharam Chand,,,"Bagrian Dharam Chand( Tayab Town)",259040306,,0,280,280,,2,2,Female
66,,,Bagrian Dharam Chand,259040301,,0,445,445,0,Female,,,
66,,,Bagrian Dharam Chand,259040317,,0,138,138,0,Female,,,
66,,,Bagrian Dharam Chand,259040318,,0,47,47,0,Female,,,
66 Total,,,,,,,0,910,910,0,2,2,
67,,,"Bagrian Dharam Chand( Sherazi Town )",259040312,,318,210,528,4,Combined,,,
67,,,"Bagrian Dharam Chand( Sherazi Town )",259040313,,74,38,112,0,Combined,,,
67,,,"Bagrian Dharam Chand( Sherazi Town )",259040341,,25,14,39,0,Combined,,,
67,,,"Bagrian Dharam Chand( Sherazi Town )",259040314,,22,10,32,0,Combined,,,
67,,,Bagrian Dharam Chand,259040315,,67,54,121,0,Combined,,,
67,,,Bagrian Dharam Chand,259040342,,27,20,47,0,Combined,,,
67,,,Bagrian Dharam Chand,259040343,,29,15,44,0,Combined,,,
67,,,Bagrian Dharam Chand,259040344,,24,14,38,0,Combined,,,
67,,,Bagrian Dharam Chand,259040345,,26,18,44,0,Combined,,,
67,,,Bagrian Dharam Chand,259040316,,27,20,47,0,Combined,,,
67,,,Bagrian Dharam Chand,259040346,,28,21,49,0,Combined,,,
67,,,Bagrian Dharam Chand,259040347,,29,17,46,0,Combined,,,
67,,,Bagrian Dharam Chand,259040348,,26,19,45,0,Combined,,,
67,,,Bagrian Dharam Chand,259040349,,26,13,39,0,Combined,,,
67,,,Bagrian Dharam Chand,259040350,,29,15,44,0,Combined,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
67,,,,Bagrian Dharam Chand,259040352,,28,28,56,,,0,Combined
67,,,Bagrian Dharam Chand,259040353,,27,20,47,0,Combined,,,
67,,,Bagrian Dharam Chand,259040354,,26,21,47,0,Combined,,,
67,,,Bagrian Dharam Chand,259040355,,26,25,51,0,Combined,,,
67,,,Bagrian Dharam Chand,259040356,,24,28,52,0,Combined,,,
67,,,Bagrian Dharam Chand,259040357,,25,10,35,0,Combined,,,
67,,,Bagrian Dharam Chand,259040358,,27,22,49,0,Combined,,,
67,,,Bagrian Dharam Chand,259040359,,27,15,42,0,Combined,,,
67,,,Bagrian Dharam Chand,259040360,,80,86,166,0,Combined,,,
67 Total,,,,,,,1094,776,1870,2,2,4,
68,,,"Bagrian Dharam Chand( Khaki Shah  Road /Jewa Park)",259040310,,172,0,172,4,Male,,,
68,,,"Bagrian Dharam Chand( Hakim Town / JewaPark )",259040329,,106,0,106,0,Male,,,
68,,,"Bagrian Dharam Chand( Khaki Shah  Road /Jewa Park)",259040311,,111,0,111,0,Male,,,
68,,,"Bagrian Dharam Chand( Hakim Town / JewaPark )",259040330,,105,0,105,0,Male,,,
68,,,"Bagrian Dharam Chand( Hakim Town / JewaPark )",259040331,,104,0,104,0,Male,,,
68,,,"Bagrian Dharam Chand( Hakim Town / JewaPark )",259040332,,103,0,103,0,Male,,,
68,,,"Bagrian Dharam Chand( Hakim Town / JewaPark )",259040333,,106,0,106,0,Male,,,
68,,,"Bagrian Dharam Chand( Hakim Town / JewaPark )",259040334,,108,0,108,0,Male,,,
S.No.,No. and Name of Polling Station,In case of rural,In case of urban,S.No. of voters on the,Male,Female,Total,Male,Female,Total,Type
"",,area,area,electoral roll in case,Voters,Voters,Voters,Booths,Booths,Booths,
"",,Name of Block Code,Name of Electoral Block Code,electoral area is,,,,,,,
"",,Electoral Area,Area,bifurcated,,,,,,,
1,2,3 4,5 6,7,8,9,10,11,12,13,14
68,,,Bagrian Dharam Chand 259040336,,101,0,101,,,0,Male
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
68,,,Bagrian Dharam Chand 259040337,,105,0,105,,,0,Male
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
68,,,Bagrian Dharam Chand 259040338,,97,0,97,,,0,Male
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
68,,,Bagrian Dharam Chand 259040339,,108,0,108,,,0,Male
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
68,,,Bagrian Dharam Chand 259040340,,117,0,117,,,0,Male
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
68 Total,,,,,1549,0,1549,4,0,4,
69,"Govt. Girls Elemenry School Bagrian, Lahore",,Bagrian Dharam Chand 259040310,,0,125,125,,2,2,Female
"",,,( Khaki Shah  Road /,,,,,,,,
"",,,Jewa Park),,,,,,,,
69,,,Bagrian Dharam Chand 259040329,,0,127,127,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040311,,0,13,13,,,0,Female
"",,,( Khaki Shah  Road /,,,,,,,,
"",,,Jewa Park),,,,,,,,
69,,,Bagrian Dharam Chand 259040330,,0,58,58,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040331,,0,61,61,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040332,,0,69,69,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040333,,0,53,53,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040334,,0,65,65,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040335,,0,67,67,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040336,,0,57,57,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
S.No.,No. and Name of Polling Station,In case of rural,In case of urban,S.No. of voters on the,Male,Female,Total,Male,Female,Total,Type
"",,area,area,electoral roll in case,Voters,Voters,Voters,Booths,Booths,Booths,
"",,Name of Block Code,Name of Electoral Block Code,electoral area is,,,,,,,
"",,Electoral Area,Area,bifurcated,,,,,,,
1,2,3 4,5 6,7,8,9,10,11,12,13,14
69,,,Bagrian Dharam Chand 259040337,,0,62,62,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040338,,0,60,60,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040339,,0,65,65,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69,,,Bagrian Dharam Chand 259040340,,0,68,68,,,0,Female
"",,,( Hakim Town / Jewa,,,,,,,,
"",,,Park ),,,,,,,,
69 Total,,,,,0,950,950,0,2,2,
70,Govt. Boys Primary School Kanbha Pind Lahore,,PCSIR 2 259040221,,1248,1081,2329,2,2,4,Combined
"",(Permanent) (),,,,,,,,,,
70 Total,,,,,1248,1081,2329,2,2,4,
Grand Total,,,,,52116,41629,93745,114,92,206,
"",,In case of rural,In case of urban,,,,,,,,
"",,area,area,S.No. of voters on the,,,,,,,
"",,,,electoral roll in case,Male,Female,Total,Male,Female,Total,
S.No.,No. and Name of Polling Station,,,,,,,,,,Type
"",,Name of,Name of Electoral,electoral area is,Voters,Voters,Voters,Booths,Booths,Booths,
"",,Block Code,Block Code,,,,,,,,
"",,Electoral Area,Area,bifurcated,,,,,,,
1,2,3 4,5 6,7,8,9,10,11,12,13,14
1,"Govt. Engineering Academy Niaz Beg , Canal",,Civil Defence Colony 185010508,,50,36,86,1,1,2,Combined
"","road, Lahore. ()",,,,,,,,,,
1,,,Niaz Baig 185010509,,270,220,490,,,0,Combined
1 Total,,,,,320,256,576,1,1,2,
2,"Office of Union Council No. 118 , Niaz Beg,",,Abadi Niaz Baig 185010512,,975,0,975,4,0,4,Male
2,Lahore. (),,Abadi Niaz Baig 185010555,,668,0,668,,,0,Male
2 Total,,,,,1643,0,1643,4,0,4,
3,"Office of Union Council No. 118 Niaz Beg,",,Abadi Niaz Baig 185010512,,0,649,649,0,3,3,Female
3,Lahore. (),,Abadi Niaz Baig 185010555,,0,537,537,,,0,Female
3 Total,,,,,0,1186,1186,0,3,3,
4,Basic Health Unit Niaz Baig,,Abadi Niaz Baig 185010513,,280,241,521,2,2,4,Combined
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
4,,,,Abadi Niaz Baig,185010556,,521,391,912,,,0,Combined
4 Total,,,,,,,801,632,1433,2,2,4,
5,"Office of Union Council No. 118  Niaz Beg,Lahore. ()",,,Abadi Niaz Baig,185010514,,127,111,238,1,1,2,Combined
5,,,Abadi Niaz Baig,185010557,,506,414,920,0,Combined,,,
5 Total,,,,,,,633,525,1158,1,1,2,
6,"Government Girls High School, Niaz Beg,Lahore.(Permanent) ()",,,"Sarshar Town-GulshanTown",185010504,,216,0,216,3,0,3,Male
6,,,"Sarshar Town-GulshanTown",185010550,,450,0,450,0,Male,,,
6,,,"Sarshar Town-GulshanTown",185010505,,190,0,190,0,Male,,,
6,,,"Sarshar Town-GulshanTown",185010551,,192,0,192,0,Male,,,
6,,,"Sarshar Town-GulshanTown",185010552,,113,0,113,0,Male,,,
6 Total,,,,,,,1161,0,1161,3,0,3,
7,"Government Girls High School, Niaz Beg,Lahore.(Permanent) ()",,,"Sarshar Town-GulshanTown",185010504,,0,152,152,0,2,2,Female
7,,,"Sarshar Town-GulshanTown",185010550,,0,286,286,0,Female,,,
7,,,"Sarshar Town-GulshanTown",185010505,,0,156,156,0,Female,,,
7,,,"Sarshar Town-GulshanTown",185010551,,0,180,180,0,Female,,,
7,,,"Sarshar Town-GulshanTown",185010552,,0,82,82,0,Female,,,
7 Total,,,,,,,0,856,856,0,2,2,
8,"Government Girls High School, Niaz Beg,Lahore.(Permanent) ()",,,Gulshan Town Niaz Baig,185010501,,508,0,508,4,0,4,Male
8,,,Gulshan Town Niaz Baig,185010502,,616,0,616,0,Male,,,
8,,,Gulshan Town Niaz Baig,185010503,,557,0,557,0,Male,,,
8 Total,,,,,,,1681,0,1681,4,0,4,
9,"Government Girls High School, Niaz Beg,Lahore.(Permanent) ()",,,Gulshan Town Niaz Baig,185010501,,0,426,426,0,3,3,Female
9,,,Gulshan Town Niaz Baig,185010502,,0,404,404,0,Female,,,
9,,,Gulshan Town Niaz Baig,185010503,,0,430,430,0,Female,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
10,"Government Girls High School, Niaz Beg,Lahore.(Permanent) ()",,,Niaz Baig,185010506,,730,545,1275,2,1,3,Combined
10,,,Niaz Baig,185010553,,83,98,181,0,Combined,,,
10,,,Niaz Baig,185010507,,264,188,452,0,Combined,,,
10 Total,,,,,,,1077,831,1908,2,1,3,
11,"Government Boys Primary School, Allama IqbalTown , Lahore.(Permanent) ()",,,Abadi Niaz Baig,185010515,,1213,0,1213,3,0,3,Male
11,,,Abadi Niaz Baig,185010558,,161,0,161,0,Male,,,
11 Total,,,,,,,1374,0,1374,3,0,3,
12,"Govt. Boys P/S, New Ahmidha Bad, Niaz Baig,Lahore",,,Abadi Niaz Baig,185010515,,0,909,909,0,2,2,Female
12,,,Abadi Niaz Baig,185010558,,0,111,111,0,Female,,,
12 Total,,,,,,,0,1020,1020,0,2,2,
13,"Government Boys Primary School, Allama IqbalTown , Lahore.(Permanent) ()",,,Gulzar Town,185010519,,446,348,794,2,2,4,Combined
13,,,Gulzar Town,185010562,,137,127,264,0,Combined,,,
13,,,Gulzar Town,185010520,,413,327,740,0,Combined,,,
13 Total,,,,,,,996,802,1798,2,2,4,
14,"Government Girls Primary School, Niaz Beg,Lahore.(Permanent) ()",,,"Ahmad Abad Myo NiazBaig",185010516,,95,102,197,1,1,2,Combined
14,,,"Ahmad Abad Myo NiazBaig",185010559,,234,165,399,0,Combined,,,
14,,,"Ahmad Abad Myo NiazBaig",185010560,,190,165,355,0,Combined,,,
14,,,Niaz Baig,185010521,,141,127,268,0,Combined,,,
14,,,Niaz Baig,185010563,,37,24,61,0,Combined,,,
14 Total,,,,,,,697,583,1280,1,1,2,
15,"Government Girls Primary School, Niaz Beg,Lahore.(Permanent) ()",,,"Ahmad Abad Myo NiazBaig",185010517,,196,115,311,2,2,4,Combined
15,,,"Ahmad Abad Myo NiazBaig",185010518,,861,612,1473,0,Combined,,,
15 Total,,,,,,,1057,727,1784,2,2,4,
16,"Pride Public School, Raiwind Road, Sultan Town,Near Lahore University. ()",,,Wast Wood Colony,185010510,,213,0,213,2,0,2,Male
16,,,Wast Wood Colony,185010511,,272,0,272,0,Male,,,
16,,,Wast Wood Colony,185010554,,274,0,274,0,Male,,,
16,,,Block R-3 Johar Town,185010739,,0,0,0,0,Male,,,
16,,,Block R-3 Johar Town,185010740,,31,0,31,0,Male,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
17,"Pride Public School, Raiwind Road, Sultan Town,Near Lahore University. ()",,,Wast Wood Colony,185010511,,0,291,291,0,2,2,Female
17,,,Wast Wood Colony,185010554,,0,270,270,0,Female,,,
17,,,Block R-3 Johar Town,185010739,,0,0,0,0,Female,,,
17,,,Wast Wood Colony,185010510,,0,188,188,0,Female,,,
17,,,Block R-3 Johar Town,185010740,,0,32,32,0,Female,,,
17 Total,,,,,,,0,781,781,0,2,2,
18,"Govt. Girls H/S, Shamsani Khoi",,,Joher Town Block L,185010713,,221,274,495,1,1,2,Combined
18,,,Joher Town Block L,185010714,,69,56,125,0,Combined,,,
18 Total,,,,,,,290,330,620,1,1,2,
19,,,Block-N Johar Town,185010711,,20,25,45,2,Combined,,,
19,,,Expo Center Joher Town,185010712,,33,35,68,0,Combined,,,
19,,,Joher Town Block L,185010715,,0,0,0,0,Combined,,,
19,,,Joher Town Block L,185010716,,9,6,15,0,Combined,,,
19,,,Joher Town Block P,185010717,,12,12,24,0,Combined,,,
19,,,Joher Town Block P,185010718,,55,52,107,0,Combined,,,
19,,,Joher Town Block P,185010719,,0,0,0,0,Combined,,,
19,,,Joher Town Block P,185010720,,0,0,0,0,Combined,,,
19,,,Block-Q Johar Town,185010721,,121,130,251,0,Combined,,,
19,,,Block-Q Johar Town,185010722,,15,15,30,0,Combined,,,
19,,,Block-Q Johar Town,185010723,,29,47,76,0,Combined,,,
19,,,Block-Q Johar Town,185010724,,45,43,88,0,Combined,,,
19,,,Block-Q Johar Town,185010725,,34,39,73,0,Combined,,,
19,,,Block-R Johar Town,185010726,,14,12,26,0,Combined,,,
19,,,Block-R Johar Town,185010727,,10,15,25,0,Combined,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"","Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
19,,,,Block R-l Johar Town,185010729,,8,5,13,,,0,Combined
19,,,Adalian Johar Town,185010730,,59,60,119,0,Combined,,,
19,,,Block R-l Johar Town,185010731,,48,5,53,0,Combined,,,
19,,,Block R-l Johar Town,185010732,,31,92,123,0,Combined,,,
19,,,Adalian Johar Town,185010733,,0,0,0,0,Combined,,,
19,,,Adalian Johar Town,185010734,,39,40,79,0,Combined,,,
19,,,Block R-2 Johar Town,185010736,,19,10,29,0,Combined,,,
19,,,Block R-2 Johar Town,185010737,,0,0,0,0,Combined,,,
19,,,Block R-2 Johar Town,185010738,,0,0,0,0,Combined,,,
19 Total,,,,,,,621,660,1281,1,1,2,
20,"SOS Hermann Gmeirer School A- Blockl RevenueHousing Society, Lahore. ()",,,Revenue Scheme,185010774,,735,0,735,2,0,2,Male
20,,,Revenue Scheme,185010775,,73,0,73,0,Male,,,
20,,,Revenue Scheme,185010776,,122,0,122,0,Male,,,
20,,,Revenue Scheme,185010772,,242,0,242,0,Male,,,
20,,,Revenue Scheme,185010773,,33,0,33,0,Male,,,
20 Total,,,,,,,1205,0,1205,2,0,2,
21,"Govt. Girls H/S School, Village Shadiwall, Majha,Johar Town, Lahore.",,,Revenue Scheme,185010774,,0,568,568,0,2,2,Female
21,,,Revenue Scheme,185010775,,0,84,84,0,Female,,,
21,,,Revenue Scheme,185010776,,0,161,161,0,Female,,,
21,,,Revenue Scheme,185010772,,0,191,191,0,Female,,,
21,,,Revenue Scheme,185010773,,0,34,34,0,Female,,,
21 Total,,,,,,,0,1038,1038,0,2,2,
22,"Govt. Boys P/S School, Village Shadiwall, Majha,Johar Town, Lahore.",,,Joher Town Block M,185010701,,137,144,281,1,1,2,Combined
22,,,Joher Town Block M,185010702,,184,158,342,0,Combined,,,
22,,,Block-M Johar Town,185010703,,172,110,282,0,Combined,,,
22,,,Block-M Johar Town,185010704,,29,3,32,0,Combined,,,
22,,,Block-M Johar Town,185010706,,0,0,0,0,Combined,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
23,"American Lycetuff School, PIA Housing Society,Lahore (Permanent) ()",,,Avenue Scheme Block-A,185010752,,142,108,250,2,2,4,Combined
23,,,"Iqbal Avenue JoharTown OPF",185010741,,61,56,117,0,Combined,,,
23,,,"Iqbal Avenue JoharTown OPF",185010742,,49,45,94,0,Combined,,,
23,,,"Iqbal Avenue JoharTown OPF",185010743,,,,0,0,Combined,,,
23,,,Avenue Scheme Block-A,185010753,,201,225,426,0,Combined,,,
23,,,PIA Society,185010754,,26,23,49,0,Combined,,,
23,,,PIA Society,185010755,,0,0,0,0,Combined,,,
23,,,PIA Society,185010756,,24,30,54,0,Combined,,,
23,,,PIA Society,185010757,,81,79,160,0,Combined,,,
23,,,PIA Society,185010758,,55,42,97,0,Combined,,,
23 Total,,,,,,,639,608,1247,2,2,4,
24,"American Lycetuff School, PIA Housing Society,Lahore (Permanent) ()",,,PIA Society,185010765,,20,0,20,3,0,3,Male
24,,,PIA Society,185010766,,45,0,45,0,Male,,,
24,,,PIA Society,185010767,,13,0,13,0,Male,,,
24,,,"PIA Society / KhayabanZahra",185010768,,92,0,92,0,Male,,,
24,,,"PIA Society / KhayabanZahra",185010769,,93,0,93,0,Male,,,
24,,,PIA Society,185010759,,275,0,275,0,Male,,,
24,,,PIA Society,185010760,,193,0,193,0,Male,,,
24,,,PIA Society,185010761,,142,0,142,0,Male,,,
24,,,"PIA Society / KhayabanZahra",185010770,,93,0,93,0,Male,,,
24,,,"PIA Society / KhayabanZahra",185010771,,0,0,0,0,Male,,,
24,,,PIA Society,185010762,,6,0,6,0,Male,,,
24,,,PIA Society,185010763,,165,0,165,0,Male,,,
24,,,PIA Society,185010764,,277,0,277,0,Male,,,
24 Total,,,,,,,1414,0,1414,3,0,3,
25,,,PIA Society,185010762,,0,7,7,2,Female,,,
25,,,PIA Society,185010763,,0,128,128,0,Female,,,
25,,,PIA Society,185010764,,0,276,276,0,Female,,,
S.No.,"No. and Name of Polling StationAmerican Lycetuff School, PIA Housing Society,Lahore (Permanent) ()","In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths0","FemaleBooths2","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
25,,,,PIA Society,185010765,,0,3,3,,,0,Female
25,,,PIA Society,185010766,,0,58,58,0,Female,,,
25,,,PIA Society,185010767,,0,17,17,0,Female,,,
25,,,PIA Society,185010759,,0,239,239,0,Female,,,
25,,,PIA Society,185010760,,0,283,283,0,Female,,,
25,,,PIA Society,185010761,,0,139,139,0,Female,,,
25,,,"PIA Society / KhayabanZahra",185010768,,0,56,56,0,Female,,,
25,,,"PIA Society / KhayabanZahra",185010769,,0,76,76,0,Female,,,
25,,,"PIA Society / KhayabanZahra",185010770,,0,81,81,0,Female,,,
25,,,"PIA Society / KhayabanZahra",185010771,,0,0,0,0,Female,,,
25 Total,,,,,,,0,1363,1363,0,2,2,
26,"Allied School, Islam block, Johar Town, lahore",,,"Faisal Block - IslamBlock",185010528,,858,725,1583,2,2,4,Combined
26 Total,,,,,,,858,725,1583,2,2,4,
27,"Allied Alhamad Campus 201-Islam Block AzamGarden Multan Road Lahore ()",,,Pak Town,185010526,,500,0,500,3,0,3,Male
27,,,"Azeem Garden - HaseebBlock",185010527,,309,0,309,0,Male,,,
27,,,"Azeem Garden - HaseebBlock",185010565,,533,0,533,0,Male,,,
27 Total,,,,,,,1342,0,1342,3,0,3,
28,"Allied Alhamad Campus 201-Islam Block AzamGardem Multan Road Lahore ()",,,Pak Town,185010526,,0,398,398,0,2,2,Female
28,,,"Azeem Garden - HaseebBlock",185010527,,0,268,268,0,Female,,,
28,,,"Azeem Garden - HaseebBlock",185010565,,0,477,477,0,Female,,,
28 Total,,,,,,,0,1143,1143,0,2,2,
29,"Lahore School System, Azam Garden, Islam blockJohat Town, Lahore",,,Karamat Colony,185010536,,1213,1066,2279,2,2,4,Combined
29 Total,,,,,,,1213,1066,2279,2,2,4,
30,,,Ghosha Ahbab Phase-ll,185010529,,239,0,239,3,Male,,,
30,,,Ghosha Ahbab Phase=ll,185010566,,135,0,135,0,Male,,,
30,,,Karamat Colony,185010534,,298,0,298,0,Male,,,
30,,,Karamat Colony,185010535,,57,0,57,0,Male,,,
30,,,"Qayum Block - AzamGarden",185010540,,276,0,276,0,Male,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
30 Total,,,,,,,1112,0,1112,3,0,3,
31,"Sahara Falahi Markaz 14-A Ghousia-e-AhbabNear Azam Garden Lahore ()",,,Ghosha Ahbab Phase-ll,185010529,,0,233,233,0,2,2,Female
31,,,Ghosha Ahbab Phase=ll,185010566,,0,48,48,0,Female,,,
31,,,Karamat Colony,185010534,,0,260,260,0,Female,,,
31,,,Karamat Colony,185010535,,0,38,38,0,Female,,,
31,,,Karamat Colony,185010538,,0,24,24,0,Female,,,
31,,,"Qayum Block - AzamGarden",185010540,,0,253,253,0,Female,,,
31 Total,,,,,,,0,856,856,0,2,2,
32,"Govt. Middle School Waris Colony Lahore(Permanent)",,,Waris Colony,185010531,,763,639,1402,2,2,4,Combined
32 Total,,,,,,,763,639,1402,2,2,4,
33,"Govt. Middle School Waris Colony Lahore(Permanent) ()",,,Abadi Mansoor Colony,185010524,,477,0,477,4,0,4,Male
33,,,Abadi Mansoor Colony,185010525,,231,0,231,0,Male,,,
33,,,Abadi Mansoor Colony,185010564,,0,0,0,0,Male,,,
33,,,Waris Colony,185010532,,548,0,548,0,Male,,,
33,,,Waris Colony,185010523,,69,0,69,0,Male,,,
33,,,Education Town,185010533,,222,0,222,0,Male,,,
33,,,Waris Colony,185010522,,85,0,85,0,Male,,,
33 Total,,,,,,,1632,0,1632,4,0,4,
34,"Govt. Middle School Waris Colony Lahore(Permanent) ()",,,Abadi Mansoor Colony,185010524,,0,444,444,0,4,4,Female
34,,,Abadi Mansoor Colony,185010525,,0,179,179,0,Female,,,
34,,,Abadi Mansoor Colony,185010564,,0,0,0,0,Female,,,
34,,,Education Town,185010533,,0,260,260,0,Female,,,
34,,,Waris Colony,185010522,,0,70,70,0,Female,,,
34,,,Waris Colony,185010523,,0,69,69,0,Female,,,
34,,,Waris Colony,185010532,,0,490,490,0,Female,,,
34 Total,,,,,,,0,1512,1512,0,4,4,
35,"Zikas School System, Civic Centre, MustafaTown, Lahore.",,,Mamdowat Block,185010541,,324,332,656,1,1,2,Combined
35,,,Mamdowat Block,185010567,,181,171,352,0,Combined,,,
35 Total,,,,,,,505,503,1008,1,1,2,
36,,,Ghani Colony,185010530,,538,0,538,4,Male,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,Federal Public Service Co2mmission Office,3,4,5,6,7,8,9,10,141,102,13,14
36,"Mustafa Town Near Marriage Hall Lahore(Permanent) ()",,,"Mustafa Town -Mumtaz Bukhtawar",185010539,,101,0,101,,,0,Male
36,,,"Allah Yar Block -Hadayat  Allah Block",185010542,,302,0,302,0,Male,,,
36,,,"Allah Yar Block -Hadayat  Allah Block",185010543,,156,0,156,0,Male,,,
36,,,Ahmad Yar Block,185010544,,220,0,220,0,Male,,,
36,,,Ahmad Block,185010545,,220,0,220,0,Male,,,
36 Total,,,,,,,1537,0,1537,4,0,4,
37,"Federal Public Service Commission OfficeMustafa Town Near Marriage Hall Lahore(Permanent) ()",,,Ghani Colony,185010530,,0,412,412,0,3,3,Female
37,,,"Allah Yar Block -Hadayat  Allah Block",185010543,,0,147,147,0,Female,,,
37,,,Ahmad Block,185010545,,0,227,227,0,Female,,,
37,,,"Mustafa Town -Mumtaz Bukhtawar",185010539,,0,85,85,0,Female,,,
37,,,"Allah Yar Block -Hadayat  Allah Block",185010542,,0,273,273,0,Female,,,
37,,,Ahmad Yar Block,185010544,,0,209,209,0,Female,,,
37 Total,,,,,,,0,1353,1353,0,3,3,
38,"Zikas School System, Civic Centre, MustafaTown, Lahore.",,,Abbas Block,185010549,,618,548,1166,1,1,2,Combined
38,,,Abbas Block,185010569,,99,83,182,0,Combined,,,
38 Total,,,,,,,717,631,1348,1,1,2,
39,"Federal Public Service Commission OfficeMustafa Town Near Marriage Hall Lahore(Permanent) ()",,,Shehbaz Block,185010546,,121,113,234,1,1,2,Combined
39,,,Shehbaz Block,185010547,,232,203,435,0,Combined,,,
39,,,Abbas Block,185010548,,81,102,183,0,Combined,,,
