"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",93,Govt.Girls Elementary School Muradian,Muradian,169020401,-,-,,539,420,959,2,1,3
"",,,Muradian,169020402,-,-,,356,265,621,,,
"",93 Total,,,,-,-,-,895,685,1580,2,1,3
"",94,"Govt. Girls Community Model School KotSajana","Kot Sajana(Cheenianwala)",169020606,-,-,,592,431,1023,1,1,2
"",94 Total,,,,-,-,-,592,431,1023,1,1,2
"",95,"Govt. Boys Elementary School, Kot Sajana",Kot Sajana,169020607,-,-,,790,548,1338,2,1,3
"",95  Total,,,,-,-,-,790,548,1338,2,1,3
"",96,"Govt.Girls High School Mangat Nicha (EastSide)",Mangat Nicha,169020601,-,-,,761,571,1332,2,1,3
"",96 Total,,,,-,-,-,761,571,1332,2,1,3
"",97,Govt. Girls Primary School Mangat Nicha,Mangat Nicha,169020602,-,-,,497,322,819,2,1,3
"",,,Mangat Nicha,169020603,-,-,,516,356,872,,,
"",97  Total,,,,-,-,-,1013,678,1691,2,1,3
"",98,Govt. Basic Health Unit Mangat Nicha,Mangat Nicha,169020604,-,-,,846,622,1468,2,1,3
"",98  Total,,,,-,-,-,846,622,1468,2,1,3
"",99,Govt. Boys Primary School Iqbal Nagar,Mangat Nicha,169020605,-,-,,647,439,1086,1,1,2
"",99  Total,,,,-,-,-,647,439,1086,1,1,2
"",100,Govt.Boys Primary School Peelo,Peelo,169050604,-,-,,385,278,663,2,1,3
"",,,Peelo,169050605,-,-,,164,104,268,,,
"",100  Total,,,,-,-,-,549,382,931,2,1,3
"",101,Govt.  Primary School Bahowdinke,-,-,Jalalpur Kohna,170070101,,795,0,795,2,0,2
"",,,-,-,Bahowdinke,170070106,,350,0,350,,,
"",101 Total,,-,-,,,-,1145,0,1145,2,0,2
"",102,Govt. Girls Primary School Jalalpur Kohna,-,-,Jalalpur Kohna,170070101,,0,626,626,0,2,2
"",,,-,-,Bahowdinke,170070106,,0,225,225,,,
"",102 Total,,-,-,,,-,0,851,851,0,2,2
"",103,"Govt. Girls Secondary School JalalpurBhattian",-,-,"Moh Chaman Abbas,Moh Mangtanwala",170070102,,467,346,813,1,1,2
"",103 Total,,-,-,,,-,467,346,813,1,1,2
"",104,"Govt. Public Higher Secondary School JalalpurBhattian New Block",-,-,"Moh. Ghosia, Moh.Mustafabad",170070103,,580,0,580,2,0,2
"",,,-,-,Moh. Alam Pura,170070204,,309,0,309,,,
"",104 Total,,-,-,,,-,889,0,889,2,0,2
"",105,"Govt. Girls Community Model School JalalpurBhattian",-,-,"Moh. Ghosia, Moh.Mustafabad",170070103,,0,399,399,0,2,2
"",,,-,-,Moh. Alam Pura,170070204,,0,249,249,,,
"",105  Total,,-,-,,,-,0,648,648,0,2,2
"",106,"Govt. Public Higher Secondary School JalalpurBhattian New Block",-,-,"Main Bazar, DeraMian Shahid",170070201,,638,0,638,3,0,3
"",,,-,-,Moh. Qazian,170070202,,474,0,474,,,
"",106  Total,,-,-,,,-,1112,0,1112,3,0,3
"",107,"Govt. Girls Community Model School JalalpurBhattian",-,-,"Main Bazar, DeraMian Shahid",170070201,,0,528,528,0,2,2
"-",-,Moh. Qazian,170070202,,0,383,383,,,,,,
"",108,"Office of the Municipal Committee JalalpurBhattian",-,-,"Sheler Mian ShahidHussain Bhatti,Masjid Dar-ul-Islam",170070203,,158,133,291,2,1,3
"",,,-,-,"Sheler Mian ShahidHussain Bhatti,Masjid Dar-ul-Islam",170070205,,325,241,566,,,
"",,,-,-,"Sheler Mian ShahidHussain Bhatti,Masjid Dar-ul-Islam",170070206,,301,187,488,,,
"",108  Total,,-,-,,,-,784,561,1345,2,1,3
"",109,"Govt. Girls Elementary School Mohallah AlamPura Jalalpur Bhattian",-,-,Moh. Alam Pura,170070403,,498,0,498,2,0,2
"",,,-,-,Moh. Alam Pura,170070406,,541,0,541,,,
"",109  Total,,-,-,,,-,1039,0,1039,2,0,2
"",110,"Govt. Degree College  for Women JalalpurBhattian",-,-,Moh. Alam Pura,170070403,,0,383,383,0,2,2
"",,,-,-,Moh. Alam Pura,170070406,,0,284,284,,,
"",110  Total,,-,-,,,-,0,667,667,0,2,2
"",111,"Govt. Girls Secondary School JalalpurBhattian",-,-,Ward No. 7,170070402,,256,0,256,2,0,2
"",,,-,-,Moh. Alam Pura,170070404,,180,0,180,,,
"",,,-,-,Moh. Alam Pura,170070407,,409,0,409,,,
"",111  Total,,-,-,,,-,845,0,845,2,0,2
"",112,"Govt. Degree College  for Women JalalpurBhattian",-,-,Ward No. 7,170070402,,0,188,188,0,2,2
"",,,-,-,Moh. Alam Pura,170070404,,0,132,132,,,
"",,,-,-,Moh. Alam Pura,170070407,,0,243,243,,,
"",112  Total,,-,-,,,-,0,563,563,0,2,2
"",113,"Govt. Boys High School Jalalpur Bhattian NewBlock",-,-,Ward No. 7,170070401,,367,276,643,1,1,2
"",,,-,-,Ward No. 7,170070405,,358,256,614,,,
"",113  Total,,-,-,,,-,725,532,1257,1,1,2
"",114,"Govt. Boys High School Jalalpur Bhattian NewBlock",-,-,Moh.Islam Pura,170070304,,471,0,471,3,0,3
"",,,-,-,Moh.Islam Pura,170070305,,1240,0,1240,,,
"",114  Total,,-,-,,,-,1711,0,1711,3,0,3
"",115,"Govt. Girls Secondary School JalalpurBhattian",-,-,Moh.Islam Pura,170070304,,0,356,356,0,2,2
"",,,-,-,Moh.Islam Pura,170070305,,0,996,996,,,
"",115 Total,,-,-,,,-,0,1352,1352,0,2,2
"",116,"Govt. Public Higher Secondary School JalalpurBhattian New Block",-,-,Moh. Islam Pura,170070302,,580,0,580,2,0,2
"",,,-,-,Moh.Islam Pura,170070303,,402,0,402,,,
"",116  Total,,-,-,,,-,982,0,982,2,0,2
"",117,"Govt. Public Higher Secondary School JalalpurBhattian Shamali  Gate",-,-,Moh. Islam Pura,170070302,,0,461,461,0,2,2
"",,,-,-,Moh.Islam Pura,170070303,,0,320,320,,,
"",117  Total,,-,-,,,-,0,781,781,0,2,2
"",118,"Govt. Public Higher Secondary School JalalpurBhattian New Block",-,-,Moh. Iqbal Pura,170070104,,302,0,302,2,0,2
"",,,-,-,Moh. Iqbal Pura,170070105,,357,0,357,,,
"",,,-,-,Moh. Islam Pura,170070301,,525,0,525,,,
"",118  Total,,-,-,,,-,1184,0,1184,2,0,2
"",119,"Govt.  Public Higher Secondary SchoolJalalpur Bhattian Shamali  Gate",-,-,Moh. Iqbal Pura,170070104,,0,213,213,0,2,2
"",,,-,-,Moh. Iqbal Pura,170070105,,0,262,262,,,
"",,,-,-,Moh. Islam Pura,170070301,,0,367,367,,,
"",119  Total,,-,-,,,-,0,842,842,0,2,2
"",120,"Govt. Boys Primary School, Saroop Wala","Kot Qasim(Lolianwala)",169070103,-,-,,330,243,573,2,1,3
Saroop Wala,169070104,-,-,,478,425,903,,,,,,
"",121,Govt. Primary School Shah Jamal,Shah Jamal,169070101,-,-,,705,0,705,2,0,2
"",,,Shahana Bhipri,169070102,-,-,,391,0,391,,,
"",121  Total,,,,-,-,-,1096,0,1096,2,0,2
"",122,Govt. Pirmary School Shah Jamal,Shah Jamal,169070101,-,-,,0,600,600,0,2,2
"",,,Shahana Bhipri,169070102,-,-,,0,300,300,,,
"",122  Total,,,,-,-,-,0,900,900,0,2,2
"",123,"Govt. Model Primary School Phulo ChiraghShah",Phulo Chiragh Shah,169070105,-,-,,308,255,563,1,1,2
"",123 Total,,,,-,-,-,308,255,563,1,1,2
"",124,"Govt. Primary School, Kot Mian",Kot Mian,169070505,-,-,,467,395,862,2,1,3
"",124  Total,,,,-,-,-,467,395,862,2,1,3
"",125,"Govt. Girls Elecmentary School, Dera Manak(Geegay)",Geegay,169070201,-,-,,999,0,999,3,0,3
"",,,Lakhi Shah,169070202,-,-,,194,0,194,,,
"",125  Total,,,,-,-,-,1193,0,1193,3,0,3
"",126,"Govt. Boys Primary   School, Geegay",Geegay,169070201,-,-,,0,774,774,0,2,2
"",,,Lakhi Shah,169070202,-,-,,0,184,184,,,
"",126  Total,,,,-,-,-,0,958,958,0,2,2
"",127,Govt. Model Primary School Samra,Samra,169070504,-,-,,573,404,977,2,1,3
"",,,Qila Ram Rang,169070506,-,-,,273,209,482,,,
"",127  Total,,,,-,-,-,846,613,1459,2,1,3
"",128,Govt. Boys Primary School Khanjar,Khanjar,169071001,-,-,,565,411,976,2,1,3
"",,,Khanjar,169071002,-,-,,310,212,522,,,
"",128  Total,,,,-,-,-,875,623,1498,2,1,3
"",129,Govt. Model Primary School Ghanoke,Ghanoke,169070904,-,-,,528,391,919,1,1,2
"",129  Total,,,,-,-,-,528,391,919,1,1,2
"",130,Govt. Elementary School Bhaka Bhattian,Bhaka Bhattian,169071003,-,-,,462,313,775,1,1,2
"",130  Total,,,,-,-,-,462,313,775,1,1,2
"",131,Govt. Primary School Qila Usman Ghani,Qila Usman Ghani,169070902,-,-,,239,185,424,1,1,2
"",,,Qila Usman Ghani,169070903,-,-,,397,302,699,,,
"",131 Total,,,,-,-,-,636,487,1123,1,1,2
"",132,"Govt. Boys Primary School, Melo Ana",Melo Ana,169070901,-,-,,565,467,1032,1,1,2
"",132 Total,,,,-,-,-,565,467,1032,1,1,2
"",133,Govt. Girls High School Mian Raheema,Mian Raheema,169070804,-,-,,631,479,1110,2,1,3
"",,,Mian Raheema,169070805,-,-,,143,86,229,,,
"",133  Total,,,,-,-,-,774,565,1339,2,1,3
"",134,Govt. Boys Primary School Jalalana,Jalalana,169070801,-,-,,689,549,1238,2,1,3
"",134  Total,,,,-,-,-,689,549,1238,2,1,3
"",135,Govt. Boys Primary School Sawan Pura,Sawan Pura,169070905,-,-,,458,352,810,2,1,3
"",,,Sawan Pura,169070906,-,-,,394,287,681,,,
"",135  Total,,,,-,-,-,852,639,1491,2,1,3
"",136,Govt. Primary School Nahrianwala,Nahrianwala,169070802,-,-,,561,0,561,2,0,2
"",,,Nahrianwala,169070803,-,-,,514,0,514,,,
"",136  Total,,,,-,-,-,1075,0,1075,2,0,2
"",137,Govt. Girls Elementary School Nahrianwala,Nahrianwala,169070802,-,-,,0,388,388,0,2,2
"",,,Nahrianwala,169070803,-,-,,0,327,327,,,
"",137  Total,,,,-,-,-,0,715,715,0,2,2
"",138,"Govt. Girls Community Model School, Sajada",Sajada,169070705,-,-,,561,439,1000,2,1,3
Sajada,169070706,-,-,,215,144,359,,,,,,
"",139,"Govt. Model Primary School Bacha Kohna(Chak Dewan)",Bacha Nao,169070704,-,-,,315,221,536,2,1,3
"",,,"Bacha Kohna(ChakDewan)",169071004,-,-,,313,227,540,,,
"",139  Total,,,,-,-,-,628,448,1076,2,1,3
"",140,Govt.  Elementary School Shameer Dinga,Shameer Dinga,169070701,-,-,,525,0,525,2,0,2
"",,,Shameer Dinga,169070703,-,-,,496,0,496,,,
"",140  Total,,,,-,-,-,1021,0,1021,2,0,2
"",141,Govt.  Elementary School Shameer Dinga,Shameer Dinga,169070701,-,-,,0,391,391,0,2,2
"",,,Shameer Dinga,169070703,-,-,,0,375,375,,,
"",141  Total,,,,-,-,-,0,766,766,0,2,2
"",142,Govt.  Primary School  Dinga  Wadahra,Shameer Dinga,169070702,-,-,,595,451,1046,1,1,2
"",142  Total,,,,-,-,-,595,451,1046,1,1,2
"",143,"Govt. Secondary School, Burj Dara",Burj Dara,169070601,-,-,,602,0,602,2,0,2
"",,,Qila Tek Singh,169070602,-,-,,260,0,260,,,
"",143  Total,,,,-,-,-,862,0,862,2,0,2
"",144,"Govt. Secondary  School, Burj Dara",Burj Dara,169070601,-,-,,0,467,467,0,2,2
"",,,Qila Tek Singh,169070602,-,-,,0,200,200,,,
"",144  Total,,,,-,-,-,0,667,667,0,2,2
"",145,"Govt. Model Primary School, Mattam",Mattam,169070603,-,-,,462,294,756,1,1,2
"",145  Total,,,,-,-,-,462,294,756,1,1,2
"",146,Govt. Model Primary School Nanuana Gharbi,Nanuana,169070501,-,-,,332,0,332,2,0,2
"",,,Nanuana,169070502,-,-,,520,0,520,,,
"",,,Nanuana,169070503,-,-,,207,0,207,,,
"",146  Total,,,,-,-,-,1059,0,1059,2,0,2
"",147,Govt. Model Primary School Nanuana Gharbi,Nanuana,169070501,-,-,,0,250,250,0,2,2
"",,,Nanuana,169070502,-,-,,0,396,396,,,
"",,,Nanuana,169070503,-,-,,0,158,158,,,
"",147  Total,,,,-,-,-,0,804,804,0,2,2
"",148,"Govt. Primary School, Kaleki Mandi (Sharqi)",-,-,"Kaleki Mandi, Moh.Waris Pura, IslamPura",169120101,,424,0,424,2,0,2
"",,,-,-,Kaleki Gaon,169120102,,460,0,460,,,
"",148 Total,,-,-,,,-,884,0,884,2,0,2
"",149,"Govt. Primary School, Kaleki Mandi (Sharqi)",-,-,"Kaleki Mandi, Moh.Waris Pura, IslamPura",169120101,,0,373,373,0,2,2
"",,,-,-,Kaleki Gaon,169120102,,0,390,390,,,
"",149 Total,,-,-,,,-,0,763,763,0,2,2
"",150,"Govt.  Higher Secondary School Kaleki,Middle Block",-,-,Channi Choraira,169120103,,470,0,470,2,0,2
"",,,-,-,"Abadi Jaz Tawer WaliGovt. H/S Bazar",169120104,,607,0,607,,,
"",150 Total,,-,-,,,-,1077,0,1077,2,0,2
"",151,"Govt.  Higher Secondary School Kaleki,Middle Block",-,-,Channi Choraira,169120103,,0,351,351,0,2,2
"",,,-,-,"Abadi Jaz Tawer WaliGovt. H/S Bazar",169120104,,0,451,451,,,
"",151 Total,,-,-,,,-,0,802,802,0,2,2
"",152,"Govt. Girls Higher Secondary School  PrimaryBlock Kaleki  Mandi (East Side)",-,-,"Main Bazar, Moh.Sair Pura",169120201,,731,0,731,2,0,2
"-",-,"Main Bazar Kaleki,Moh. Sair Pura",169120206,,359,0,359,,,,,,
"",153,"Govt. Girls Higher Secondary School  PrimaryBlock Kaleki  Mandi (West Side)",-,-,"Main Bazar Kaleki,Moh. Sair Pura",169120201,,0,556,556,0,2,2
"",,,-,-,"Main Bazar Kaleki,Moh. Sair Pura",169120206,,0,255,255,,,
"",153 Total,,-,-,,,-,0,811,811,0,2,2
"",154,"Govt. Model Primary School, Kaleki Gown",-,-,"Moh. Raffique Pura,Moh. MuhammadPura",169120204,,885,0,885,3,0,3
"",,,-,-,"Channi Mamoora,Moh. Mustafa Abad",169120205,,497,0,497,,,
"",154  Total,,-,-,,,-,1382,0,1382,3,0,3
"",155,"Govt. Primary School, Kaleki Gown (PartGirls)",-,-,"Moh. Raffique Pura,Moh. MuhammadPura",169120204,,0,651,651,0,2,2
"",,,-,-,"Channi Mamoora,Moh. Mustafa Abad",169120205,,0,362,362,,,
"",155 Total,,-,-,,,-,0,1013,1013,0,2,2
"",156,"Govt. Higher Secondary School   KalekiMandi, East Side",-,-,"Moh. Malik WazeerKhan",169120203,,636,0,636,3,0,3
"",,,-,-,"Moh. Malik WazeerKhan",169120207,,359,0,359,,,
"",,,-,-,"Moh. Malik WazeerKhan",169120208,,446,0,446,,,
"",156 Total,,-,-,,,-,1441,0,1441,3,0,3
"",157,"Govt. Higher Secondary School   KalekiMandi, (West Side)",-,-,"Moh. Malik WazeerKhan",169120203,,0,452,452,0,2,2
"",,,-,-,"Moh. Malik WazeerKhan",169120207,,0,210,210,,,
"",,,-,-,"Moh. Malik WazeerKhan",169120208,,0,382,382,,,
"",157  Total,,-,-,,,-,0,1044,1044,0,2,2
"",158,"Govt. Girls Higher Secondary School, KalekiMandi",-,-,"Tahli Wala Bazar,Moh. Sheikhan",169120202,,511,405,916,1,1,2
"",158  Total,,-,-,,,-,511,405,916,1,1,2
"",159,Govt. Elementary School Uddoki,Uddoki,169070401,-,-,,684,474,1158,1,1,2
"",159  Total,,,,-,-,-,684,474,1158,1,1,2
"",160,"Govt. Model Elementary School (Part Girls)Uddoki",Uddoki,169070402,-,-,,504,351,855,1,1,2
"",160  Total,,,,-,-,-,504,351,855,1,1,2
"",161,"Govt. Model Primary School, Chah Inno(Udoki)",Uddoki,169070403,-,-,,487,356,843,1,1,2
"",161  Total,,,,-,-,-,487,356,843,1,1,2
"",162,Govt. Girls Primary School Thatha Manak,Mubara,169070304,-,-,,224,179,403,2,1,3
"",,,Thatha Manak,169070405,-,-,,557,363,920,,,
"",162  Total,,,,-,-,-,781,542,1323,2,1,3
"",163,Govt. Girls Elementary School Tootra,Tootra,169070404,-,-,,780,556,1336,2,1,3
"",163  Total,,,,-,-,-,780,556,1336,2,1,3
"",164,Govt. Model Primary School Thatha Asian,Thatha Asian,169070302,-,-,,630,418,1048,2,1,3
"Thatha JahidNehalewala",169070303,-,-,,232,178,410,,,,,,
"",165,Govt.  Primary School  Bangar Nao,Qila Bakhsha,169070203,-,-,,323,290,613,2,1,3
"",,,Bangar,169070301,-,-,,447,329,776,,,
"",165  Total,,,,-,-,-,770,619,1389,2,1,3
"",166,"Govt. Boys  Primary School, Nauroz Pur",Fateh Pur,170020309,-,-,,338,0,338,3,0,3
"",,,Fateh Pur,170020310,-,-,,109,0,109,,,
"",,,Norozpur,170020312,-,-,,373,0,373,,,
"",,,Norozpur,170020313,-,-,,522,0,522,,,
"",166  Total,,,,-,-,-,1342,0,1342,3,0,3
"",167,"Govt. Girls Community Model School NawanShehar",Fateh Pur,170020309,-,-,,0,226,226,0,2,2
"",,,Fateh Pur,170020310,-,-,,0,68,68,,,
"",,,Norozpur,170020312,-,-,,0,251,251,,,
"",,,Norozpur,170020313,-,-,,0,378,378,,,
"",167 Total,,,,-,-,-,0,923,923,0,2,2
"",168,Govt. Rural Health Center Rasoolpur Tarar,Rasool Pur Tarar,170020301,-,-,,320,212,532,1,1,2
"",,,Rasool Pur Tarar,170020302,-,-,,304,174,478,,,
"",168  Total,,,,-,-,-,624,386,1010,1,1,2
"",169,"Govt. High School Rasool Pur Tarar (EastSide)",Rasool Pur Tarar,170020303,-,-,,640,487,1127,2,1,3
"",169  Total,,,,-,-,-,640,487,1127,2,1,3
"",170,Govt. Girls High School Rasool Pur Tarar,Rasool Pur Tarar,170020306,-,-,,323,214,537,2,1,3
"",,,Rasool Pur Tarar,170020307,-,-,,413,292,705,,,
"",,,Maot Tarar,170020308,-,-,,160,106,266,,,
"",170 Total,,,,-,-,-,896,612,1508,2,1,3
"",171,"Govt.  High School Rasool Pur Tarar (WestSide)",Rasool Pur Tarar,170020304,-,-,,488,336,824,2,1,3
"",,,Rasool Pur Tarar,170020305,-,-,,465,341,806,,,
"",171  Total,,,,-,-,-,953,677,1630,2,1,3
"",172,Govt. Boys Primary School Meerakh Kalan,Meerakh Kalan,170021101,-,-,,203,134,337,2,1,3
"",,,Meerakh Khurd,170021103,-,-,,487,330,817,,,
"",172  Total,,,,-,-,-,690,464,1154,2,1,3
"",173,Govt. Girls Elementary School Solangi Kharal,Solangi Kharal,170020201,-,-,,442,0,442,3,0,3
"",,,Solangi Kharal,170020202,-,-,,489,0,489,,,
"",,,Solangi Kharal,170020203,-,-,,458,0,458,,,
"",173  Total,,,,-,-,-,1389,0,1389,3,0,3
"",174,Govt. Boys Primary School Solangi Kharal,Solangi Kharal,170020201,-,-,,0,358,358,0,2,2
"",,,Solangi Kharal,170020202,-,-,,0,383,383,,,
"",,,Solangi Kharal,170020203,-,-,,0,332,332,,,
"",174  Total,,,,-,-,-,0,1073,1073,0,2,2
"",175,Govt. Boys Primary School Dharian,Rupeki,170020205,-,-,,285,202,487,2,1,3
"",,,Dharian,170020206,-,-,,513,345,858,,,
"",,,Fateh Garh,170020311,-,-,,235,168,403,,,
"",175  Total,,,,-,-,-,1033,715,1748,2,1,3
"",176,Govt.  Primary School  Kot Alam Kalan,Kot Alam Kalan,170021201,-,-,,386,239,625,1,1,2
"",,,Tun Pur,170021202,-,-,,90,52,142,,,
"",176  Total,,,,-,-,-,476,291,767,1,1,2
"",177,Govt. Elementary School  Kot Ghazi,Kot Ghazi Kalan,170020803,-,-,,361,192,553,1,1,2
Kot Ghazi Khurd,170020804,-,-,,389,212,601,,,,,,
Kot Alam Khurd,170021203,-,-,,110,50,160,,,,,,
Burj Ghous,170021207,-,-,,0,0,0,,,,,,
"",178,Govt. Boys Primary School Kotla Anandan,Kotla Andan,170020901,-,-,,354,253,607,1,1,2
"",,,Thatha Sikandar,170020902,-,-,,245,201,446,,,
"",178  Total,,,,-,-,-,599,454,1053,1,1,2
"",179,Govt. Boys Primary School Jag Bhatti,Kudlathi,170021206,-,-,,281,150,431,1,1,2
"",,,Jug Bhatti,170020903,-,-,,357,198,555,,,
"",179 Total,,,,-,-,-,638,348,986,1,1,2
"",180,Govt. Girls Primary School Kot Mohabat,Pissuwanwala,170021001,-,-,,142,94,236,1,1,2
"",,,Thatha Rehman,170021204,-,-,,84,54,138,,,
"",,,Kot Mohabat,170021205,-,-,,404,287,691,,,
"",180  Total,,,,-,-,-,630,435,1065,1,1,2
"",181,Govt. Primary School  Marth,Burj Choraira,170020403,-,-,,3,7,10,2,1,3
"",,,Bazari,170020801,-,-,,16,7,23,,,
"",,,Marth,170020802,-,-,,592,441,1033,,,
"",,,Malahanwala,170020805,-,-,,128,67,195,,,
"",,,Burj Fatoo,170020806,-,-,,69,45,114,,,
"",,,Channi Sultan Shah,170020807,-,-,,32,23,55,,,
"",181  Total,,,,-,-,-,840,590,1430,2,1,3
"",182,Govt. Boys Primary School Khanna Bhattian,Khanna Bhattian,170021102,-,-,,779,567,1346,2,1,3
"",182  Total,,,,-,-,-,779,567,1346,2,1,3
"",183,"Govt. Boys Primary School   Chah HakeemWala",Pindi Dhudhal,170020602,-,-,,425,184,609,2,1,3
"",,,Pindi Dhudhal,170020603,-,-,,159,225,384,,,
"",,,Waan,170020604,-,-,,374,273,647,,,
"",183  Total,,,,-,-,-,958,682,1640,2,1,3
"",184,Govt. Girls Elementary School Thatha Argan,Thatha Argan,170020204,-,-,,470,364,834,2,1,3
"",,,Thatha Mehman,170020207,-,-,,454,296,750,,,
"",184  Total,,,,-,-,-,924,660,1584,2,1,3
"",185,Govt.  Primary School Thatha Kanjwan,Kot Pehlwan,170021003,-,-,,413,292,705,2,1,3
"",,,Thatha Kanjwan,170021004,-,-,,309,194,503,,,
"",185  Total,,,,-,-,-,722,486,1208,2,1,3
"",186,Govt.  Primary School Bhoon Rata,Bhoon Yara,170020404,-,-,,10,5,15,1,1,2
"",,,Bhoon Ratta,170020405,-,-,,316,199,515,,,
"",,,Kot Daim,170020406,-,-,,245,180,425,,,
"",,,Burj Jawaya,170020408,-,-,,21,13,34,,,
"",,,Meer Mukhtar,170021002,-,-,,209,127,336,,,
"",186  Total,,,,-,-,-,801,524,1325,1,1,2
"",187,Govt. Primary School Kutay Shah,Bhoon Fazal,170020401,-,-,,194,145,339,2,1,3
"",,,Burj Rehman,170020402,-,-,,8,4,12,,,
"",,,Channi Sher Gondal,170020407,-,-,,4,4,8,,,
"",,,Khutay Shah,170020701,-,-,,594,425,1019,,,
"",187  Total,,,,-,-,-,800,578,1378,2,1,3
"",188,Govt. Boys Primary School  Narowal,Narowal,170021104,-,-,,457,335,792,2,1,3
"",,,Narowal,170021105,-,-,,436,319,755,,,
"",188  Total,,,,-,-,-,893,654,1547,2,1,3
"",189,Govt. Girls High School Chak Bhatti,Chak Bhatti,170020101,-,-,,384,249,633,2,1,3
"",,,Chak Bhatti,170020105,-,-,,423,277,700,,,
"",189  Total,,,,-,-,-,807,526,1333,2,1,3
"",190,"Govt. Girls Community Model School, ChakBhatti",Chak Bhatti,170020102,-,-,,143,94,237,1,1,2
"",,,Chak Bhatti,170020104,-,-,,561,488,1049,,,
"",190  Total,,,,-,-,-,704,582,1286,1,1,2
"",191,Govt. Girls High School Chak Bhatti,Chak Bhatti,170020103,-,-,,421,318,739,2,1,3
Chak Bhatti,170020106,-,-,,289,164,453,,,,,,
"",192,Govt. Elementary School Mehmood Pur,Mehmood Pur,170020501,-,-,,69,0,69,3,0,3
"",,,Mehmood Pur,170020502,-,-,,481,0,481,,,
"",,,Mehmood Pur,170020503,-,-,,624,0,624,,,
"",192  Total,,,,-,-,-,1174,0,1174,3,0,3
"",193,Govt. Elementary School Mehmood Pur,Mehmood Pur,170020501,-,-,,0,63,63,0,2,2
"",,,Mehmood Pur,170020502,-,-,,0,323,323,,,
"",,,Mehmood Pur,170020503,-,-,,0,456,456,,,
"",193  Total,,,,-,-,-,0,842,842,0,2,2
"",194,Govt. Girls Primary School   Channi Thathlan,Channi Thathlan,170020504,-,-,,257,175,432,2,1,3
"",,,Nissowal,170020601,-,-,,337,222,559,,,
"",,,Sheikh Musa Dad,170020702,-,-,,115,78,193,,,
"",194 Total,,,,-,-,-,709,475,1184,2,1,3
"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voters on the electoral roll incase electoral area is bifurcated",Number of voters assigned to polling station,Number of polling  booths,,,,,,
"",,,"Name of ElectoralAreas","Census BlockCode","Name of ElectoralAreas","Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,Govt. MC Elementary School No.8 HFD (South,-,-,T.B. Clinic Alipur,169080102,,563,462,1025,1,1,2
"",1 Total,,-,-,,,-,563,462,1025,1,1,2
"",2,Govt. MC Elementary School No.8 HFD  (West,-,-,Saim Nala Alipur,169080204,,1316,0,1316,3,0,3
"",2 Total,,-,-,,,-,1316,0,1316,3,0,3
"",3,Govt. MC Elementary School No.8 HFD (East,-,-,Saim Nala Alipur,169080204,,0,1160,1160,0,2,2
"",3 Total,,-,-,,,-,0,1160,1160,0,2,2
"",4,"Govt. Double Section Girls High School Ali PurRoad, Hafizabad(North Side-A)",-,-,"Railway Road, HFD",169080101,,936,0,936,3,0,3
"",,,-,-,"Alipur Road,GirlsCollege, Saim Nala",169080103,,370,0,370,,,
"",,,-,-,,169080210,,233,0,233,,,
"",4 Total,,-,-,,,-,1539,0,1539,3,0,3
"",5,"Govt. Double Section Girls High School Ali PurRoad, Hafizabad (South Side)",-,-,"Railway Road, HFD",169080101,,0,792,792,0,3,3
"",,,-,-,"Alipur Road,GirlsCollege, Saim Nala",169080103,,0,318,318,,,
"",,,-,-,"Alipur Road,GirlsCollege, Saim Nala",169080210,,0,208,208,,,
"",5 Total,,-,-,,,-,0,1318,1318,0,3,3
"",6,"Govt. MC Primary School No.1 Hafizabad (ForBoys) Alipur Road (East Side)",-,-,"Beken House School,Jaggan Wala Roadetc",169080205,,688,0,688,2,1,3
"",,,-,-,"Beken House School,Jaggan Wala Roadetc",169080205,,0,606,606,,,
"",6 Total,,-,-,,,-,688,606,1294,2,1,3
"",7,"Govt. MC Primary School No.1 Hafizabad (ForBoys) Alipur Road (East Side)",-,-,"Beken House School,Jaggan Wala Roadetc",169080208,,1158,0,1158,2,0,2
"",7 Total,,-,-,,,-,1158,0,1158,2,0,2
"",8,Govt. Boys Primary School Ali Town,-,-,"Beken House School,Jaggan Wala Roadetc",169080208,,0,915,915,0,2,2
"",9,"Govt.Islamia Post Graduate College forWomen, Hafizabad (Old Block)",-,-,"Awan Mahal Cinma,Ali Pur Road, SaimNala",169080206,,1357,0,1357,3,0,3
"",9 Total,,-,-,,,-,1357,0,1357,3,0,3
"",10,"Govt.Islamia Post Graduate College forWomen, Hafizabad (Old Block)",-,-,"Awan Mahal Cinma,Ali Pur Road, SaimNala",169080206,,0,1151,1151,0,2,2
"",10 Total,,-,-,,,-,0,1151,1151,0,2,2
"",11,"Govt.Islamia Post Graduate College forWomen, Hafizabad (New Block)",-,-,Kot Hashmat,169080303,,948,862,1810,1,1,2
"",11 Total,,-,-,,,-,948,862,1810,1,1,2
"",12,"Govt. Double Section Girls High School Ali PurRoad, Hafizabad (North Side-B)",-,-,"Mohalah RehmatWala, Awan MahalCenema, HFD",169080104,,1328,0,1328,2,0,2
"",12 Total,,-,-,,,-,1328,0,1328,2,0,2
