S.No.,No. and Name of Polling Station,"In case of rural area","In case of urban area","S.No. of voters on the electoral roll in case electoral area is bifurcated","Male Voters","Female Voters","Total Voters","Male Booths","Female Booths","Total Booths",,
117,,111/12-L,209010107,-,-,-,324,270,594,,,
117 Total,,,,,,,652,545,1197,,,
118,"Girls High School, 111/12-LI(Combined)",111/12-L,209010108,-,-,-,687,507,1194,2,1,3
118 Total,,,,,,,687,507,1194,,,
119,"Girls High School, 111/12-L   II(Combined)",111/12-L,209010109,-,-,-,393,285,678,1,1,2
119,,111/12-L,209010111,-,-,-,351,306,657,,,
119 Total,,,,,,,744,591,1335,,,
120,"Boys Middle School, 112/12-L(Male)",112/12-L,209010110,-,-,-,623,0,623,4,0,4
120,,112/12-L,209010112,-,-,-,525,0,525,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
121,"Boys Middle School, 112/12-L(Female)",112/12-L,209010110,-,-,-,0,486,486,0,2,2
121,,112/12-L,209010112,-,-,-,0,399,399,,,
121 Total,,,,,,,0,885,885,,,
122,"Boys High School, 113/12-L(Combined)",113/12-L,209010113,-,-,-,470,369,839,2,1,3
122,,113/12-L,209010116,-,-,-,156,99,255,,,
122 Total,,,,,,,626,468,1094,,,
123,"Boys High School, 113/12-L(Combined)",113/12-L,209010114,-,-,-,593,387,980,1,1,2
123 Total,,,,,,,593,387,980,,,
124,"Boys High School, 113/12-L(Combined)",113/12-L,209010115,-,-,-,367,344,711,1,1,2
124 Total,,,,,,,367,344,711,,,
125,"Boys Higher Secondary School, 45/12L (Male)",45/12-L,209010404,-,-,-,412,0,412,2,0,2
125,,45/12-L,209010407,-,-,-,529,0,529,,,
125,,45/12-L,209010408,-,-,-,0,0,0,,,
125,,45/12-L,209010409,-,-,-,0,0,0,,,
125 Total,,,,,,,941,0,941,,,
126,"Boys Higher Secondary School, 45/12L   (Female)",45/12-L,209010404,-,-,-,0,356,356,0,2,2
126,,45/12-L,209010407,-,-,-,0,474,474,,,
126,,45/12-L,209010408,-,-,-,0,0,0,,,
126,,45/12-L,209010409,-,-,-,0,0,0,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
127,"Girls Higher Secondary School, 45/12-LI (Male)",45/12-L,209010405,-,-,-,416,0,416,3,0,3
127,,45/12-L,209010406,-,-,-,860,0,860,,,
127 Total,,,,,,,1276,0,1276,,,
128,"Girls Higher Secondary School, 45/12-L (Female)",45/12-L,209010405,-,-,-,0,334,334,0,2,2
128,,45/12-L,209010406,-,-,-,0,769,769,,,
128 Total,,,,,,,0,1103,1103,,,
129,"Boys Elementary School,46/12-L  (Combined)",46/12-L,209010401,-,-,-,230,222,452,1,1,2
129,,46/12-L,209010402,-,-,-,334,240,574,,,
129 Total,,,,,,,564,462,1026,,,
130,"Govt. Girls High  School, 46/12-L(Combined)",46/12-L,209010403,-,-,-,671,527,1198,2,1,3
130 Total,,,,,,,671,527,1198,,,
131,"Boys High School, 104/12-L(Combined)",104/12-L,209051001,-,-,-,526,376,902,1,1,2
131 Total,,,,,,,526,376,902,,,
132,"Boys High School, 104/12-L(Combined)",104/12-L,209051002,-,-,-,209,102,311,1,1,2
132,,104/12-L,209051003,-,-,-,331,219,550,,,
132 Total,,,,,,,540,321,861,,,
133,"Girls High School, 115/12-L  P-I(Male)",115/12-L,209051007,-,-,-,612,0,612,3,0,3
133,,115/12-L,209051008,-,-,-,283,0,283,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
133 Total,,,,,,,1435,0,1435,,,
134,"Girls High School, 115/12-L (Female)",115/12-L,209051007,-,-,-,0,560,560,0,3,3
134,,115/12-L,209051008,-,-,-,0,271,271,,,
134,,115/12-L,209051009,-,-,-,0,448,448,,,
134 Total,,,,,,,0,1279,1279,,,
135,"Girls Middle School,114/12-L  (Male)",114/12-L,209051004,-,-,-,512,0,512,3,0,3
135,,114/12-L,209051005,-,-,-,368,0,368,,,
135,,114/12-L,209051006,-,-,-,414,0,414,,,
135 Total,,,,,,,1294,0,1294,,,
136,"Boys Primary School,114/12-L  (Female)",114/12-L,209051004,-,-,-,0,374,374,0,3,3
136,,114/12-L,209051005,-,-,-,0,269,269,,,
136,,114/12-L,209051006,-,-,-,0,291,291,,,
136 Total,,,,,,,0,934,934,,,
137,"Boys Primary School,117/12-L  (Male)",117/12-L,209050905,-,-,-,733,0,733,2,0,2
137,,117/12-L,209050906,-,-,-,215,0,215,,,
137 Total,,,,,,,948,0,948,,,
138,"Boys Primary School,  117/12-L(Female)",117/12-L,209050905,-,-,-,0,556,556,0,2,2
138,,117/12-L,209050906,-,-,-,0,174,174,,,
138 Total,,,,,,,0,730,730,,,
139,"Girls Middle  School,117/12-L  (Combined)",117/12-L,209050907,-,-,-,361,295,656,2,1,3
139,,117/12-L,209050908,-,-,-,233,183,416,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
139 Total,,,,,,,638,524,1162,,,
140,"Boys Elementary School,116/12-L   (Male)",116/12-L,209050901,-,-,-,459,0,459,2,0,2
140,,116/12-L,209050902,-,-,-,448,0,448,,,
140 Total,,,,,,,907,0,907,,,
141,"Boys Elementary School,  116/12-L(Male)",116/12-L,209050903,-,-,-,821,0,821,2,0,2
141,,116/12-L,209050904,-,-,-,104,0,104,,,
141 Total,,,,,,,925,0,925,,,
142,"Govt. Girls  High   School,116/12-L  (Female)",116/12-L,209050901,-,-,-,0,343,343,0,2,2
142,,116/12-L,209050902,-,-,-,0,366,366,,,
142,,116/12-L,209050903,-,-,-,0,652,652,,,
142,,116/12-L,209050904,-,-,-,0,84,84,,,
142 Total,,,,,,,0,1445,1445,,,
143,"Girls Middle  School,118/12-L   (Combined)",118/12-L,209050910,-,-,-,58,56,114,2,1,3
143,,118/12-L,209050911,-,-,-,603,468,1071,,,
143,,118/12-L,209050920,-,-,-,108,70,178,,,
143 Total,,,,,,,769,594,1363,,,
144,"Girls Middle  School,118/12-L    (Combined)",118/12-L,209050912,-,-,-,786,628,1414,2,2,4
144 Total,,,,,,,786,628,1414,,,
145,"Boys Primary School,118/12-L  (Male)",118/12-L,209050913,-,-,-,453,0,453,2,0,2
145,,118/12-L,209050914,-,-,-,451,0,451,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
146,"Govt Primary School, adda Kasowal(Male)",118/12-L,209050915,-,-,-,377,0,377,2,0,2
146,,118/12-L,209050916,-,-,-,134,0,134,,,
146,,118/12-L,209050917,-,-,-,146,0,146,,,
146,,118/12-L,209050918,-,-,-,262,0,262,,,
146,,118/12-L,209050919,-,-,-,48,0,48,,,
146 Total,,,,,,,967,0,967,,,
147,"Union Council Office, 118/12-L(Female)",118/12-L,209050913,-,-,-,0,374,374,0,4,4
147,,118/12-L,209050914,-,-,-,0,338,338,,,
147,,118/12-L,209050915,-,-,-,0,308,308,,,
147,,118/12-L,209050916,-,-,-,0,115,115,,,
147,,118/12-L,209050917,-,-,-,0,115,115,,,
147,,118/12-L,209050918,-,-,-,0,193,193,,,
147,,118/12-L,209050919,-,-,-,0,29,29,,,
147 Total,,,,,,,0,1472,1472,,,
148,"Girls Primary School, 8/14-L(Combined)",8/14-L,209050805,-,-,-,471,379,850,2,2,4
148,,8/14-L,209050810,-,-,-,340,246,586,,,
148 Total,,,,,,,811,625,1436,,,
149,"Boys Primary School, 8/14-L(Combined)",8/14-L,209050806,-,-,-,251,142,393,2,2,4
149,,8/14-L,209050807,-,-,-,281,204,485,,,
149,,8/14-L,209050811,-,-,-,300,294,594,,,
149 Total,,,,,,,832,640,1472,,,
150,"Boys Middle School, 6/14-L  (Male)",6/14-L,209050801,-,-,-,327,0,327,3,0,3
150,,6/14-L,209050802,-,-,-,616,0,616,,,
150,,6/14-L,209050808,-,-,-,265,0,265,,,
150,,6/14-L,209050809,-,-,-,0,0,0,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
150 Total,,,,,,,1208,0,1208,,,
151,"Boys Middle School, 6/14-L  (Male)",6/14-L,209050803,-,-,-,351,0,351,2,0,2
151,,6/14-L,209050804,-,-,-,407,0,407,,,
151 Total,,,,,,,758,0,758,,,
152,"Girls Middle  School, 6/14-L(Female)",6/14-L,209050801,-,-,-,0,236,236,0,4,4
152,,6/14-L,209050802,-,-,-,0,465,465,,,
152,,6/14-L,209050803,-,-,-,0,286,286,,,
152,,6/14-L,209050804,-,-,-,0,237,237,,,
152,,6/14-L,209050808,-,-,-,0,165,165,,,
152,,6/14-L,209050809,-,-,-,0,0,0,,,
152 Total,,,,,,,0,1389,1389,,,
153,"Girls Middle School, 5/14-L(Female)",5/14-L,209050408,-,-,-,0,246,246,0,4,4
153,,5/14-L,209050409,-,-,-,0,424,424,,,
153,,5/14-L,209050410,-,-,-,0,466,466,,,
153,,5/14-L,209050411,-,-,-,0,251,251,,,
153 Total,,,,,,,0,1387,1387,,,
154,"Girls Middle School,5/14-L (Male)",5/14-L,209050408,-,-,-,389,0,389,2,0,2
154,,5/14-L,209050411,-,-,-,365,0,365,,,
154 Total,,,,,,,754,0,754,,,
155,"Girls Middle School,  5/14-L (Male)",5/14-L,209050409,-,-,-,580,0,580,3,0,3
155,,5/14-L,209050410,-,-,-,708,0,708,,,
155 Total,,,,,,,1288,0,1288,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
156,"Girls Middle School,1/14-L   (Combined)",1/14-L,209050401,-,-,-,695,546,1241,2,1,3
156 Total,,,,,,,695,546,1241,,,
157,"Girls Middle School,1/14-L   (Combined)",1/14-L,209050402,-,-,-,379,325,704,2,1,3
157,,1/14-L,209050403,-,-,-,375,282,657,,,
157 Total,,,,,,,754,607,1361,,,
158,"Govt.Girls Community ModelElementary School, 3/14-L(Combined)",3/14-L,209050405,-,-,-,657,549,1206,2,1,3
158 Total,,,,,,,657,549,1206,,,
159,"Govt.Girls Community ModelElementary School, 3/14-L(Combined)",3/14-L,209050406,-,-,-,423,350,773,1,1,2
159 Total,,,,,,,423,350,773,,,
160,"Girls Community Model School, 3/14-L(Combined)",3/14-L,209050404,-,-,-,413,279,692,2,2,4
160,,3/14-L,209050407,-,-,-,362,301,663,,,
160 Total,,,,,,,775,580,1355,,,
161,"Boys Higher Secondary School, 4/14-L  -I (Male)",4/14-L,209050704,-,-,-,264,0,264,3,0,3
161,,4/14-L,209050705,-,-,-,342,0,342,,,
161,,4/14-L,209050706,-,-,-,297,0,297,,,
161,,4/14-L,209050707,-,-,-,313,0,313,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
162,"Boys Higher Secondary School, 4/14-L(Male)",4/14-L,209050704,-,-,-,264,0,264,2,0,2
162,,4/14-L,209050705,-,-,-,342,0,342,,,
162,,4/14-L,209050706,-,-,-,297,0,297,,,
162,,4/14-L,209050707,-,-,-,313,0,313,,,
162 Total,,,,,,,1216,0,1216,,,
163,"Govt. Girls Higher Secodary School,4/14-L       (Female)",4/14-L,209050708,-,-,-,0,209,209,0,4,4
163,,4/14-L,209050709,-,-,-,0,167,167,,,
163,,4/14-L,209050710,-,-,-,0,415,415,,,
163,,4/14-L,209050711,-,-,-,0,218,218,,,
163 Total,,,,,,,0,1009,1009,,,
164,"Govt. Girls Higher Secodary School,4/14-L       (Female)",4/14-L,209050708,-,-,-,0,209,209,0,2,2
164,,4/14-L,209050709,-,-,-,0,167,167,,,
164,,4/14-L,209050710,-,-,-,0,415,415,,,
164,,4/14-L,209050711,-,-,-,0,218,218,,,
164 Total,,,,,,,0,1009,1009,,,
165,"Boys Primary School,1-A/14-L  (Male)",1-A/14-L,209050701,-,-,-,343,0,343,3,0,3
165,,1-A/14-L,209050702,-,-,-,523,0,523,,,
165,,1-A/14-L,209050703,-,-,-,513,0,513,,,
165 Total,,,,,,,1379,0,1379,,,
166,"Girls Primary School,1-A/14-L (Female)",1-A/14-L,209050701,-,-,-,0,277,277,0,3,3
166,,1-A/14-L,209050702,-,-,-,0,403,403,,,
166,,1-A/14-L,209050703,-,-,-,0,347,347,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
166 Total,,,,,,,0,1027,1027,,,
167,"Boys High School, 39/14-L     (Male)",39/14-L,209060101,-,-,-,247,0,247,2,0,2
167,,39/14-L,209060103,-,-,-,383,0,383,,,
167,,39/14-L,209060110,-,-,-,227,0,227,,,
167 Total,,,,,,,857,0,857,,,
168,"Boys High School, 39/14-L     (Male)",39/14-L,209060102,-,-,-,791,0,791,2,0,2
168 Total,,,,,,,791,0,791,,,
169,"Boys High School, 39/14-L  (Female)",39/14-L,209060101,-,-,-,0,202,202,0,4,4
169,,39/14-L,209060102,-,-,-,0,612,612,,,
169,,39/14-L,209060103,-,-,-,0,301,301,,,
169,,39/14-L,209060110,-,-,-,0,219,219,,,
169 Total,,,,,,,0,1334,1334,,,
170,"Girls Primary School,40/14-L  (Combined)",40/14-L,209060104,-,-,-,414,262,676,1,1,2
170,,40/14-L,209060106,-,-,-,45,33,78,,,
170 Total,,,,,,,459,295,754,,,
171,"Girls Primary School,  40/14-L(Combined)",40/14-L,209060105,-,-,-,385,236,621,2,1,3
171,,40/14-L,209060111,-,-,-,364,270,634,,,
171 Total,,,,,,,749,506,1255,,,
172,"Girls Primary School,41/14-L   (Combined)",41/14-L,209060107,-,-,-,730,509,1239,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
173,"Girls Primary School,41/14-L (Combined)",41/14-L,209060108,-,-,-,282,211,493,2,1,3
173,,41/14-L,209060109,-,-,-,348,225,573,,,
173 Total,,,,,,,630,436,1066,,,
174,"Girls Middle School, 120/7-E.R(Male)",120/7-E.R,209050607,-,-,-,448,0,448,4,0,4
174,,120/7-E.R,209050608,-,-,-,339,0,339,,,
174,,120/7-E.R,209050609,-,-,-,406,0,406,,,
174,,120/7-E.R,209050610,-,-,-,453,0,453,,,
174 Total,,,,,,,1646,0,1646,,,
175,"Girls Middle  School, 120/7-E.R(Female)",120/7-E.R,209050607,-,-,-,0,362,362,0,4,4
175,,120/7-E.R,209050608,-,-,-,0,258,258,,,
175,,120/7-E.R,209050609,-,-,-,0,340,340,,,
175,,120/7-E.R,209050610,-,-,-,0,292,292,,,
175 Total,,,,,,,0,1252,1252,,,
176,"Boys High School, 119/7-D.R(Combined)",119/7-D.R,209050601,-,-,-,531,375,906,2,1,3
176,,119/7-D.R,209050606,-,-,-,171,91,262,,,
176 Total,,,,,,,702,466,1168,,,
177,"Boys High School, 119/7-D.R(Combined)",119/7-D.R,209050604,-,-,-,379,270,649,2,1,3
177,,119/7-D.R,209050605,-,-,-,387,262,649,,,
177 Total,,,,,,,766,532,1298,,,
178,"Boys High School, 119/7-D.R(Combined)",119/7-D.R,209050602,-,-,-,392,303,695,2,1,3
178,,119/7-D.R,209050603,-,-,-,258,143,401,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
179,"Boys Primary School, 118/7-D.R(Combined)",118/7-D.R,209050611,-,-,-,440,387,827,1,1,2
179 Total,,,,,,,440,387,827,,,
180,"Boys Primary School, 118/7-D.R(Combined)",118/7-D.R,209050612,-,-,-,634,491,1125,2,1,3
180 Total,,,,,,,634,491,1125,,,
181,"Girls Primary School,38/14-L   (Combined)",38/14-L,209050502,-,-,-,609,503,1112,2,1,3
181 Total,,,,,,,609,503,1112,,,
182,"Girls Primary School,38/14-L   (Combined)",38/14-L,209050501,-,-,-,197,179,376,2,1,3
182,,38/14-L,209050503,-,-,-,416,373,789,,,
182 Total,,,,,,,613,552,1165,,,
183,"Boys High School, 121/7-E.R(Combined)",121/7-E.R,209050504,-,-,-,228,181,409,1,1,2
183,,121/7-E.R,209050505,-,-,-,334,250,584,,,
183 Total,,,,,,,562,431,993,,,
184,"Girls Primary School, 122/7-E.R(Combined)",122/7-E.R,209050506,-,-,-,224,176,400,1,1,2
184,,122/7-E.R,209050507,-,-,-,188,148,336,,,
184 Total,,,,,,,412,324,736,,,
185,"Govt: Primary School, Daduana(Combined)",Lal Ka Kathia,209050101,-,-,-,220,146,366,1,1,2
185,,Lal Ka Kathia,209050102,-,-,-,319,275,594,,,
185 Total,,,,,,,539,421,960,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
186,,"Hashim ChakarBub",209050104,-,-,-,200,136,336,,,
186 Total,,,,,,,834,633,1467,,,
187,"Boys High School, 120/13-A.L(Combined)",120/13-A.L,209050201,-,-,-,704,561,1265,2,1,3
187 Total,,,,,,,704,561,1265,,,
188,"Girls C.M School, 120/13-A.L(Combined)",120/13-A.L,209050202,-,-,-,454,405,859,2,2,4
188,,120/13-A.L,209050203,-,-,-,340,242,582,,,
188 Total,,,,,,,794,647,1441,,,
189,"Boys Primary School,119/13-A.L  (Combined)",119/13-A.L,209050204,-,-,-,397,277,674,2,1,3
189,,119/13-A.L,209050206,-,-,-,289,230,519,,,
189 Total,,,,,,,686,507,1193,,,
190,"Boys Primary School,  119/13-A.L(Combined)",119/13-A.L,209050205,-,-,-,625,401,1026,1,1,2
190 Total,,,,,,,625,401,1026,,,
191,"Girls C.M. School, 115/7-C.R(Combined)",115/7-C.R,209050208,-,-,-,173,135,308,2,1,3
191,,115/7-C.R,209050210,-,-,-,611,416,1027,,,
191 Total,,,,,,,784,551,1335,,,
192,"Boys Middle School, 115/7-C.R(Combined)",115/7-C.R,209050207,-,-,-,301,205,506,2,1,3
192,,115/7-C.R,209050209,-,-,-,348,228,576,,,
192 Total,,,,,,,649,433,1082,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
193,,117/7-D.R,209050307,-,-,-,318,274,592,,,
193 Total,,,,,,,880,755,1635,,,
194,"Girls Primary School, 116/7-C.R(Female)",Sehwa,209050301,-,-,-,0,81,81,0,4,4
194,,Sehwa,209050302,-,-,-,0,163,163,,,
194,,Sehwa,209050303,-,-,-,0,543,543,,,
194,,Sehwa,209050304,-,-,-,0,291,291,,,
194,,Sehwa,209050305,-,-,-,0,330,330,,,
194,,Sehwa,209050308,-,-,-,0,58,58,,,
194 Total,,,,,,,0,1466,1466,,,
195,"Boys Primary School, 116/7-C.R(Male)",116/7-C.R,209050303,-,-,-,695,0,695,2,0,2
195,,116/7-C.R,209050304,-,-,-,343,0,343,,,
195 Total,,,,,,,1038,0,1038,,,
196,"Boys Primary School, 116/7-C.R(Male)",Sohawa,209050301,-,-,-,101,0,101,2,0,2
196,,Sohawa,209050302,-,-,-,220,0,220,,,
196,,Sohawa,209050305,-,-,-,434,0,434,,,
196,,Sohawa,209050308,-,-,-,60,0,60,,,
196 Total,,,,,,,815,0,815,,,
197,"Girls Middle School,102/12-L    (Combined)",102/12-L,209051104,-,-,-,882,779,1661,2,2,4
197 Total,,,,,,,882,779,1661,,,
198,"Boys High School,102/12-L    (Combined)",102/12-L,209051105,-,-,-,559,515,1074,1,1,2
198 Total,,,,,,,559,515,1074,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
199,,103/12-L,209051102,-,-,-,444,409,853,,,
199 Total,,,,,,,773,650,1423,,,
200,"Boys Middle School,103/12-L   (Combined)",103/12-L,209051103,-,-,-,494,418,912,1,1,2
200 Total,,,,,,,494,418,912,,,
201,"Boys Primary School,100/12-L  (Combined)",100/12-L,209051202,-,-,-,559,443,1002,2,1,3
201,,100/12-L,209051204,-,-,-,182,117,299,,,
201 Total,,,,,,,741,560,1301,,,
202,"Girls Primary School,100/12-L  (Combined)",100/12-L,209051201,-,-,-,276,177,453,1,1,2
202,,100/12-L,209051203,-,-,-,254,225,479,,,
202 Total,,,,,,,530,402,932,,,
203,"Girls Middle School,101/12-L  (Combined)",101/12-L,209051205,-,-,-,36,19,55,1,1,2
203,,101/12-L,209051207,-,-,-,537,391,928,,,
203 Total,,,,,,,573,410,983,,,
204,"Boys Middle School, 101/12-L(Combined)",101/12-L,209051208,-,-,-,622,501,1123,2,1,3
204 Total,,,,,,,622,501,1123,,,
205,"Girls Primary School,101/12-LTendar  (Combined)",101/12-L,209051206,-,-,-,411,298,709,1,1,2
205 Total,,,,,,,411,298,709,,,
"GrandTotal",,,,,,,127684,100639,228316,297,232,529
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
S.No.,No. and Name of Polling Station,In case of rural,In case of urban,"S.No. of voters on theelectoral roll in caseelectoral area is","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt. Girls High  School, 48/12-L(Male)",48/12-L,209041105,-,-,-,205,0,205,3,0,3
1,,48/12-L,209041106,-,-,-,710,0,710,,,
1,,48/12-L,209041107,-,-,-,340,0,340,,,
1,,48/12-L,209041108,-,-,-,135,0,135,,,
1 Total,,,,,,,1390,0,1390,,,
2,"Govt. Girls High  School, 48/12-L(Female)",48/12-L,209041105,-,-,-,0,158,158,0,3,3
2,,48/12-L,209041106,-,-,-,0,588,588,,,
2,,48/12-L,209041107,-,-,-,0,255,255,,,
2,,48/12-L,209041108,-,-,-,0,126,126,,,
2 Total,,,,,,,0,1127,1127,,,
3,"Girls Middle School, 49/12-L(Combined)",49/12-L,209041102,-,-,-,698,601,1299,2,1,3
3 Total,,,,,,,698,601,1299,,,
4,"Girls Middle School, 49/12-L(Combined)",49/12-L,209041101,-,-,-,258,213,471,2,1,3
4,,49/12-L,209041104,-,-,-,377,280,657,,,
4 Total,,,,,,,635,493,1128,,,
5,"Boys Primary School, 49/12-L(Combined)",49/12-L,209041103,-,-,-,423,315,738,1,1,2
5 Total,,,,,,,423,315,738,,,
6,"Boys High School, 50/12-L     -I(Combined)",50/12-L,209040112,-,-,-,724,630,1354,2,2,4
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
7,"Boys High School, 50/12-L     -I(Combined)",50/12-L,209040109,-,-,-,428,353,781,1,1,2
7,,50/12-L,209040110,-,-,-,172,119,291,,,
7 Total,,,,,,,600,472,1072,,,
8,"Govt. Girls High  School, 50/12L(Combined)",50/12-L,209040108,-,-,-,193,167,360,1,1,2
8,,50/12-L,209040111,-,-,-,213,144,357,,,
8 Total,,,,,,,406,311,717,,,
9,"Boys Middle School, 105/12-L (Male)",105/12-L,209040101,-,-,-,213,0,213,2,0,2
9,,105/12-L,209040102,-,-,-,163,0,163,,,
9,,105/12-L,209040103,-,-,-,480,0,480,,,
9,,105/12-L,209040104,-,-,-,223,0,223,,,
9 Total,,,,,,,1079,0,1079,,,
10,"Boys Middle School, 105/12-L(Female)",105/12-L,209040101,-,-,-,0,186,186,0,2,2
10,,105/12-L,209040102,-,-,-,0,116,116,,,
10,,105/12-L,209040103,-,-,-,0,374,374,,,
10,,105/12-L,209040104,-,-,-,0,158,158,,,
10 Total,,,,,,,0,834,834,,,
11,"Girls Community Model School,106/12-L   (Combined)",106/12-L,209040105,-,-,-,183,113,296,2,1,3
11,,106/12-L,209040106,-,-,-,300,212,512,,,
11,,106/12-L,209040107,-,-,-,323,184,507,,,
11 Total,,,,,,,806,509,1315,,,
