Sr. No,No. and Name of Polling Station,In case of rural areas,In Case of Urban Area,"S. No. of Voterson the Electoralroll in caseelectoral area isbifurcated","Number of Voters assigned topolling Station",Number of Polling Booths,,,,,,
"",,Rachna Town No.3,198080203,,0,408,408,,,,,
"",,Rachna Town No.3,198080211,,0,366,366,,,,,
315,"315. Government ElementarySchool for Boys, Bhullay BhaniwalFerozewala",,,Bhola Bhoniwal,1  9  8   0  8  0  4  0   6,,4  5  0,0,450,3,0,3
"",,,,"Bhola Bhoniwal/PhattanColony",198080407,,297,0,297,,,
"",,,,"Bhola Bhoniwal/PhattanColony",198080412,,128,0,128,,,
"",,,,"Bhola Bhoniwal/PhattanColony",198080413,,149,0,149,,,
316,"316. Government Pramary Schoolfor Girls, Sakandrabad Ferozewala",,,Dera Changran,198080408,,275,0,275,3,0,3
"",,,,Dera Changran,198080414,,147,0,147,,,
"",,,,Sakandrabad,198080409,,610,0,610,,,
317,"317. Government ElementarySchool for Boys, Bhullay BhaniwalFerozewala",,,Bhola Bhoniwal,1  9  8   0  8  0  4  0   6,,0,294,294,0,2,2
"",,,,"Bhola Bhoniwal/PhattanColony",198080407,,0,127,127,,,
"",,,,"Bhola Bhoniwal/PhattanColony",198080412,,0,90,90,,,
"",,,,"Bhola Bhoniwal/PhattanColony",198080413,,0,71,71,,,
"",,,,Dera Changran,198080408,,0,111,111,,,
"",,,,Dera Changran,198080414,,0,149,149,,,
"",,,,Sakandrabad,198080409,,0,441,441,,,
318,"318. Tehsil Head Quarter Hospital,Ferozewala.",,,"Imamia Colony/Pir ZadaColony",198080401,,560,0,560,4,0,4
"",,,,Bhook Pura,198080402,,414,0,414,,,
"",,,,Rachna Town,198080410,,220,0,220,,,
"",,,,Rachna Town,198080415,,225,0,225,,,
"",,,,Rachna Town,198080416,,194,0,194,,,
319,"319. Tehsil Head Quarter Hospital,Ferozewala.",,,"Imamia Colony/Pir ZadaColony",198080401,,0,435,435,0,2,2
"",,,,Bhook Pura,198080402,,0,302,302,,,
"",,,,Rachna Town,198080410,,0,142,142,,,
"",,,,Rachna Town,198080415,,0,179,179,,,
"",,,,Rachna Town,198080416,,0,161,161,,,
320,"320. Tehsil Head Quarter Hospital,Ferozewala.(Male)",,,Rachna Town No.6,198080206,,844,0,844,2,0,2
321,"321. Tehsil Head Quarter Hospital,Ferozewala.(Male)",,,Rachna Town No.5,198080205,,1049,0,1049,3,0,3
322,"322. Government Boys PrimarySchool Rachna Town (Female)",,,Rachna Town No.5,198080205,,0,760,760,0,3,3
"",,Rachna Town No.6,198080206,,0,681,681,,,,,
"",,Bhullay Dasanwal,1   9  8  0  8  0  4   0  3,,1036,0,1036,,,,,
"",,"Mohalla BhatianWala/Mugal Park",198080404,,200,0,200,,,,,
"",,"Mohalla BhatianWala/Mugal Park",198080411,,142,0,142,,,,,
"",,Bhullay Dasanwal,1   9  8  0  8  0  4   0  3,,0,800,800
"",,"Mohalla BhatianWala/Mugal Park",198080404,,0,99,99
"",,"Mohalla BhatianWala/Mugal Park",198080411,,0,85,85
In case of rural areas,In Case of Urban Area
Number of Voters assigned to,Number of Polling Booths
