"Polling Station Serial No",Polling Station Name,Electoral Area,Block Code,Male Voters,"Female Voters","Total Voters","Male Booths","Female Booths","Total Booths","Polling Station Type"
"",,Chak No-113 /15-L,222030502,395,339,734,,,,
297,"Govt Girls PrimarySchool 114 /15-L",Chak No-114 /15-L,222030503,377,285,662,1,1,2,Combined
298,"Govt Girls PrimarySchool 114 /15-L",Chak No-114 /15-L,222030504,519,430,949,1,1,2,Combined
Chak No.115/15-L,222030505,300,0,300,,,,,,
Chak No.115/15-L,222030506,346,0,346,,,,,,
300,"Govt Boys High School115 /15-L (Ist Portion)()",Chak No.115/15-L,222030505,0,240,240,0,3,3,Female
"",,Chak No.115/15-L,222030506,0,240,240,,,,
"",,Chak No.115/15-L,222030507,0,577,577,,,,
301,"Govt Girls High  School115 /15-L",Chak No.115/15-L,222030509,250,190,440,2,1,3,Combined
"",,Chak No.115/15-L,222030510,293,207,500,,,,
302,"Govt Girls High  School115 /15-L",Chak No-115 /15-L,222030508,418,351,769,1,1,2,Combined
303,"Govt Boys PrimarySchool  122 /15-L",Chak No-122 /15-L,222031003,517,386,903,1,1,2,Combined
304,"Govt Boys PrimarySchool  122 /15-L",Chak No-122 /15-L,222031004,589,452,1041,1,1,2,Combined
305,"Govt Boys PrimarySchool  123 /15-L",Chak No-123 /15-L,222031001,350,260,610,1,1,2,Combined
307,"Govt Girls PrimarySchool 118 /15-L",Chak No-118 /15-L,222030902,392,284,676,1,1,2,Combined
308,"Govt Girls PrimarySchool 118 /15-L",Chak No-118 /15-L,222030901,411,327,738,1,1,2,Combined
309,"Govt Boys PrimarySchool  117 /15-L",Chak No-117 /15-L,222030903,928,767,1695,2,2,4,Combined
"",,Chak No-117 /15-L,222030904,928,767,1695,,,,
310,"Govt Boys PrimarySchool  53 /15-L",Chak No 53/15-L,222040801,918,682,1600,2,2,4,Combined
"",,Chak No 53/15-L,222040802,918,682,1600,,,,
"",,Chak No.53/15-L,222040803,134,81,215,,,,
311,"Govt Boys MiddleSchool   54 /15-L",Chak No-54 /15-L,222040804,526,399,925,1,1,2,Combined
Chak No-54 /15-L,222040805,65,47,112,,,,,,
"",55/15-,Chak No-55/15-L,222040807,26,16,42,,,,
313,"Govt Boys PrimarySchool 56/15-LJandiali banglow",Chak No-56 /15-L,222040511,608,445,1053,1,1,2,Combined
"",,Chak No-56 /15-L,222040512,608,445,1053,,,,
314,"Govt Boys PrimarySchool  56 /15-LDabannala",Chak No-56 /15-L,222040513,830,584,1414,2,1,3,Combined
"",,Chak No-56 /15-L,222040514,830,584,1414,,,,
"",,Chak No-56 /15-L,222040516,830,584,1414,,,,
315,"Govt Boys PrimarySchool 57 /15-L",Chak No-57 /15-L,222040507,657,531,1188,1,1,2,Combined
Chak No-57 /15-L,222040508,657,531,1188,,,,,,
Chak No-57 /15-L,222040509,439,332,771,,,,,,
317,"Govt Boys PrimarySchool 58 /15-L(SouthPort)",Chak No-58 /15-L,222040504,395,368,763,1,1,2,Combined
"",,Chak No-58 /15-L,222040515,395,368,763,,,,
318,"Govt Boys PrimarySchool 58 /15-L(SouthPort)",Chak No-58 /15-L,222040505,327,287,614,1,1,2,Combined
"",,Chak No-58 /15-L,222040506,218,207,425,,,,
319,"Govt Boys High School59/15-L",Chak No-59 /15-L,222040502,497,374,871,1,1,2,Combined
"",,Chak No-59 /15-L,222040503,126,78,204,,,,
320,"Govt Boys High School59/15-L",Chak No-59 /15-L,222040501,524,407,931,1,1,2,Combined
321,"Govt Boys PrimarySchool  90 /15-L",Chak No-90 /15-L,222040901,297,228,525,1,1,2,Combined
Chak No-90 /15-L,222040902,546,448,994,,,,,,
323,"Govt Boys High School102/15-L North Block",Chak No102/15-L,222040904,270,180,450,1,1,2,Combined
"",,Chak No102/15-L,222040905,289,205,494,,,,
324,"Govt Boys High School102/15-L North Block",Chak No102/15-L,222040906,870,707,1577,2,2,4,Combined
"",,Chak No102/15-L,222040911,870,707,1577,,,,
325,"Govt Boys High School102 /15-L (West Block)",Chak No102/15-L,222040909,255,196,451,2,1,3,Combined
"",,Chak No102/15-L,222040910,455,330,785,,,,
"",,Chak No102/15-L,222040912,455,330,785,,,,
326,"Govt Girls High  School102 /15-L",Chak No-102 /15-L,222040907,631,504,1135,1,1,2,Combined
Chak No-102 /15-L,222040908,631,504,1135,,,,,,
"",,Chak No-96 /15-L,222040602,232,183,415,,,,
328,"Govt Girls High School96 /15-L",Chak No-96 /15-L,222040603,619,507,1126,2,2,4,Combined
"",,Chak No-96 /15-L,222040604,271,219,490,,,,
329,"Govt Boys MiddleSchool 92 /15-L",Chak No-92 /15-L,222040611,437,298,735,1,1,2,Combined
330,"Govt Boys MiddleSchool 92 /15-L",Chak No-92 /15-L,222040612,407,286,693,1,1,2,Combined
331,Govt:B.H.U. 92 /15-L,Chak No-92 /15-L,222040614,792,562,1354,2,1,3,Combined
"",,Chak No-92 /15-L,222040615,792,562,1354,,,,
332,Govt:B.H.U. 92 /15-L,Chak No-92 /15-L,222040613,319,275,594,1,1,2,Combined
Chak No-91 /15-L,222040605,820,666,1486,,,,,,
334,"Govt Boys PrimarySchool 96 A /15-L",Chak No-96 a /15-L,222040607,215,164,379,1,1,2,Combined
335,"Govt Boys PrimarySchool 96 A /15-L",Chak No-96 a /15-L,222040608,622,489,1111,2,1,3,Combined
Chak No-97 /15-L,222040609,715,635,1350,,,,,,
1,"Govt Boys HighSchool 164  /10-R",Chak No.172/10-R,220010401,493,0,493,2,0,2,Male
Chak No.172/10-R,220010406,493,0,493,,,,,,
Chak No.164/10-R,220010405,474,0,474,,,,,,
"",,Chak No.164/10-R,220010407,474,0,474,,,,
3,"Govt GirlsMiddle School164 /10-R",Chak No.172/10-R,220010401,0,376,376,0,3,3,Female
"",,Chak No.172/10-R,220010406,0,376,376,,,,
"",,Chak No.164/10-R,220010404,0,523,523,,,,
"",,Chak No.164/10-R,220010405,0,334,334,,,,
"",,Chak No.164/10-R,220010407,0,334,334,,,,
4,"Govt BoysMiddle School176 /10-R",Chak No.176/10-R,220010402,815,686,1501,2,1,3,"Combined"
Chak No.176/10-R,220010403,815,686,1501,,,,,,
Chak No.169/10-R,220010101,326,248,574,,,,,,
6,"Govt BoysPrimary School169 /10-R",Chak No.169/10-R,220010103,499,373,872,1,1,2,"Combined"
7,"Govt BoysMiddle School170 /10-R  (1stPort)",Chak No.170/10-R,220010104,353,0,353,3,0,3,Male
"",,Chak No.170/10-R,220010105,392,0,392,,,,
"",,Chak No.170/10-R,220010106,567,0,567,,,,
8,"Govt BoysMiddle School170 /10-R   (IIndPortion)",Chak No.170/10-R,220010104,0,292,292,0,3,3,Female
"",,Chak No.170/10-R,220010105,0,325,325,,,,
"",,Chak No.170/10-R,220010106,0,491,491,,,,
9,"Govt GirlsMiddle School171 /10-R old",Chak No.171/10-R,220010206,695,586,1281,1,1,2,"Combined"
10,"Govt GirlsMiddle School171 /10-R old",Chak No.171/10-R,220010207,458,382,840,1,1,2,"Combined"
"",,Chak No.166/10-R,220010201,432,0,432,,,,
12,"Govt BoysPrimary School166 /10-R",Chak No.166/10-R,220010202,0,393,393,0,1,1,Female
"",,Chak No.166/10-R,220010201,0,390,390,,,,
13,"Govt GirlsMiddle School166 /10-R",Chak No.166/10-R,220010203,304,286,590,1,1,2,"Combined"
"",,Chak No.166/10-R,220010205,238,214,452,,,,
14,"Govt GirlsMiddle School166 /10-R",Chak No.166/10-R,220010204,397,379,776,1,1,2,"Combined"
15,"Govt BoysPrimary School162 /10-R",Chak No.162/10-R,220010303,216,189,405,1,1,2,"Combined"
"",,Chak No.162/10-R,220010304,376,379,755,,,,
16,"Govt BoysPrimary School161 /10-R Basti",Chak No.161/10-R,220010301,352,318,670,1,1,2,"Combined"
""
""
18,"Govt .GirlsMiddle School91/10-R",Chak No.91/10-R,220020501,730,0,730,2,0,2,Male
"",,Chak No.91/10-R,220020502,611,0,611,,,,
"",,Chak No.91/10-R,220020503,611,0,611,,,,
19,"Govt .GirlsMiddle School91/10-R",Chak No.91-A/10-R,220020504,545,403,848,1,1,2,"Combined"
20,"Govt .Boys PrySchool 91/10-R",Chak No.91/10-R,220020501,0,562,562,0,2,2,Female
"",,Chak No.91/10-R,220020502,0,481,481,,,,
"",,Chak No.91/10-R,220020503,0,481,481,,,,
21,"Govt .SolvationArmy Boys HighSchool, 72/10-R(Ist Portion)",Chak No.72/10-R,220020506,502,406,908,2,1,3,"Combined"
Chak No.72/10-R,220020505,400,346,746,,,,,,
""
""
"",(IIst Portion),Chak No.72/10-R,220020508,405,0,405,,,,
"",,Chak No.72/10-R,220020509,781,0,781,,,,
"",,Chak No.72/10-R,220020510,781,0,781,,,,
23,"Govt . SolvationArmy Boys HighSchool,72/10-R(III Portion)",Chak No.72/10-R,220020507,0,218,218,0,2,2,Female
"",,Chak No.72/10-R,220020508,0,345,345,,,,
"",,Chak No.72/10-R,220020509,0,574,574,,,,
"",,Chak No.72/10-R,220020510,0,574,574,,,,
24,"Govt .Girls HighSchool, 72/10-R",Chak No.72/10-R,220020511,144,108,252,1,1,2,"Combined"
Chak No.72/10-R,220020512,179,142,321,,,,,,
"",,Chak No.77/10-R,220020302,843,0,843,,,,
"",,Chak No.77/10-R,220020303,843,0,843,,,,
26,"Govt GirlsMiddle School77 /10-R",Chak No.77/10-R,220020301,0,481,481,0,3,3,Female
"",,Chak No.77/10-R,220020302,0,701,701,,,,
"",,Chak No.77/10-R,220020303,0,701,701,,,,
27,"Govt BoysMiddle School78 /10-R",Chak No.81/10-R,220020304,239,154,393,2,1,3,"Combined"
Chak No.78/10-R,220020305,619,490,1109,,,,,,
Chak No.76/10-R,220020308,1051,989,2040,,,,,,
Chak No.76/10-R,220020309,1051,989,2040,,,,,,
29,"Govt GirlsMiddle School71 /10-R",Chak No.71/10-R,220020306,954,878,1832,2,2,4,"Combined"
30,"Govt Boys HighSchool 80 /10-R(1st port)",Chak No.80/10-R,220030101,424,0,424,4,0,4,Male
"",,Chak No.80/10-R,220030102,424,0,424,,,,
"",,Chak No.80/10-R,220030104,521,0,521,,,,
"",,Chak No.80/10-R,220030103,672,0,672,,,,
31,"Govt Boys HighSchool 80 /10-R(IInd Port)",Chak No.80/10-R,220030101,0,342,342,0,3,3,Female
Chak No.80/10-R,220030102,0,342,342,,,,,,
Chak No.80/10-R,220030103,0,535,535,,,,,,
Chak No.80/10-R,220030104,0,458,458,,,,,,
33,"Govt Girls HighSchool  80 /10-R(1st Port)  20b",Chak No.80/10-R,220030106,784,625,1409,2,1,3,"Combined"
"",,Chak No.80/10-R,220030115,784,625,1409,,,,
34,"Govt Girls HighSchool  80 /10-R(II nd Port)",Chak No.80/10-R,220030107,372,263,635,2,1,3,"Combined"
"",,Chak No.80/10-R,220030108,557,432,989,,,,
"",,Chak No.80/10-R,220030116,557,432,989,,,,
35,"Govt Boys HighSchool 79 /10-R",Chak No.79/10-R,220030110,416,290,706,2,1,3,"Combined"
"",,Chak No.79/10-R,220030111,447,378,825,,,,
36,"Govt Boys HighSchool 79 /10-R",Chak No.79/10-R,220030109,589,453,1042,1,1,2,"Combined"
Chak No.79/10-R,220030112,585,486,1071,,,,,,
"",,Chak No.79/10-R,220030114,37,22,59,,,,
38,"Govt BoysPrimary School40 /10-R",Chak No. 40/10-R,220030804,774,584,1358,2,1,3,"Combined"
"",,Chak No. 40/10-R,220030805,774,584,1358,,,,
39,"Govt BoysPrimary School40 /10-R",Chak No. 40/10-R,220030806,343,272,615,1,1,2,"Combined"
40,"Govt BoysPrimary School38 /10-R",Chak No. 38/10-R,220030807,548,496,1044,2,2,4,"Combined"
"",,Chak No. 38/10-R,220030809,548,496,1044,,,,
"",,Chak No. 38/10-R,220030808,340,280,620,,,,
41,"Govt BoysMiddle School 39/10-R",Chak No. 39/10-R,220030802,760,533,1293,2,1,3,"Combined"
Chak No. 39/10-R,220030803,760,533,1293,,,,,,
43,"Govt BoysMiddle School36 /10-R",Chak No.36/10-R,220030307,460,340,800,2,1,3,"Combined"
"",,Chak No.36/10-R,220030308,130,94,224,,,,
"",,Chak No.37/10-R,220030309,297,187,484,,,,
44,"Govt GirlsPrimary School35 /10-R",Chak No.35/10-R,220030305,510,350,860,1,1,2,"Combined"
"",,Chak No.35/10-R,220030306,96,46,142,,,,
45,"Govt BoysPrimary School22 /10-R   (1stPort)",Chak No.22/10-R,220030301,172,0,172,3,0,3,Male
Chak No.22/10-R,220030302,771,0,771,,,,,,
Chak No.22/10-R,220030303,771,0,771,,,,,,
Chak No.22/10-R,220030304,515,0,515,,,,,,
"",Port),Chak No.22/10-R,220030302,0,640,640,,,,
"",,Chak No.22/10-R,220030303,0,640,640,,,,
"",,Chak No.22/10-R,220030304,0,422,422,,,,
47,"Govt BoysMiddle School23 /10-R",Chak No.23/10-R,220030401,485,378,863,2,2,4,"Combined"
"",,Chak No.23/10-R,220030402,39,33,72,,,,
"",,Chak No.23/10-R,220030403,303,243,546,,,,
48,"Govt Girls HigherSecondary School23 /10-R",Chak No.23/10-R,220030404,437,342,779,2,2,4,"Combined"
Chak No.23/10-R,220030405,323,237,560,,,,,,
Chak No.23/10-R,220030406,216,154,370,,,,,,
"",,Chak No.25/10-R,220030412,638,542,1180,,,,
50,"Govt BoysPrimary School25-A /10-R",Chak No.25-A/10-R,220030409,769,553,1322,2,1,3,"Combined"
"",,Chak No.25-A/10-R,220030410,769,553,1322,,,,
51,"Govt GirlsPrimary School24 /10-R",Chak No.24/10-R,220030407,574,457,1031,2,2,4,"Combined"
"",,Chak No.24/10-R,220030408,392,295,687,,,,
52,"Govt BoysPrimary School21 /10-R",Chak No.21/10-R,220030413,486,395,881,1,1,2,"Combined"
53,"Govt BoysPrimary School26 /10-R",Chak No.26/10-R,220030701,244,185,429,2,1,3,"Combined"
Chak No.26/10-R,220030702,266,225,491,,,,,,
Chak No.26/10-R,220030704,170,152,322,,,,,,
55,"Govt Boys HighSchool 30 /10-R",Chak No.30/10-R,220030705,496,398,894,2,1,3,"Combined"
"",,Chak No.30/10-R,220030706,356,236,592,,,,
56,"Govt Girls HighSchool  30 /10-R",Chak No.30/10-R,220030707,258,245,503,1,1,2,"Combined"
"",,Chak No.30/10-R,220030708,253,179,432,,,,
57,"Govt Boys HighSchool 33 /10-R",Chak No.33/10-R,220030709,63,44,107,1,1,2,"Combined"
"",,Chak No.33/10-R,220030710,570,472,1042,,,,
58,"Govt GirlsMiddle School33 /10-R",Chak No.33/10-R,220030711,645,565,1210,2,1,3,"Combined"
Chak No.33/10-R,220030712,158,134,292,,,,,,
Chak No.34/10-R,220030713,363,274,637,,,,,,
"",,Chak No.34/10-R,220030715,262,247,509,,,,
60,"Govt Girls HighSchool  34 /10-R",Chak No.34/10-R,220030717,320,269,589,1,1,2,"Combined"
"",,Chak No.34/10-R,220030718,175,111,286,,,,
61,"Govt Girls HighSchool  34 /10-R",Chak No.34/10-R,220030716,577,483,1060,1,1,2,"Combined"
62,"Govt Boys HighSchool 70 /10-R",Chak No.70/10-R,220031001,242,197,439,1,1,2,"Combined"
"",,Chak No.70/10-R,220031002,254,194,448,,,,
63,"Govt Girls HighSchool  70 /10-R",Chak No.70/10-R,220031003,532,421,953,1,1,2,"Combined"
64,"Govt BoysMiddle School 67/10-R",Chak No.67/10-R,220031008,388,313,701,2,2,4,"Combined"
Chak No.67/10-R,220031009,611,480,1091,,,,,,
"",,Chak No.68/10-R,220031005,413,347,760,,,,
"",,Chak No.68/10-R,220031006,145,108,253,,,,
"",,Chak No.68/10-R,220031007,222,157,379,,,,
66,"Govt GirlsPrimary School67-A /10-R",Chak No.67-A/10-R,220030911,433,294,727,2,1,3,"Combined"
"",,Chak No.66/10-R,220040306,332,245,577,,,,
67,"Govt GirlsMiddle School41 /10-R",Chak No.41/10-R,220030901,187,139,326,1,1,2,"Combined"
Chak No.41/10-R,220030902,492,352,844,,,,,,
Chak No.41/10-R,220030903,299,212,511,,,,,,
Chak No.41/10-R,220030904,760,503,1263,,,,,,
69,"Govt BoysMiddle School42 /10-R",Chak No.42/10-R,220030906,328,215,543,1,1,2,"Combined"
"",,Chak No.42/10-R,220030907,308,199,507,,,,
70,"Govt Girls HighSchool  42 /10-R",Chak No.42/10-R,220030908,835,628,1463,2,1,3,"Combined"
"",,Chak No.42/10-R,220030909,835,628,1463,,,,
71,"Govt Girls HighSchool  42 /10-R",Chak No.42/10-R,220030910,399,251,650,1,1,2,"Combined"
72,"Govt Boys HighSchool 27 /10-R",Chak No.27/10-R,220030504,1443,0,1443,3,0,3,Male
73,"Govt Boys HighSchool 27 /10-R",Chak No.27/10-R,220030504,0,1182,1182,0,3,3,Female
Chak No.28/10-R,220030501,938,769,1707,,,,,,
Chak No.28/10-R,220030502,938,769,1707,,,,,,
75,"Govt BoysPrimary School29 /10-R",Chak No.29/10-R,220030506,999,769,1768,2,2,4,"Combined"
"",,Chak No.29/10-R,220030507,999,769,1768,,,,
"",,Chak No.29/10-R,220030505,999,769,1768,,,,
76,"Govt GirlsMiddle School31 /10-R",Chak No.31/10-R,220030602,308,211,519,2,1,3,"Combined"
"",,Chak No.31/10-R,220030603,494,325,819,,,,
77,"Govt BoysMiddle School32 /10-R",Chak No.32/10-R,220030601,500,408,908,1,1,2,"Combined"
78,"Govt.BoysMasjid PrimarySchool 61/10-R",Chak No.61/10-R,220040702,330,230,560,1,1,2,"Combined"
Chak No.61/10-R,220040703,329,261,590,,,,,,
Chak No.58/10-R,220040601,177,0,177,,,,,,
"",,Chak No.58/10-R,220040606,575,0,575,,,,
80,"Govt Boys HighSchool  58 /10-R(Primary Port)",Chak No.58/10-R,220040602,491,0,491,2,0,2,Male
"",,Chak No.60/10-R,220040605,416,0,416,,,,
81,"Govt Boys HighSchool 58/10-R(Midddle Port)",Chak No.58/10-R,220040601,0,106,106,0,3,3,Female
"",,Chak No.58/10-R,220040602,0,353,353,,,,
"",,Chak No.58/10-R,220040603,0,396,396,,,,
"",,Chak No.58/10-R,220040606,0,396,396,,,,
"",,Chak No.60/10-R,220040605,0,303,303,,,,
82,"Govt GirlsPrimary School59 /10-R",Chak No.59/10-R,220040604,745,523,1268,2,1,3,"Combined"
"",,Chak No.65/10-R,220040701,360,265,625,,,,
84,"Govt GirlsPrimary School46 /10-R",Chak No.46/10-R,220040101,661,418,1079,1,1,2,"Combined"
85,"Govt GirlsPrimary School46 /10-R",Chak No.46/10-R,220040102,489,395,884,1,1,2,"Combined"
86,"Govt BoysPrimary School47 /10-R",Chak No.47/10-R,220040103,491,309,800,2,1,3,"Combined"
"",,Chak No.47/10-R,220040104,638,353,991,,,,
87,"Govt BoysMiddle School62 /10-R",Chak No.62/10-R,220040105,720,532,1252,2,1,3,"Combined"
"",,Chak No.62/10-R,220040106,720,532,1252,,,,
88,"Govt GirlsPrimary School62 /10-R",Chak No.62/10-R,220040107,344,266,610,1,1,2,"Combined"
Chak No.44/10-R,220040304,208,153,361,,,,,,
90,"Govt Boys HighSchool 45 /10-R(New Building)",Chak No.45/10-R,220040301,811,687,1498,2,1,3,"Combined"
"",,Chak No.45/10-R,220040302,811,687,1498,,,,
91,"Govt GirlsPrimary School45 /10-R",Chak No.45/10-R,220040303,445,365,810,1,1,2,"Combined"
92,"Govt GirlsPrimary School64 /10-R",Chak No.64/10-R,220040306,760,613,1373,2,1,3,"Combined"
"",,Chak No.64/10-R,220040307,760,613,1373,,,,
"",,Chak No.64/10-R,220040309,133,80,213,,,,
93,"Union Counciloffice 43/10-R",Chak No.43/10-R,220040406,589,473,1062,1,1,2,"Combined"
94,"Govt BoysPrimary School42-A /10-R",Chak No.42-A/10-R,220040401,255,140,395,1,1,2,"Combined"
Chak No.42-A/10-R,220040402,293,202,495,,,,,,
"",,Chak No.42-A/10-R,220040404,331,215,546,,,,
"",,Chak No.42-A/10-R,220040405,329,229,558,,,,
96,"Govt BoysMiddel School74 /10-R",Chak No.74/10-R,220040201,409,344,753,2,1,3,"Combined"
"",,Chak No.74/10-R,220040202,422,292,714,,,,
97,"Govt BoysPrimary School73 /10-R",Chak No.73/10-R,220040503,322,217,539,1,1,2,"Combined"
98,"Govt GirlsPrimary School73 /10-R",Chak No.73/10-R,220040504,807,613,1420,2,1,3,"Combined"
"",,Chak No.73/10-R,220040505,807,613,1420,,,,
99,"Govt Girls HighSchool  94 /10-R",Chak No.94/10-R,220040501,457,341,798,1,1,2,"Combined"
100,"Govt BoysPrimary School94 /10-R",Chak No.94/10-R,220040502,611,477,1088,1,1,2,"Combined"
102,"Govt BoysMiddle School62 /15-L",Chak No.62/15L,222040101,666,541,1207,2,2,4,"Combined"
"",,Chak No.62/15L,222040102,167,136,303,,,,
"",,Chak No.62/15L,222040103,285,222,507,,,,
103,"Govt BoysPrimary School63/15-L",Chak No.63/15L,222040104,607,390,997,1,1,2,"Combined"
"",,Chak No.63/15L,222040105,607,390,997,,,,
104,"Govt GirlsMiddle School65/15-L",Chak No.65/15-L,220041103,917,724,1641,2,2,4,"Combined"
"",,Chak No.65/15-L,220041104,917,724,1641,,,,
105,"Govt BoysPrimary School66 /15-L",Chak No.66/15-L,220041101,768,496,1264,2,1,3,"Combined"
Chak No.66/15-L,220041102,768,496,1264,,,,,,
"",,Chak No.67/15L,222040203,441,329,770,,,,
"",,Chak No.67/15L,222040204,441,329,770,,,,
107,"Govt Boys HighSchool 67/15-L(Ist Portion)",Chak No.67/15L,222040201,724,505,1229,2,1,3,"Combined"
108,"Govt Boys HighSchool 67/15-L(Middle Port)",Chak No.67/15L,222040205,327,0,327,3,0,3,Male
Chak No.67/15L,222040206,327,0,327,,,,,,
Chak No.67/15L,222040207,265,0,265,,,,,,
Chak No.67/15L,222040208,324,0,324,,,,,,
Chak No.67/15L,222040209,324,0,324,,,,,,
Chak No.67/15L,222040210,236,0,236,,,,,,
"",,Chak No.67/15L,222040208,0,266,266,,,,
"",,Chak No.67/15L,222040209,0,266,266,,,,
"",,Chak No.67/15L,222040205,0,234,234,,,,
"",,Chak No.67/15L,222040206,0,217,217,,,,
"",,Chak No.67/15L,222040207,0,190,190,,,,
110,"Govt BoysMiddle School64/15-L",Chak No.64/15L,222040211,770,655,1425,2,1,3,"Combined"
"",,Chak No.64/15L,222040212,770,655,1425,,,,
111,"Govt BoysMiddle School61-A/15-L",Chak No.61-A/15L,222040213,456,405,861,1,1,2,"Combined"
Chak No.60/15L,222040214,406,281,687,,,,,,
"",,Chak No.60/15L,222040218,266,231,497,,,,
113,"Govt BoysPrimary School61/15-L",Chak No.61/15L,222040216,271,253,524,2,1,3,"Combined"
"",,Chak No.61/15L,222040217,547,489,1036,,,,
114,"Govt Boys HighSchool 70 15-L",Chak No.70/15-L,220041001,510,369,879,1,1,2,"Combined"
115,"Govt BoysPrimary School70/15-L",Chak No.70/15-L,220041002,454,318,772,1,1,2,"Combined"
116,"Govt BoysMiddle School76/15-L",Chak No.76/15-L,220041003,436,370,806,2,2,4,"Combined"
Chak No.76/15-L,220041004,329,254,583,,,,,,
Chak No.76/15-L,220041005,132,110,242,,,,,,
Chak No.77/15-L,220041006,354,204,558,,,,,,
118,"Govt GirlsPrimary School77 15-L",Chak No.77/15-L,220041007,580,409,989,1,1,2,"Combined"
"",,Chak No.77/15-L,220041008,580,409,989,,,,
119,"Govt BoysPrimary School68-69/15-L",Chak No.68-69/15-L,220041010,224,163,387,1,1,2,"Combined"
"",,Chak No.68-69/15-L,220041011,102,83,185,,,,
120,"Govt GirlsPrimary School68-69/15-L",Chak No.68-69/15-L,220041012,323,212,535,1,1,2,"Combined"
"",,Chak No.68-69/15-L,220041013,342,170,512,,,,
121,"Govt BoysPrimary School80/15-L",Chak No.80/15-L,220040901,235,161,396,1,1,2,"Combined"
Chak No.80/15-L,220040904,182,152,334,,,,,,
Chak No.80/15-L,220040902,455,321,776,,,,,,
123,"Govt Boys HighSchool 79 /15-L(High Portion)",Chak No.79/15-L,220040905,612,389,1001,1,1,2,"Combined"
124,"Govt Boys HighSchool 79 /15-L(Middle Portion)",Chak No.79/15-L,220040906,259,185,444,1,1,2,"Combined"
"",,Chak No.79/15-L,220040907,107,73,180,,,,
125,"Govt BoysMiddle School78 /15-L",Chak No.78/15-L,220040908,772,497,1269,2,1,3,"Combined"
"",,Chak No.78/15-L,220040909,772,497,1269,,,,
126,"Govt Girls HighSchool  78 /15-L",Chak No.78/15-L,220040910,577,393,970,1,1,2,"Combined"
"",,Chak No.78/15-L,220040911,577,393,970,,,,
127,"Govt BoysPrimary School82 /15-L",Chak No.82/15-L,220040806,917,679,1596,2,1,3,"Combined"
Chak No.82/15-L,220040807,917,679,1596,,,,,,
""
""
"",,Chak No.81/15-L,220040802,720,0,720,,,,
"",,Chak No.81/15-L,220040803,720,0,720,,,,
"",,Chak No.81/15-L,220040804,180,0,180,,,,
"",,Chak No.81/15-L,220040805,170,0,170,,,,
129,"Govt GirlsMiddle School81 /15-L",Chak No.81/15-L,220040801,0,299,299,0,3,3,Female
Chak No.81/15-L,220040802,0,460,460,,,,,,
Chak No.81/15-L,220040803,0,460,460,,,,,,
Chak No.81/15-L,220040804,0,126,126,,,,,,
Chak No.81/15-L,220040805,0,69,69,,,,,,
"",,Chak No.83/15L,222040706,835,515,835,,,,
"",,Chak No.83/15L,222040707,835,515,835,,,,
131,"Govt Boys HighSchool 84 /15-L",Chak No.84/15L,222040701,286,0,286,3,0,3,Male
Chak No.84/15L,222040702,561,0,561,,,,,,
Chak No.84/15L,222040703,217,0,217,,,,,,
Chak No.84/15L,222040704,154,0,154,,,,,,
Chak No.84/15L,222040701,0,225,225,,,,,,
Chak No.84/15L,222040702,0,477,477,,,,,,
Chak No.84/15L,222040703,0,176,176,,,,,,
133,"Govt BoysPrimary School85 /15-L",Chak No.85/15L,222040708,627,473,1100,2,1,3,"Combined"
"",,Chak No.85/15L,222040709,124,93,217,,,,
"",,Chak No.85/15L,222040710,168,113,281,,,,
134,"Govt BoysPrimary School86 /15-L",Chak No.86/15L,222040304,718,584,1302,2,1,3,"Combined"
"",,Chak No.86/15L,222040305,718,584,1302,,,,
135,"Govt GirlsMiddle School86 /15-L",Chak No.86/15L,222040306,400,290,690,1,1,2,"Combined"
136,"Govt BoysMiddle School87 /15-L",Chak No.87/15L,222040301,907,778,1685,2,2,4,"Combined"
"",,Chak No.87/15L,222040302,907,778,1685,,,,
137,"Govt GirlsMiddle School87 /15-L",Chak No.87/15L,222040303,364,283,647,1,1,2,"Combined"
"",,Chak No.88/15L,222040405,891,719,1610,,,,
139,"Govt GirlsPrimary School88 /15-L",Chak No.88/15L,222040406,362,258,620,1,1,2,"Combined"
140,"Govt GirlsMiddle School89 /15-L",Chak No.89/15L,222040401,960,844,1804,2,2,4,"Combined"
"",,Chak No.89/15L,222040402,960,844,1804,,,,
141,"Govt BoysMiddle School89 /15-L",Chak No.89/15L,222040403,360,264,624,1,1,2,"Combined"
142,"Govt BoysPrimary School74 /15-L(I.Part)",Chak No.74-B/15-L,220041306,119,118,237,1,1,2,"Combined"
Chak No.74-B/15-L,220041307,224,193,417,,,,,,
Chak No.74-B/15-L,220041308,185,129,314,,,,,,
Chak No.74-B/15-L,220041309,492,417,909,,,,,,
144,"Govt BoysPrimary School75 /15-L",Chak No.75-A/15-L,220041304,776,691,1467,2,1,3,"Combined"
"",,Chak No.75-A/15-L,220041305,776,691,1467,,,,
145,"Govt GirlsPrimary School75-/B  /15-L",Chak No.75-B/15-L,220041301,314,283,597,2,1,3,"Combined"
"",,Chak No.75-B/15-L,220041302,269,226,495,,,,
"",,Chak No.75-B/15-L,220041303,168,111,279,,,,
146,"Govt BoysPrimary School75 /15-L",Chak No.75/15-L,220041201,260,175,435,2,1,3,"Combined"
Chak No.75/15-L,220041202,258,170,428,,,,,,
Chak No.75/15-L,220041203,201,116,317,,,,,,
