82,,,Saeed Park Asif Street,185070302,,871,,871,Male,,,,
82 Total,,,,,,,1628,0,1628,4,0,4,
83,"Al-Meraj Grammer School near Bilal PetrolPump, Old G.T.Road, Shahdara Lahore. ()",,,Saeed Park Jinnah Street,185070303,,,677,677,0,3,3,Female
83,,,Saeed Park Asif Street,185070302,,,745,745,Female,,,,
83 Total,,,,,,,0,1422,1422,0,3,3,
84,"Al-Meraj Grammer School Near Bilal PetrolPump, Old GT Road, Shahdara Lahore. ()",,,"Saeed Park MaqbraRoad",185070301,,561,455,1016,2,2,4,Combined
84,,,"Saeed Park HussainStreet",185070305,,438,351,789,Combined,,,,
84 Total,,,,,,,999,806,1805,2,2,4,
85,"Directorate of Social Security 65 GT RoadShahdara Lahore ()",,,Chaman Colony,185070205,,754,624,1378,2,2,4,Combined
85,,,"Gulshan Hayat ParkNear Ravi Tool Plaza",185070401,,172,136,308,Combined,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
86,"Directorate of Social Security 65 GT RoadShahdara Lahore ()",,,"Chaman Colony Sui GasRoad",185070207,,236,125,361,3,2,5,Combined
86,,,"Gulshan Hayat ParkFarkh Abad",185070402,,827,571,1398,Combined,,,,
86 Total,,,,,,,1063,696,1759,3,2,5,
87,"Nafees Modle High School Gulshan Hayat ParkShadhara More, Lahore                  ()",,,Kamran park,185070403,,711,569,1280,2,2,4,Combined
87 Total,,,,,,,711,569,1280,2,2,4,
88,"Prince Model School, Malik Park, Shahdrah ()",,,Malik Park,185070105,,1303,,1303,2,0,2,Male
88 Total,,,,,,,1303,0,1303,2,0,2,
89,"Prince Model School, Malik Park, Shahdrah ()",,,Malik Park,185070107,,728,,728,2,0,2,Male
89 Total,,,,,,,728,0,728,2,0,2,
90,"Zahid Islamic Public High School, Lalaazar Colony,Malik Park, Shahdara ()",,,Malik Park,185070105,,,905,905,0,3,3,Female
90,,,Malik Park,185070107,,,631,631,Female,,,,
90 Total,,,,,,,0,1536,1536,0,3,3,
91,"Arif Model Public School, Lala Zar Colony ()",,,"Lala Zar Colony ShamasAbad",185070104,,1634,,1634,3,0,3,Male
91 Total,,,,,,,1634,0,1634,3,0,3,
92,"Arif Model Public School, Lala Zar Colony ()",,,"Lala Zar Colony ShamasAbad",185070106,,886,,886,3,0,3,Male
92 Total,,,,,,,886,0,886,3,0,3,
93,"Disposal Station, Stop No.25 Furkh Abad,Shahdara Lahore (Permanent) ()",,,"Lala Zar Colony ShamasAbad",185070104,,,1333,1333,0,3,3,Female
93 Total,,,,,,,0,1333,1333,0,3,3,
94,"Disposal Station, Stop No.25 Furkh Abad,Shahdara Lahore (Permanent) ()",,,"Lala Zar Colony ShamasAbad",185070106,,,574,574,0,1,1,Female
94 Total,,,,,,,0,574,574,0,1,1,
95,"CDG Boys Middle School, Tar Garh, Shahdara,Lahore ()",,,Tar Garh,185070102,,729,,729,4,0,4,Male
95,,,Satar Colony,185070101,,757,,757,Male,,,,
95 Total,,,,,,,1486,0,1486,4,0,4,
96,"Govt. Primary School, Tar Garh ()",,,"Ahsan park ShamasAbad",185070103,,557,396,953,1,1,2,Combined
96 Total,,,,,,,557,396,953,1,1,2,
97,"CDG Boys Middle School, Tar Garh, Shahdara,Lahore ()",,,Tar Garh,185070102,,,515,515,0,3,3,Female
97,,,Satar Colony,185070101,,,587,587,Female,,,,
97 Total,,,,,,,0,1102,1102,0,3,3,
98,"M.I.Wellup Girls Secondary School ChamanColony Near Shadara More, Lahore ()",,,Ahmad Park,185070201,,198,156,354,2,2,4,Combined
98,,,"Eid Gha Road MehboobPark",185070202,,446,322,768,Combined,,,,
98,,,Javed For Man Road,185070206,,176,114,290,Combined,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",99,"M.I.Wellup Girls Secondary School ChamanColony Near Shadara More, Lahore ()",,,Qayum Park,185070204,,608,,608,4,0,4,Male
"",99,,,Mehboob Park,185070203,,584,,584,Male,,,,
"",99,,,Mehboob Park,185070208,,367,,367,Male,,,,
"",99 Total,,,,,,,1559,0,1559,4,0,4,
"",100,"M.I.Wellup Girls Secondary School ChamanColony Near Shadara More, Lahore ()",,,Qayum Park,185070204,,,465,465,0,3,3,Female
"",100,,,Mehboob Park,185070203,,,449,449,Female,,,,
"",100,,,Mehboob Park,185070208,,,268,268,Female,,,,
"",100 Total,,,,,,,0,1182,1182,0,3,3,
"",101,"Akhwan ul Muslimin High School, Anayat Park,Lahore ()",,,Anayat Park,185060106,,1160,,1160,3,0,3,Male
"",101,,,Anayat Park,185060109,,162,,162,Male,,,,
"",101 Total,,,,,,,1322,0,1322,3,0,3,
"",102,"CDG Master Ghulam Muhammad Boys HighSchool, Chowk Khair Din, Jia Moosa, Lahore ()",,,Jia Moosa,185060105,,660,,660,2,0,2,Male
"",102 Total,,,,,,,660,0,660,2,0,2,
"",103,"City District Govt. Master Ghulam MuhammadHigh School Jia Musa Shahdara Lahore.(Permanent) ()",,,Anayat Park,185060106,,,782,782,0,4,4,Female
"",103,,,Anayat Park,185060109,,,271,271,Female,,,,
"",103,,,Jia Moosa,185060105,,,570,570,Female,,,,
"",103 Total,,,,,,,0,1623,1623,0,4,4,
"",104,"CDG Master Ghulam Muhammad Boys HighSchool, Chowk Khair Din, Jia Moosa, Lahore ()",,,Muslim Chowk,185060101,,660,536,1196,2,2,4,Combined
"",104,,,Muslim Chowk,185060107,,0,0,0,Combined,,,,
"",104 Total,,,,,,,660,536,1196,2,2,4,
"",105,"Office Bahbood-e-Abadi, Shahdara Lahore, TehsilOffice Ferozwala.  (Permanent) ()",,,Jinnah Park,185060102,,383,,383,4,0,4,Male
"",105,,,Rachna Town,185060103,,623,,623,Male,,,,
"",105,,,Rachna Town,185060108,,10,,10,Male,,,,
"",105,,,Gulshan Hayat Park,185060104,,708,,708,Male,,,,
"",105 Total,,,,,,,1724,0,1724,4,0,4,
"",106,"Office Bahbood-e-Abadi, Shahdara Lahore, TehsilOffice Ferozwala.  (Permanent) ()",,,Jinnah Park,185060102,,,345,345,0,3,3,Female
"",106,,,Rachna Town,185060103,,,493,493,Female,,,,
"",106,,,Rachna Town,185060108,,,12,12,Female,,,,
"",106,,,Gulshan Hayat Park,185060104,,,598,598,Female,,,,
"",106 Total,,,,,,,0,1448,1448,0,3,3,
"",107,"Akhwan ul Muslimin Girls School Fazlan WAli GAliJia Musa.  ()",,,Muslim Colony,185060301,,904,680,1584,2,2,4,Combined
"",107 Total,,,,,,,904,680,1584,2,2,4,
"",108,"CDG Girls High School Jia Moosa ShahdaraLahore ()",,,"Muslim Colony JiaMoosa",185060302,,582,,582,4,0,4,Male
"",108,,,Bohar Wala Chowk,185060305,,557,,557,Male,,,,
"",108,,,Purana Jia Moosa,185060307,,245,,245,Male,,,,
"",108,,,ilam Din Road,185060304,,360,,360,Male,,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
109,"CDG Girls High School Jia Moosa ShahdaraLahore ()",,,"Muslim Colony JiaMoosa",185060302,,,421,421,0,3,3,Female
109,,,Purana Jia Moosa,185060307,,,203,203,Female,,,,
109,,,ilam Din Road,185060304,,,290,290,Female,,,,
109,,,Bohar Wala Chowk,185060305,,,443,443,Female,,,,
109 Total,,,,,,,0,1357,1357,0,3,3,
110,"CDG Girls High School Jia Moosa ShahdaraLahore ()",,,Mohalla Qureshia,185060303,,562,454,1016,2,2,4,Combined
110,,,Mohalla Qureshia,185060308,,216,128,344,Combined,,,,
110 Total,,,,,,,778,582,1360,2,2,4,
111,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,"Mehmood Road Yousafpark",185060501,,1015,775,1790,2,2,4,Combined
111,,,"Mehmood Road Yousafpark",185060508,,0,0,0,Combined,,,,
111 Total,,,,,,,1015,775,1790,2,2,4,
112,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,Awais Block Yousaf Park,185060503,,777,,777,4,0,4,Male
112,,,Masjid Bilal Yousaf Park,185060505,,732,,732,Male,,,,
112 Total,,,,,,,1509,0,1509,4,0,4,
113,"Tahir Foundation School, St. No. 5,  Yousaf Park,Lahore ()",,,"Pracha Colony YousafPark",185060502,,504,,504,1,0,1,Male
113 Total,,,,,,,504,0,504,1,0,1,
114,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,"Pracha Colony YousafPark",185060502,,,416,416,0,4,4,Female
114,,,Awais Block Yousaf Park,185060503,,,593,593,Female,,,,
114,,,Masjid Bilal Yousaf Park,185060505,,,518,518,Female,,,,
114 Total,,,,,,,0,1527,1527,0,4,4,
115,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,Qasim Park,185060401,,436,,436,4,0,4,Male
115,,,Qasim Park,185060408,,192,,192,Male,,,,
115,,,"Mehmood Road Yousafpark",185060403,,1187,,1187,Male,,,,
115 Total,,,,,,,1815,0,1815,4,0,4,
116,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,Qasim Park,185060401,,,305,305,0,3,3,Female
116,,,Qasim Park,185060408,,,156,156,Female,,,,
116,,,"Mehmood Road Yousafpark",185060403,,,894,894,Female,,,,
116 Total,,,,,,,0,1355,1355,0,3,3,
117,"New Union Girls High School, Yousaf Park, NearBaba Sada Hussian Sheikhupura Road, ShahdaraLahore. ()",,,Yousaf Park Jalal park,185060404,,305,256,561,2,1,3,Combined
117,,,Yousaf Park Jalal park,185060409,,191,124,315,Combined,,,,
117,,,Yousaf Park Jalal park,185060410,,185,97,282,Combined,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",118,"Jinnah islamia High School Muhammad Ali Park,Pindi Das Road, Jia Musa, Shadara. ()",,,Arfat park,185060306,,355,,355,4,0,4,Male
"",118,,,Mohalla Arfat,185060204,,452,,452,Male,,,,
"",118,,,Muslim Colony,185060205,,297,,297,Male,,,,
"",118,,,"Arfat Colony / Pindi DasRoad",185060206,,560,,560,Male,,,,
"",118 Total,,,,,,,1664,0,1664,4,0,4,
"",119,"Jinnah islamia High School muhammad Ali Park,Pindi Das Road, Jia Musa, Shadara. ()",,,Arfat park,185060306,,,271,271,0,3,3,Female
"",119,,,Mohalla Arfat,185060204,,,320,320,Female,,,,
"",119,,,Muslim Colony,185060205,,,215,215,Female,,,,
"",119,,,"Arfat Colony / Pindi DasRoad",185060206,,,427,427,Female,,,,
"",119 Total,,,,,,,0,1233,1233,0,3,3,
"",120,"City District Govt. Boys High School BegumKotLahore (Permanent) ()",,,Begum Kot,185080501,,957,790,1747,2,2,4,Combined
"",120 Total,,,,,,,957,790,1747,2,2,4,
"",121,"City District Govt. Boys High School BegumKotLahore (Permanent) ()",,,"Hameed park / MohallaQureshia'n",185060203,,363,,363,4,0,4,Male
"",121,,,Mehar Pura,185080504,,579,,579,Male,,,,
"",121,,,Fazal Park,185080505,,431,,431,Male,,,,
"",121,,,Fazal Park,185080508,,99,,99,Male,,,,
"",121,,,Fazal Park,185080509,,341,,341,Male,,,,
"",121 Total,,,,,,,1813,0,1813,4,0,4,
"",122,"City District Govt. Boys High School BegumKotLahore (Permanent) ()",,,"Hameed park / MohallaQureshia'n",185060203,,,261,261,0,3,3,Female
"",122,,,Mehar Pura,185080504,,,462,462,Female,,,,
"",122,,,Fazal Park,185080505,,,347,347,Female,,,,
"",122,,,Fazal Park,185080508,,,61,61,Female,,,,
"",122,,,Fazal Park,185080509,,,234,234,Female,,,,
"",122 Total,,,,,,,0,1365,1365,0,3,3,
"",123,"Raza Public School Shoukat Colony near JamiaNaeem ul Quran, Shahdara Lahore  ()",,,Shoukat Colony B-Block,185080601,,480,,480,4,0,4,Male
"",123,,,Shoukat Colony,185080602,,1023,,1023,Male,,,,
"",123,,,Mohalla Qureshia,185080605,,143,,143,Male,,,,
"",123 Total,,,,,,,1646,0,1646,4,0,4,
"",124,"Al-Adnan Educational Complex, Soukat Colony,Near Barf Khana, Shahdara, Lahore ()",,,Shoukat Colony B-Block,185080601,,,385,385,0,3,3,Female
"",124,,,Shoukat Colony,185080602,,,759,759,Female,,,,
"",124,,,Mohalla Qureshia,185080605,,,96,96,Female,,,,
"",124 Total,,,,,,,0,1240,1240,0,3,3,
"",125,"CDG Boys High School Meraj Park, ShahdaraLahore.(Permanent) ()",,,"Fazal Park Barah DariRoad",185080503,,1300,,1300,3,0,3,Male
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14
136,"Mount Everest High School, Ghosia Steet No. 6,Yousaf Park, Shahdara, Lahore ()",,,Bashir Colony,185060504,,844,,844,3,0,3,Male
136,,,Bashir Colony,185060509,,383,,383,Male,,,,
136 Total,,,,,,,1227,0,1227,3,0,3,
137,"Mount Everest High School, Ghosia Steet No. 6,Yousaf Park, Shahdara, Lahore ()",,,Bashir Colony,185060504,,,539,539,0,2,2,Female
137,,,Bashir Colony,185060509,,,262,262,Female,,,,
137 Total,,,,,,,0,801,801,0,2,2,
138,"Govt. Primary School, Mian Feroze Park,Shahdrah, Lahore ()",,,Mian Feroz Park,185060207,,1197,,1197,3,0,3,Male
138,,,Mian Feroz Park,185060209,,7,,7,Male,,,,
138,,,Mian Feroz Park,185060210,,0,,0,Male,,,,
138,,,Mian Feroz Park,185060211,,0,,0,Male,,,,
138,,,Mian Feroz Park,185060212,,0,,0,Male,,,,
138 Total,,,,,,,1204,0,1204,3,0,3,
139,"IBM Public Model High School, Jia Musa, Lahore()",,,Mian Feroz Park,185060207,,,809,809,0,2,2,Female
139,,,Mian Feroz Park,185060209,,,3,3,Female,,,,
139,,,Mian Feroz Park,185060210,,,0,0,Female,,,,
139,,,Mian Feroz Park,185060211,,,0,0,Female,,,,
139,,,Mian Feroz Park,185060212,,,0,0,Female,,,,
139 Total,,,,,,,0,812,812,0,2,2,
140,"Al-Farooq High School, Javaid Park, Kala KhataiRoad, Shahara ()",,,"Kot MuhammadHussain Gali No.1,2",185050105,,486,372,858,2,2,4,Combined
140,,,"Kot MuhammadHussain",185050104,,666,525,1191,Combined,,,,
140 Total,,,,,,,1152,897,2049,2,2,4,
141,"Zikrya Foundation School Jameel Park ShahdaraLahore Lahore   ()",,,"Jameel Park PhatakNo.9",185050101,,920,,920,4,0,4,Male
141,,,"Jameel Park Gali No.4-12",185050102,,448,,448,Male,,,,
141,,,Jameel Park,185050103,,261,,261,Male,,,,
141 Total,,,,,,,1629,0,1629,4,0,4,
142,"Oriental School Near Chishti Dawakhana, KotMuhammad Hussain Shahdara Lahore Lahore. ()",,,"Jameel Park PhatakNo.9",185050101,,,633,633,0,3,3,Female
142,,,Jameel Park,185050103,,,214,214,Female,,,,
142,,,"Jameel Park Gali No.4-12",185050102,,,323,323,Female,,,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",143,"Standard Modle High School, Qaisar Town,Shahdara Lahore. ()",,,"Dera Hami Mansab NearMasjid Saghirah",185050504,,694,509,1203,2,2,4,Combined
"",143,,,"Dera Haji Mansab NearMasjid Saghirah",185050508,,7,0,7,Combined,,,,
"",143,,,"Dera Haji Mansab NearMasjid Saghirah",185050509,,0,0,0,Combined,,,,
"",143,,,"Tiba Qazi Da / DeraManzoor AhmadAdvocate",185050503,,219,166,385,Combined,,,,
"",143,,,"Tiba Qazi Da / DeraManzoor AhmadAdvocate",185050507,,29,3,32,Combined,,,,
"",143 Total,,,,,,,949,678,1627,2,2,4,
"",144,"Standard Modle High School, Qaisar Town,Shahdara Lahore. ()",,,Cha Awan Wala,185050505,,617,392,1009,2,2,4,Combined
"",144,,,L-Block Kasar Town,185050502,,302,258,560,Combined,,,,
"",144,,,L-Block Kasar Town,185050506,,128,76,204,Combined,,,,
"",144 Total,,,,,,,1047,726,1773,2,2,4,
"",145,"Govt. Girls Model Primary School, Bhutto Colony,Shahdara, Lahore ()",,,"Mohalla Tariq abadBhutto Colony",185050604,,523,,523,3,0,3,Male
"",145,,,"ilam Din Colony KasarTown",185050501,,650,,650,Male,,,,
"",145 Total,,,,,,,1173,0,1173,3,0,3,
"",146,"Mateen Fatima School, Bhatto Colony, Shahdrah()",,,Bhutto Colony Gali No.2,185050603,,682,551,1233,2,2,4,Combined
"",146 Total,,,,,,,682,551,1233,2,2,4,
"",147,"Govt. Girls Model Primary School, Bhutto Colony,Shahdara, Lahore ()",,,"Mohalla Tariq abadBhutto Colony",185050604,,,404,404,0,2,2,Female
"",147,,,"ilam Din Colony KasarTown",185050501,,,464,464,Female,,,,
"",147 Total,,,,,,,0,868,868,0,2,2,
"",148,"Govt. Primary School, Kot Ilam Din, TibbaShahdara, Lahore ()",,,Floor Mill Area,185050606,,323,239,562,2,2,4,Combined
"",148,,,Floor Mill Area,185050609,,79,36,115,Combined,,,,
"",148,,,Kot Haji Ilam Din,185050605,,655,480,1135,Combined,,,,
"",148 Total,,,,,,,1057,755,1812,2,2,4,
"",149,"Govt. Primary School Abbas Nagar ShahdaraLahore  ()",,,Abbas Nagar Janoobi,185050602,,965,735,1700,2,2,4,Combined
"",149,,,Abbas Nagar Shamali,185050608,,0,0,0,Combined,,,,
"",149 Total,,,,,,,965,735,1700,2,2,4,
"",150,"Govt. Primary School Abbas Nagar ShahdaraLahore  ()",,,Abbas Nagar Janoobi,185050601,,844,741,1585,2,2,4,Combined
"",150,,,Abbas Nagar Janoobi,185050607,,109,0,109,Combined,,,,
"",150 Total,,,,,,,953,741,1694,2,2,4,
"",151,"City District Govt. Boys High School ShahdhraTown Lahore. (Permanent) ()",,,Mohalla Kaky Zaian,185090102,,419,,419,3,0,3,Male
"",151,,,Mohalla Kaky Zaian,185090105,,183,,183,Male,,,,
"",151,,,Mohalla Kaky Zaian,185090106,,199,,199,Male,,,,
"",151,,,Ghalaran Road,185090202,,532,,532,Male,,,,
151 Total,,,,,,,1333,0,1333,3,0,3,,
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",152,"Sunrise Public High School,Jhalaran Road nearghoray Shah Chowk Shahdra Town Lahore  ()",,,Ghalaran Road,185090202,,,410,410,0,3,3,Female
"",152,,,Rajpoot Park,185090201,,,319,319,Female,,,,
"",152,,,Mohalla Kaky Zaian,185090102,,,339,339,Female,,,,
"",152,,,Mohalla Kaky Zaian,185090105,,,154,154,Female,,,,
"",152,,,Mohalla Kaky Zaian,185090106,,,135,135,Female,,,,
"",152 Total,,,,,,,0,1357,1357,0,3,3,
"",153,"City District Govt. Boys High School, ShahdaraTown, Lahore ()",,,Ghoray Shah,185090101,,640,,640,3,0,3,Male
"",153,,,Muhalla Jutta'n,185090103,,654,,654,Male,,,,
"",153 Total,,,,,,,1294,0,1294,3,0,3,
"",154,"City District Govt. Boys High School, ShahdaraTown, Lahore ()",,,Ghoray Shah,185090101,,,504,504,0,2,2,Female
"",154,,,Muhalla Jutta'n,185090103,,,432,432,Female,,,,
"",154 Total,,,,,,,0,936,936,0,2,2,
"",155,"Govt. Girls Higher Secendory School, Bund Road,Shahdra Town, Lahore. (Permanent) ()",,,Narowal Road,185090104,,439,268,707,1,1,2,Combined
"",155,,,Narowal Road,185090107,,1,4,5,Combined,,,,
"",155,,,Narowal Road,185090108,,6,21,27,Combined,,,,
"",155,,,Narowal Road,185090109,,20,15,35,Combined,,,,
"",155,,,Narowal Road,185090110,,30,17,47,Combined,,,,
"",155 Total,,,,,,,496,325,821,1,1,2,
"",156,"Govt. Girls Higher Secendory School, Bund Road,Shahdra Town, Lahore. (Permanent) ()",,,Aslam park,185090203,,1107,,1107,3,0,3,Male
"",156 Total,,,,,,,1107,0,1107,3,0,3,
"",157,"Govt. Girls Higher Secendory School, Bund Road,Shahdra Town, Lahore. (Permanent) ()",,,Aslam park,185090203,,,913,913,0,2,2,Female
"",157 Total,,,,,,,0,913,913,0,2,2,
"",158,"Al-Madrasa Boys High School & Girls HigherSecondary School, Naeem Park, Near Bus Stand,Shahdara Town, Lahore ()",,,Rajpoot Park,185090201,,431,,431,4,0,4,Male
"",158,,,"Mohalla Babu KagzanWala",185090204,,779,,779,Male,,,,
"",158,,,Guru Nanak Street,185090207,,636,,636,Male,,,,
"",158 Total,,,,,,,1846,0,1846,4,0,4,
"",159,"Al-Madrasa Boys High School & Girls HigherSecondary School, Naeem Park, Near Bus Stand,Shahdara Town, Lahore ()",,,Guru Nanak Street,185090207,,,412,412,0,2,2,Female
"",159,,,"Mohalla Babu KagzanWala",185090204,,,569,569,Female,,,,
"",159 Total,,,,,,,0,981,981,0,2,2,
"",160,"Al-Madrasa Boys High School & Girls HigherSecondary School, Naeem Park, Near Bus Stand,Shahdara Town, Lahore ()",,,Mohalla Kaky Zaian,185090205,,1105,,1105,3,0,3,Male
"",160 Total,,,,,,,1105,0,1105,3,0,3,
"",161,"Al-Madrasa Boys High School & Girls HigherSecondary School, Naeem Park, Near Bus Stand,Shahdara Town, Lahore ()",,,"Mohalla Kaky ZaianMohalla Tarlok Shah",185090206,,1080,,1080,3,0,3,Male
"",S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",Type,,
"",,,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,,
"",1,2,3,4,5,6,7,8,9,10,11,12,13,14
"",162,"Al-Madrasa Boys High School & Girls HigherSecondary School, Naeem Park, Near Bus Stand,Shahdara Town, Lahore ()",,,Mohalla Kaky Zaian,185090205,,,870,870,0,4,4,Female
"",162,,,"Mohalla Kaky ZaianMohalla Tarlok Shah",185090206,,,804,804,Female,,,,
"",162 Total,,,,,,,0,1674,1674,0,4,4,
"",163,"Govt. Primary School Jada Band Road Lahore(Permanent) ()",,,Changar Mohalla,185090302,,1366,,1366,4,0,4,Male
"",163,,,Changar Mohalla,185090306,,0,,0,Male,,,,
"",163,,,Changar Mohalla,185090307,,268,,268,Male,,,,
"",163,,,Changar Mohalla,185090308,,0,,0,Male,,,,
"",163 Total,,,,,,,1634,0,1634,4,0,4,
"",164,"Govt. Primary School Jada Band Road Lahore(Permanent) ()",,,"Gujjar Mohalla BandRoad",185090301,,548,,548,3,0,3,Male
"",164,,,"Gujjar Mohalla BandRoad",185090305,,185,,185,Male,,,,
"",164,,,Buchar Kahana,185090303,,346,,346,Male,,,,
"",164 Total,,,,,,,1079,0,1079,3,0,3,
"",165,"Govt. Primary School Jada Band Road Lahore(Permanent) ()",,,"Gujjar Mohalla BandRoad",185090301,,,408,408,0,4,4,Female
"",165,,,"Gujjar Mohalla BandRoad",185090305,,,97,97,Female,,,,
"",165,,,Changar Mohalla,185090302,,,442,442,Female,,,,
"",165,,,Changar Mohalla,185090306,,,343,343,Female,,,,
"",165,,,Changar Mohalla,185090307,,,267,267,Female,,,,
"",165,,,Changar Mohalla,185090308,,,0,0,Female,,,,
"",165,,,Buchar Kahana,185090303,,,239,239,Female,,,,
"",165 Total,,,,,,,0,1796,1796,0,4,4,
"",166,"Islamia Educational Grammar School, MainBazar, Dhair Shah, Shadara. ()",,,Baba Ludhay Shah,185090304,,760,551,1311,2,2,4,Combined
