S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
175,,50/GD,208041103,-,-,-,424,0,424,,,
175 Total,,,,,,,1368,0,1368,,,
176,"Girls    Primary School  50/GD(Female)",50/GD,208041101,-,-,-,0,353,353,0,2,2
176,,50/GD,208041102,-,-,-,0,253,253,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
176 Total,,,,,,,0,908,908,,,
177,"Govt. Elementary  School  51/GD(Male)",51/GD,208041104,-,-,-,502,0,502,2,0,2
177,,51/GD,208041105,-,-,-,356,0,356,,,
177 Total,,,,,,,858,0,858,,,
178,"Govt. Elementary  School  51/GD(Female)",51/GD,208041104,-,-,-,0,394,394,0,2,2
178,,51/GD,208041105,-,-,-,0,289,289,,,
178 Total,,,,,,,0,683,683,,,
179,"Girls  Middle School 65/GD Yaray Wala(Male)",65/GD,208041106,-,-,-,193,0,193,2,0,2
179,,65/GD,208041107,-,-,-,165,0,165,,,
179,,65/GD,208041108,-,-,-,436,0,436,,,
179,,65/GD,208041109,-,-,-,233,0,233,,,
179 Total,,,,,,,1027,0,1027,,,
180,"Girls  Middle School 65/GD Yaray Wala(Female)",65/GD,208041106,-,-,-,0,175,175,0,2,2
180,,65/GD,208041107,-,-,-,0,132,132,,,
180,,65/GD,208041108,-,-,-,0,332,332,,,
180,,65/GD,208041109,-,-,-,0,195,195,,,
180 Total,,,,,,,0,834,834,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
181,,48/GD,208041005,-,-,-,323,192,515,,,
181,,48/GD,208041012,-,-,-,372,279,651,,,
181 Total,,,,,,,981,646,1627,,,
182,"Girls   Primary School  48/GD(Combined)",48/GD,208041006,-,-,-,290,222,512,2,1,3
182,,48/GD,208041007,-,-,-,267,200,467,,,
182,,48/GD,208041008,-,-,-,242,176,418,,,
182 Total,,,,,,,799,598,1397,,,
183,"Girls   Primary School  48/GD(Combined)",48/GD,208041009,-,-,-,209,128,337,1,1,2
183,,48/GD,208041010,-,-,-,169,116,285,,,
183,,48/GD,208041011,-,-,-,152,99,251,,,
183 Total,,,,,,,530,343,873,,,
184,"Boys  Elementary School  46/ GD(Male)",46/ GD,208041002,-,-,-,593,0,593,2,0,2
184,,46/ GD,208041003,-,-,-,457,0,457,,,
184 Total,,,,,,,1050,0,1050,,,
185,"Boys Elementary School  46/ GD(Female)",46/ GD,208041002,-,-,-,0,464,464,0,2,2
185,,46/ GD,208041003,-,-,-,0,296,296,,,
185 Total,,,,,,,0,760,760,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
186,,65-A/GD,208040204,-,-,-,0,362,362,,,
186,,65-A/GD,208040205,-,-,-,0,245,245,,,
186,,65-A/GD,208040206,-,-,-,0,377,377,,,
186 Total,,,,,,,0,1363,1363,,,
187,"Boys  High School65-A/GD East(Male)",65-A/GD,208040203,-,-,-,487,0,487,4,0,4
187,,65-A/GD,208040204,-,-,-,455,0,455,,,
187,,65-A/GD,208040205,-,-,-,271,0,271,,,
187,,65-A/GD,208040206,-,-,-,514,0,514,,,
187 Total,,,,,,,1727,0,1727,,,
188,Girls  High School   65-A/GDWest   (Male),65-A/GD,208040207,-,-,-,492,0,492,3,0,3
188,,65-A/GD,208040208,-,-,-,367,0,367,,,
188,,65-A/GD,208040209,-,-,-,609,0,609,,,
188 Total,,,,,,,1468,0,1468,,,
189,Girls  High School  65-A/GDWest   (Female),65-A/GD,208040207,-,-,-,0,335,335,0,2,2
189,,65-A/GD,208040208,-,-,-,0,264,264,,,
189,,65-A/GD,208040209,-,-,-,0,414,414,,,
189 Total,,,,,,,0,1013,1013,,,
190,"Boys  Primary School  49/GD(Combined)",49/GD,208040201,-,-,-,500,373,873,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
190,,chak  ameer singh,208041001,-,-,-,23,12,35,,,
190 Total,,,,,,,1017,732,1749,,,
191,Boys Middle  School   66/4 -R  (Male),66/4 -R,208030401,-,-,-,227,0,227,3,0,3
191,,66/4 -R,208030402,-,-,-,778,0,778,,,
191,,66/4 -R,208030403,-,-,-,577,0,577,,,
191 Total,,,,,,,1582,0,1582,,,
192,"Boys Middle  School66/4 -R(Female)",66/4 -R,208030401,-,-,-,0,198,198,0,3,3
192,,66/4 -R,208030402,-,-,-,0,622,622,,,
192,,66/4 -R,208030403,-,-,-,0,387,387,,,
192 Total,,,,,,,0,1207,1207,,,
193,"Girls  High  School67/4 -R   (Combined)",67/4 -R,208030404,-,-,-,550,330,880,1,1,2
193 Total,,,,,,,550,330,880,,,
194,"Girls  High  School67/4 -R   (Combined)",67/4 -R,208030405,-,-,-,417,214,631,2,1,3
194,,67/4 -R,208030406,-,-,-,271,158,429,,,
194 Total,,,,,,,688,372,1060,,,
195,"Girls  Primary School67/4 -R    Abadi Ghulam Rasool (Combined)",67/4 -R,208030407,-,-,-,402,211,613,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
196,"Govt.Girls Elementary School68/4 -R    (Male)",68/4 -R,208040601,-,-,-,818,0,818,3,0,3
196,,68/4 -R,208040602,-,-,-,669,0,669,,,
196 Total,,,,,,,1487,0,1487,,,
197,"Govt.Girls Elementary School68/4 -R    (Female)",68/4 -R,208040601,-,-,-,0,413,413,0,2,2
197,,68/4 -R,208040602,-,-,-,0,438,438,,,
197 Total,,,,,,,0,851,851,,,
198,"Boys  Primary School69/4 -R   (Combined)",69/4 -R,208040603,-,-,-,378,281,659,2,2,4
198,,69/4 -R,208040604,-,-,-,660,435,1095,,,
198 Total,,,,,,,1038,716,1754,,,
199,"Basic Health  Center69/4 -R    (Combined)",69/4 -R,208040605,-,-,-,269,201,470,1,1,2
199,,69/4 -R,208040606,-,-,-,213,145,358,,,
199 Total,,,,,,,482,346,828,,,
200,"Govt. Higher Secondary  School  Noor Shah(Male)",Noor Shah,208041304,-,-,-,227,0,227,3,0,3
200,,Noor Shah,208041305,-,-,-,81,0,81,,,
200,,Noor Shah,208041306,-,-,-,155,0,155,,,
200,,Noor Shah,208041307,-,-,-,207,0,207,,,
200,,Noor Shah,208041308,-,-,-,462,0,462,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
201,Govt. Higher Secondary  School  Noor Shah  (Male),chak Noorshah,208041303,-,-,-,51,0,51,2,0,2
201,,Noor Shah,208041309,-,-,-,163,0,163,,,
201,,Noor Shah,208041310,-,-,-,132,0,132,,,
201,,chak Noorshah,208041311,-,-,-,100,0,100,,,
201,,chak Noorshah,208041312,-,-,-,630,0,630,,,
201 Total,,,,,,,1076,0,1076,,,
202,Girls Higher Secondary  School  Noor Shah  (Female),chak Noorshah,208041303,-,-,-,0,22,22,0,2,2
202,,Noor Shah,208041309,-,-,-,0,131,131,,,
202,,Noor Shah,208041310,-,-,-,0,97,97,,,
202,,chak Noorshah,208041311,-,-,-,0,82,82,,,
202,,chak Noorshah,208041312,-,-,-,0,448,448,,,
202 Total,,,,,,,0,780,780,,,
203,"Girls Higher Secondary  School  Noor Shah(Female)",Noor Shah,208041304,-,-,-,0,187,187,0,2,2
203,,Noor Shah,208041305,-,-,-,0,65,65,,,
203,,Noor Shah,208041306,-,-,-,0,124,124,,,
203,,Noor Shah,208041307,-,-,-,0,174,174,,,
203,,Noor Shah,208041308,-,-,-,0,321,321,,,
203 Total,,,,,,,0,871,871,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
204,,Noorshah,208041314,-,-,-,221,0,221,,,
204,,Noorshah,208041315,-,-,-,283,0,283,,,
204,,Noorshah,208041316,-,-,-,272,0,272,,,
204 Total,,,,,,,997,0,997,,,
205,"Govt. Higher Secondary SchoolNoor Shah      (Male)",Noorshah,208041317,-,-,-,338,0,338,2,0,2
205,,Noorshah,208041318,-,-,-,243,0,243,,,
205,,Noorshah,208041319,-,-,-,136,0,136,,,
205 Total,,,,,,,717,0,717,,,
206,Govt. Higher Secodary School  Noorshah   (Female),Noorshah,208041313,-,-,-,0,130,130,0,3,3
206,,Noorshah,208041314,-,-,-,0,165,165,,,
206,,Noorshah,208041315,-,-,-,0,228,228,,,
206,,Noorshah,208041316,-,-,-,0,209,209,,,
206,,Noorshah,208041317,-,-,-,0,235,235,,,
206,,Noorshah,208041318,-,-,-,0,180,180,,,
206,,Noorshah,208041319,-,-,-,0,102,102,,,
206 Total,,,,,,,0,1249,1249,,,
207,"Girls  Primary SchoolArazi Yaqoob Shah(Combined)","Arazi roshaShahani",208040801,-,-,-,209,107,316,2,1,3
207,,Arazi Yaqoob Shah,208040803,-,-,-,502,467,969,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
207 Total,,,,,,,832,667,1499,,,
208,"Boys  Primary SchoolChah Samanday wala(Combined)","Chah Samandaywala",208040802,-,-,-,306,210,516,1,1,2
208,,Thatha mank,208041302,-,-,-,182,94,276,,,
208 Total,,,,,,,488,304,792,,,
209,"Girls  Primary SchoolToot wala (Combined)",Toot wala,208040804,-,-,-,388,229,617,2,2,4
209,,Toot wala,208040805,-,-,-,257,209,466,,,
209,,Toot wala,208040806,-,-,-,435,284,719,,,
209 Total,,,,,,,1080,722,1802,,,
210,"Girls  Primary Schoolshahamand Boluch(Combined)",shahamand Boluch,208040701,-,-,-,527,381,908,1,1,2
210 Total,,,,,,,527,381,908,,,
211,Govt. Boys High School Karam Baloch (Combined),Karam Baloch,208040901,-,-,-,282,221,503,1,1,2
211 Total,,,,,,,282,221,503,,,
212,"Boys Primary SchoolDad Boluch (Combined)",Dad Boluch,208041205,-,-,-,563,436,999,2,1,3
212,,Dad Boluch,208041206,-,-,-,195,98,293,,,
212 Total,,,,,,,758,534,1292,,,
213,"Girls  Primary SchoolKaryal (Combined)",Kryal,208040703,-,-,-,794,638,1432,2,1,3
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
214,"Boys  Primary SchoolMiran  Shah(Combined)",Miran  Shah,208041201,-,-,-,426,309,735,1,1,2
214,,Mullan Hamza,208041202,-,-,-,87,60,147,,,
214,,Hazara mohtam,208041203,-,-,-,25,12,37,,,
214,,Killi,208041204,-,-,-,51,34,85,,,
214 Total,,,,,,,589,415,1004,,,
215,"Boys  High  SchoolThatha Bahadar singh(Male)",Tibbi Jai  singh,208040902,-,-,-,706,0,706,3,0,3
215,,Tibbi Jai  singh,208040903,-,-,-,411,0,411,,,
215,,Tibbi Jai  singh,208040904,-,-,-,322,0,322,,,
215 Total,,,,,,,1439,0,1439,,,
216,"Boys  High  SchoolThatha Bahadar singh (Female)",Tibbi Jai  singh,208040902,-,-,-,0,443,443,0,2,2
216,,Tibbi Jai  singh,208040903,-,-,-,0,311,311,,,
216,,Tibbi Jai  singh,208040904,-,-,-,0,203,203,,,
216 Total,,,,,,,0,957,957,,,
217,BHU Tibbi Jai Singh (Combined),Tibbi Jai singh,208040905,-,-,-,291,193,484,1,1,2
217,,Tibbi Jai singh,208040906,-,-,-,299,206,505,,,
217 Total,,,,,,,590,399,989,,,
218,"Boys  Primary SchoolTibbi Jay singh(Combined)",Tibbi Jai singh,208040907,-,-,-,414,283,697,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
218 Total,,,,,,,669,463,1132,,,
219,"Girls  Primary SchoolLonganwali (Combined)",Longanwali,208040702,-,-,-,418,314,732,1,1,2
219 Total,,,,,,,418,314,732,,,
220,"Boys  Elementary School65/5-L  (Male)",65/5-L,208020804,-,-,-,534,0,534,2,0,2
220,,65/5-L,208020805,-,-,-,605,0,605,,,
220 Total,,,,,,,1139,0,1139,,,
221,"Boys Elementary School65/5-L     II    (Male)",65/5-L,208020806,-,-,-,767,0,767,2,0,2
221,,65/5-L,208020807,-,-,-,326,0,326,,,
221 Total,,,,,,,1093,0,1093,,,
222,"Govt.Girls Community Model Elementary  School65/5 L (Female)",65/5-L,208020804,-,-,-,0,380,380,0,2,2
222,,65/5-L,208020805,-,-,-,0,462,462,,,
222 Total,,,,,,,0,842,842,,,
223,"Govt.Girls Community Model Elementary  School65/5 L (Female)",65/5-L,208020806,-,-,-,0,631,631,0,2,2
223,,65/5-L,208020807,-,-,-,0,219,219,,,
223 Total,,,,,,,0,850,850,,,
224,"Boys  Primary School85/5 -L   (Male)",85/5 -L,208020808,-,-,-,391,0,391,2,0,2
224,,85/5 -L,208020809,-,-,-,525,0,525,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
225,"Boys  Primary School85/5 -L   (Female)",85/5 -L,208020808,-,-,-,0,295,295,0,2,2
225,,85/5 -L,208020809,-,-,-,0,436,436,,,
225 Total,,,,,,,0,731,731,,,
226,"Boys  Primary School85/5 -L   (Combined)",85/5 -L,208020810,-,-,-,241,184,425,1,1,2
226,,85/5 -L,208020811,-,-,-,422,290,712,,,
226 Total,,,,,,,663,474,1137,,,
227,"Boys  High School  64/5 -L(Male)",64/5 -L,208020901,-,-,-,52,0,52,3,0,3
227,,64/5 -L,208020902,-,-,-,507,0,507,,,
227,,64/5 -L,208020903,-,-,-,574,0,574,,,
227,,64/5 -L,208020904,-,-,-,154,0,154,,,
227 Total,,,,,,,1287,0,1287,,,
228,"Girls   High School64/5 -L(Female)",64/5 -L,208020901,-,-,-,0,33,33,0,2,2
228,,64/5 -L,208020902,-,-,-,0,443,443,,,
228,,64/5 -L,208020903,-,-,-,0,425,425,,,
228,,64/5 -L,208020904,-,-,-,0,130,130,,,
228 Total,,,,,,,0,1031,1031,,,
229,"Govt.Girls Elementary  School63/5 -L  (Combined)",63/5 -L,208020803,-,-,-,592,484,1076,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
230,"Govt.Girls Elementary  School63/5 -L  (Combined)",63/5 -L,208020801,-,-,-,389,290,679,2,1,3
230,,63/5 -L,208020802,-,-,-,315,248,563,,,
230 Total,,,,,,,704,538,1242,,,
231,"Govt. Boys High School 64/5-LYousafwala(Combined)",84/5 -L,208020905,-,-,-,243,151,394,1,1,2
231,,84/5 -L,208020906,-,-,-,315,223,538,,,
231 Total,,,,,,,558,374,932,,,
232,"Boys  Primary School84/5 -L   (Male)",84/5 -L,208020907,-,-,-,176,0,176,3,0,3
232,,84/5 -L,208020908,-,-,-,360,0,360,,,
232,,84/5 -L,208020909,-,-,-,307,0,307,,,
232,,84/5 -L,208020910,-,-,-,469,0,469,,,
232 Total,,,,,,,1312,0,1312,,,
233,"Girls Primary School84/5 -L   (Female)",84/5 -L,208020907,-,-,-,0,142,142,0,2,2
233,,84/5 -L,208020908,-,-,-,0,263,263,,,
233,,84/5 -L,208020909,-,-,-,0,238,238,,,
233,,84/5 -L,208020910,-,-,-,0,390,390,,,
233 Total,,,,,,,0,1033,1033,,,
234,"Boys  Primary School70/5 -L   (Combined)",70/5 -L,208030801,-,-,-,676,488,1164,1,1,2
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
235,"Boys  Primary School69/5 -L    (Combined)",69/5 -L,208030705,-,-,-,382,246,628,1,1,2
235 Total,,,,,,,382,246,628,,,
236,"Boys  Primary School71/5 -L  Pakka khoh  (Combined)",71/5 -L,208030802,-,-,-,180,118,298,2,1,3
236,,71/5 -L,208030803,-,-,-,389,273,662,,,
236,,71/5 -L,208030804,-,-,-,189,139,328,,,
236 Total,,,,,,,758,530,1288,,,
237,"Girls  Elementary   School66/5 -L(Combined)",66/5 -L,208030701,-,-,-,396,336,732,1,1,2
237,,66/5 -L,208030702,-,-,-,243,223,466,,,
237 Total,,,,,,,639,559,1198,,,
238,"Govt.  Primary School67/5 -L   Khem khot(Combined)",67/5 -L,208030703,-,-,-,424,318,742,2,1,3
238,,67/5 -L,208030706,-,-,-,488,356,844,,,
238 Total,,,,,,,912,674,1586,,,
239,"Govt.Girls  Primary School68/5 -L   Mallu di Jhok(Combined)",68/5 -L,208030704,-,-,-,380,313,693,1,1,2
239,,68/5 -L,208030707,-,-,-,339,297,636,,,
239 Total,,,,,,,719,610,1329,,,
240,"Boys  Primary School72/5 -L    (Male)",72/5 -L,208030805,-,-,-,137,0,137,3,0,3
240,,72/5 -L,208030806,-,-,-,400,0,400,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
240,,72/5 -L,208030808,-,-,-,386,0,386,,,
240 Total,,,,,,,1337,0,1337,,,
241,"Boys  Primary School72/5 -L   (Female)",72/5 -L,208030805,-,-,-,0,75,75,0,2,2
241,,72/5 -L,208030806,-,-,-,0,273,273,,,
241,,72/5 -L,208030807,-,-,-,0,280,280,,,
241,,72/5 -L,208030808,-,-,-,0,257,257,,,
241 Total,,,,,,,0,885,885,,,
242,"Boys  High School 58/5 -L(Male)",58/5 -L,208031106,-,-,-,328,0,328,3,0,3
242,,58/5 -L,208031107,-,-,-,260,0,260,,,
242,,58/5 -L,208031108,-,-,-,154,0,154,,,
242,,58/5 -L,208031109,-,-,-,272,0,272,,,
242,,58/5 -L,208031110,-,-,-,488,0,488,,,
242 Total,,,,,,,1502,0,1502,,,
243,"Boys  High School 58/5 -L(Female)",58/5 -L,208031106,-,-,-,0,275,275,0,2,2
243,,58/5 -L,208031107,-,-,-,0,190,190,,,
243,,58/5 -L,208031108,-,-,-,0,106,106,,,
243,,58/5 -L,208031109,-,-,-,0,257,257,,,
243,,58/5 -L,208031110,-,-,-,0,361,361,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
244,"Boys  Primary School57/5 -L(Bombay (Male)",57/5 -L,208031201,-,-,-,394,0,394,2,0,2
244,,57/5 -L,208031202,-,-,-,580,0,580,,,
244,,57/5 -L,208031207,-,-,-,333,0,333,,,
244 Total,,,,,,,1307,0,1307,,,
245,"Boys  Primary School57/5 -L Bombay(Female)",57/5 -L,208031201,-,-,-,0,236,236,0,2,2
245,,57/5 -L,208031202,-,-,-,0,324,324,,,
245,,57/5 -L,208031207,-,-,-,0,196,196,,,
245 Total,,,,,,,0,756,756,,,
246,"Boys  Primary School51/5 -L(Combined)",51/5 -L,208031102,-,-,-,472,258,730,2,1,3
246,,51/5 -L,208031104,-,-,-,320,189,509,,,
246 Total,,,,,,,792,447,1239,,,
247,"Girls  Primary School51/5 -L(Combined)",51/5 -L,208031101,-,-,-,195,99,294,2,1,3
247,,51/5 -L,208031103,-,-,-,295,190,485,,,
247,,51/5 -L,208031105,-,-,-,219,156,375,,,
247 Total,,,,,,,709,445,1154,,,
248,"Boys  High School   60/5 -L(Male)",60/5 -L,208030905,-,-,-,165,0,165,3,0,3
248,,60/5 -L,208030906,-,-,-,496,0,496,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
248,,60/5 -L,208030911,-,-,-,216,0,216,,,
248 Total,,,,,,,1496,0,1496,,,
249,"Boys  High School   60/5 -L(Male)",60/5 -L,208030908,-,-,-,267,0,267,2,0,2
249,,60/5 -L,208030909,-,-,-,607,0,607,,,
249,,60/5 -L,208030910,-,-,-,189,0,189,,,
249 Total,,,,,,,1063,0,1063,,,
250,"Govt. High  School  60/5 -L(Female)",60/5 -L,208030905,-,-,-,0,118,118,0,2,2
250,,60/5 -L,208030906,-,-,-,0,365,365,,,
250,,60/5 -L,208030907,-,-,-,0,542,542,,,
250,,60/5 -L,208030911,-,-,-,0,140,140,,,
250 Total,,,,,,,0,1165,1165,,,
251,"Boys  High School  60/5 -L(Female)",60/5 -L,208030908,-,-,-,0,192,192,0,2,2
251,,60/5 -L,208030909,-,-,-,0,488,488,,,
251,,60/5 -L,208030910,-,-,-,0,153,153,,,
251 Total,,,,,,,0,833,833,,,
252,"Boys  Primary School62/5 -L   (Male)",62/5 -L,208031203,-,-,-,433,0,433,3,0,3
252,,62/5 -L,208031204,-,-,-,615,0,615,,,
252,,62/5 -L,208031205,-,-,-,312,0,312,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
252 Total,,,,,,,1589,0,1589,,,
253,"Girls  Middle  School62/5 -L  (Female)",62/5 -L,208031203,-,-,-,0,311,311,0,3,3
253,,62/5 -L,208031204,-,-,-,0,494,494,,,
253,,62/5 -L,208031205,-,-,-,0,253,253,,,
253,,62/5 -L,208031206,-,-,-,0,165,165,,,
253 Total,,,,,,,0,1223,1223,,,
254,"Boys  Middle  School61/5 -L   (Combined)",61/5 -L,208030901,-,-,-,449,394,843,2,2,4
254,,61/5 -L,208030902,-,-,-,472,346,818,,,
254 Total,,,,,,,921,740,1661,,,
255,"Boys  Middle  School61/5 -L   (Combined)",61/5 -L,208030903,-,-,-,357,291,648,1,1,2
255,,61/5 -L,208030904,-,-,-,7,3,10,,,
255,,61/5 -L,208030912,-,-,-,212,143,355,,,
255 Total,,,,,,,576,437,1013,,,
256,"Boys  Primary School59/5 -L   (Combined)",59/5 -L,208031003,-,-,-,419,319,738,2,1,3
256,,59/5 -L,208031004,-,-,-,257,150,407,,,
256,,59/5 -L,208031005,-,-,-,183,126,309,,,
256 Total,,,,,,,859,595,1454,,,
S.No.,No. and Name of Polling Station,"In case of ruralarea","In case of urbanarea","S.No. of voters on theelectoral roll in caseelectoral area isbifurcated","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",,
"",,"Name ofElectoral Area",Block Code,"Name of ElectoralArea",Block Code,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13
257,,49/5 -L,208031002,-,-,-,577,0,577,,,
257 Total,,,,,,,902,0,902,,,
258,"Boys  Primary School49/5 -L   (Female)",49/5 -L,208031001,-,-,-,0,260,260,0,2,2
258,,49/5 -L,208031002,-,-,-,0,476,476,,,
258 Total,,,,,,,0,736,736,,,
259,"Govt Girls Elementary School53/5 -L   (Male)",53/5 -L,208031302,-,-,-,197,0,197,3,0,3
259,,53/5 -L,208031303,-,-,-,264,0,264,,,
259,,53/5 -L,208031304,-,-,-,198,0,198,,,
259,,53/5 -L,208031305,-,-,-,378,0,378,,,
259,,53/5 -L,208031306,-,-,-,252,0,252,,,
259 Total,,,,,,,1289,0,1289,,,
260,Govt Girls Elementary School   53/5 -L   (Male),53/5 -L,208031307,-,-,-,105,0,105,2,0,2
260,,53/5 -L,208031308,-,-,-,557,0,557,,,
260,,53/5 -L,208031325,-,-,-,148,0,148,,,
260 Total,,,,,,,810,0,810,,,
261,Basic Health Unit 53/5-L(Male),53/5 -L,208031311,-,-,-,439,0,439,2,0,2
261,,53/5 -L,208031313,-,-,-,158,0,158,,,
261,,53/5 -L,208031328,-,-,-,231,0,231,,,
