ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
LIST OF POLLING STATION FOR A CONSTITUENCY,,,,,,,,,,,,
"",,,,,,,,,,,,
Election to the    *National Assembly,,,,,,,,,,,,
Provincial Assembly of the Punjab,,,,,,,,,,,,
No. and name of constituency      PP-46-NWL-I,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"",,Baghor-Khurd,257030802,,,,249,,249,,,
"",,Tara-pur,257030803,,,,311,,311,,,
"",,Bhoia-Khurd,257030807,,,,130,,130,,,
"",,Total:-,,,,,1112,,1112,2,0,2
98,98-Govt.Girls P/S Tara-Pur (Female) (P),Pind-Bholian,257030801,,,,,232,232,,,
"",,Baghor-Khurd,257030802,,,,,206,206,,,
"",,Tara-pur,257030803,,,,,227,227,,,
"",,Bhoia-Khurd,257030807,,,,,81,81,,,
"",,Total:-,,,,,,746,746,0,2,2
99,"99-Govt.Girls P/S Pind-Burhumnah.(Male) (P)",Fatha-Ghar.,257030804,,,,312,,312,,,
"",,Bhagwan-pur,257030805,,,,406,,406,,,
"",,Pind-Barhamanan,257030806,,,,494,,494,,,
"",,Total:-,,,,,1212,,1212,2,0,2
100,"100-Govt.Girls P/S Pind-Burhumnah.(Female) (P)",Fatha-Ghar.,257030804,,,,,207,207,,,
"",,Bhagwan-pur,257030805,,,,,261,261,,,
"",,Pind-Barhamanan,257030806,,,,,363,363,,,
"",,Total:-,,,,,,831,831,0,2,2
101,"101-Govt. Boys E/S Barri Minhasan.(Combined) (P)",Barri Minhasan,257030901,,,,897,665,1562,,,
"",,Barri Minhasan,257030902,,,,132,100,232,,,
"",,Total:-,,,,,1029,765,1794,2,2,4
102,"102-Govt.Girls P/S Hamral. (Combined)(P)",Hamral.,257030903,,,,851,630,1481,,,
"",,Total:-,,,,,851,630,1481,2,1,3
103,103-Govt.P/S Lagwal. (Combined) (P),Jhumian Minhasan,257030906,,,,245,170,415,,,
"",,Lagwal.,184031001,,,,860,672,1532,,,
"",,Total:-,,,,,1105,842,1947,2,2,4
104,104-Govt.Girls P/S Jarpal. (Male) (P),Jarpal,257031003,,,,758,,758,,,
"",,Jarpal,257031004,,,,475,,475,,,
"",,Total:-,,,,,1233,,1233,3,0,3
105,105-Govt.Girls P/S Jarpal. (Female) (P),Jarpal,257031103,,,,,626,626,,,
"",,Jarpal,257031104,,,,,359,359,,,
"",,Total:-,,,,,,985,985,0,2,2
106,"106-Govt.Girls H/S Chak -Doula.(Combined) (P)",Chak-Doula,257031101,,,,435,305,740,,,
"",,Lessor-Manjhla,257031905,,,,502,335,837,,,
"",,Lessor-Manjhla,257031906,,,,6,3,9,,,
"",,Total:-,,,,,943,643,1586,2,1,3
107,"107-Govt.Girls P/S Badwal. (Combined)(P)",Badwal,257031103,,,,649,398,1047,,,
"",,Mahlwan,257031104,,,,342,256,598,,,
"",,Total:-,,,,,991,654,1645,2,1,3
108,"108-Govt. Girls M/S Pargwal (Combined)(P)",Pargwal,257031201,,,,455,353,808,,,
"",,Jajial,257031202,,,,275,169,444,,,
"",,Jajial,257031203,,,,161,119,280,,,
"",,Total:-,,,,,891,641,1532,2,1,3
109,109-Govt.H/S Bara Pind.(Male),Bara Pind,257031204,,,,1217,,1217,,,
"",,Total:-,,,,,1217,,1217,3,,3
110,110-Govt H/S Bara-Pind(Female),Bara Pind,257031204,,,,,1020,1020,,,
"",,,,,,,,,0,,,
"",,Total:-,,,,,,1020,1020,,2,2
111,"111-Govt.Girls P/S Sadwal (Combined)(P)",Barkhanian,257031301,,,,376,301,677,,,
"",,Sadwal.,257031304,,,,557,457,1014,,,
"",,Total:-,,,,,933,758,1691,2,2,4
112,112-Govt. Boys H/S Luhara. (Male) (P),Oppian,257030106,,,,418,,418,,,
"",,Nahar,257031302,,,,240,,240,,,
"",,Khali,257031305,,,,255,,255,,,
"",,Luhara,257031306,,,,457,,457,,,
"",,Total:-,,,,,1370,,1370,3,0,3
"",,Nahar,257031302,,,,,153,153,,,
"",,Khali,257031305,,,,,183,183,,,
"",,Luhara,257031306,,,,,378,378,,,
"",,Total:-,,,,,,1096,1096,0,2,2
114,"114-Govt.Girls P/S Saincha. (Combined)(P)",Saincha,257031307,,,,524,327,851,,,
"",,Checharwali,257031912,,,,172,145,317,,,
"",,Checharwali,257031913,,,,5,3,8,,,
"",,Total:-,,,,,701,475,1176,2,1,3
115,115-Govt. Girls PS Talan (Combined),Talan,257031303,,,,471,356,827,,,
"",,Total:-,,,,,471,356,827,1,1,2
116,"116-Govt.Girls P/S Dungharay-Khurd.(Combined) (P)",Dungharay-Khurd,257031401,,,,249,178,427,,,
"",,Dungharay-Kalan.,257031402,,,,328,260,588,,,
"",,Total:-,,,,,577,438,1015,1,1,2
117,"117-Govt. Boys P/S Pindi-Porbeian(Combined) (P)",Pindi-Porbeian,257031403,,,,965,704,1669,,,
"",,,,,,,,,0,,,
"",,Total:-,,,,,965,704,1669,2,1,3
118,"118-Govt.Boys P/S Parerra. (Combined)(P)",Parerra.,257031404,,,,483,351,834,,,
"",,Parerra.,257031405,,,,100,87,187,,,
"",,Total:-,,,,,583,438,1021,1,1,2
119,"119-Govt.Girls P/S Mohlan (Combined)(P)",Mohlan,257031406,,,,49,33,82,,,
"",,Mohlan,257031407,,,,501,347,848,,,
"",,Mohlan,257031408,,,,445,344,789,,,
"",,Total:-,,,,,995,724,1719,2,2,4
120,"120-Govt.Kashmir Public High Schoolbhara-Kalan. (Combined) (P)",Bhoya-kalan,257031501,,,,312,213,525,,,
"",,Bhoi,257031502,,,,234,133,367,,,
"",,Bhara-Kalan,257031503,,,,404,255,659,,,
"",,Total:-,,,,,950,601,1551,2,1,3
121,"121-Govt.Girls P/S Dandot (Combined)(P)",Bhara-Khurd.,257031504,,,,274,176,450,,,
"",,Jangochak,257031505,,,,370,266,636,,,
"",,Dandot,257031506,,,,357,253,610,,,
"",,Gular BC,257031507,,,,0,0,0,,,
"",,Total:-,,,,,1001,695,1696,2,1,3
122,"122-Govt.Girls P/S Kokial-Khurd(Combined) (P)",Kokial-Khurd,257031601,,,,377,294,671,,,
"",,Kokial-Kalan,257031603,,,,276,197,473,,,
"",,Kokial-Majala,257031604,,,,171,141,312,,,
"",,Total:-,,,,,824,632,1456,2,1,3
123,"123-Govt.Girls P/S Bharri. (Combined)(P)",Bharri.,257031701,,,,552,298,850,,,
"",,,,,,,,,,,,
"",,Total:-,,,,,552,298,850,2,1,3
124,"124-Govt. Boys PS ThakarDawarah(Combined)",Thakar Dawarah.,257031702,,,,413,239,652,,,
"",,Jhumnian Gujran,257031704,,,,373,273,646,,,
"",,Total:-,,,,,786,512,1298,2,1,3
"",,Bheer,257031802,,,,156,78,234,,,
"",,Total:-,,,,,511,364,875,1,1,2
126,126-Govt.P/S Nagwal. (Combined) (P),Bery Khurd,257031803,,,,270,167,437,,,
"",,Nagwal.,257031805,,,,503,360,863,,,
"",,Total:-,,,,,773,527,1300,2,1,3
127,"127-Govt.Boys P/S Niki Gujran.(Combined) (P)",Tarangra.,257031804,,,,237,110,347,,,
"",,Niki Gujran,257031806,,,,371,213,584,,,
"",,Total:-,,,,,608,323,931,1,1,2
128,128-Govt.Girls P/S Karyal (Combined) (P),Jaindar,257031901,,,,517,305,822,,,
"",,Raghala,257031902,,,,216,155,371,,,
"",,Karyal,257031903,,,,382,261,643,,,
"",,Total:-,,,,,1115,721,1836,2,2,4
129,"129-Govt.Boys H/S Lasser -Kalan. (Male)(P)",Lasser-Khurd,257031904,,,,239,,239,,,
"",,Lasser-Kalan,257031907,,,,213,,213,,,
"",,Lasser-Kalan,257031909,,,,233,,233,,,
"",,Lasser-Kalan,257031910,,,,346,,346,,,
"",,Lasser-Kalan,257031911,,,,197,,197,,,
"",,Lasser-Kalan,257031908,,,,20,,20,,,
"",,Total:-,,,,,1248,,1248,3,0,3
130,"130-Govt.Boys H/S Lasser -Kalan.(Female) (P)",Lasser-Khurd,257031904,,,,,180,180,,,
"",,Lasser-Kalan,257031907,,,,,166,166,,,
"",,Lasser-Kalan,257031909,,,,,180,,,,
"",,Lasser-Kalan,257031910,,,,,239,,,,
"",,Lasser-Kalan,257031911,,,,,199,,,,
"",,Lasser-Kalan,257031908,,,,,11,11,,,
"",,Total:-,,,,,,975,975,0,2,2
131,"131-Govt.Girls P/S Saleh-pur (Combined)(P)",Saleh-Pur,257032001,,,,359,222,581,,,
"",,Dala-Gujjran.,257032005,,,,315,232,547,,,
"",,Total:-,,,,,674,454,1128,1,1,2
132,"132-Govt.Girls P/S Banhal. (Combined)(P)",Jalal-pur,257032002,,,,366,269,635,,,
"",,Banhal,257032007,,,,452,324,776,,,
"",,Total:-,,,,,818,593,1411,2,1,3
133,"133-Govt.Girls P/S Sahluwali (Combined)(P)",Sahluwali,257032003,,,,334,239,573,,,
"",,Jaghal,257032004,,,,411,239,650,,,
"",,Dura-Pur,257032006,,,,65,37,102,,,
"",,Total:-,,,,,810,515,1325,2,1,3
134,"134-Govt.Girls P/S  Aziz-pur (Combined)(P)",Aziz-pur,257032008,,,,634,409,1043,,,
"",,Total:-,,,,,634,409,1043,1,1,2
135,"135-Govt.Boys P/S Chakre (Combined)(P)",Chakre,257032009,,,,553,459,1012,,,
"",,Chakre,257032010,,,,371,271,642,,,
"",,Total:-,,,,,924,730,1654,2,2,4
136,"136-Govt.Boys P/S Shaikhpur / Chahar(Combined) (P)",Shaikhpur-veran.,257032101,,,,306,206,512,,,
"",,Shaikhpur-Abad,257032102,,,,295,216,511,,,
"",,Total:-,,,,,950,715,1665,2,2,4
137,137-Govt.H/S Rambari. (Combined) (P),Rambari,257032103,,,,717,556,1273,,,
"",,Total:-,,,,,717,556,1273,1,1,2
138,"138-Govt. Girls P/S Chanda. (Combined)(P)",Chanda.,257032104,,,,743,597,1340,,,
"",,,,,,,,,0,,,
"",,Total:-,,,,,743,597,1340,2,1,3
139,139-Govt.P/S Barwal (Combined) (P),Chahar.,257032106,,,,261,216,477,,,
"",,Barwal.,257032107,,,,538,335,873,,,
"",,Total:-,,,,,799,551,1350,2,1,3
140,"140-Govt.Girls H/S Satheyala (Combined)(P)",Satheyala.,257032201,,,,407,286,693,,,
"",,Satheyala,257032202,,,,639,435,1074,,,
"",,Total:-,,,,,1046,721,1767,2,2,4
141,"141-Govt.Boys H/S Satheyala(Combined) (P)",Satheyala,257032203,,,,505,364,869,,,
"",,Dhalora,257032208,,,,205,131,336,,,
"",,Total:-,,,,,710,495,1205,1,1,2
142,142-Govt P/S Dhala (Combined) (P),Dhali,257032204,,,,277,199,476,,,
"",,Dhala,257032205,,,,380,270,650,,,
"",,Total:-,,,,,657,469,1126,1,1,2
143,"143-Govt.Girls P/S Bhagwal. (Combined)(P)",Bhagwal,257032207,,,,368,297,665,,,
"",,Kotli Jeewa,257032206,,,,95,60,155,,,
"",,Total:-,,,,,463,357,820,1,1,2
144,144-Govt.H/S Jabaal (Combined) (P),Jabal.,257032209,,,,552,407,959,,,
"",,Jabal.,257032210,,,,296,228,524,,,
"",,Total:-,,,,,848,635,1483,1,1,2
"",,,,,,,,,,,,
No. and name of constituency      PP-47-NWL-II,,,,,,,,,,,,
"Sr.No","No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters on theelectoral roll",Number of voters assigned,Number of polling booths.,,,,,,
"",,"Name of ElectoralArea","Censusblock code",Name of Electoral Area,"Censusblock code",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"1-Govt. Sitellite Public H/SShakargrh(Male)(P)",,,Muhallah Abcari,184080101,,997,,997,,,
"",,,,Muhallah Iqbal Pura,184080103,,231,,231,,,
"",,,,,Total:-,,1228,,1228,3,,3
2,"2-Govt. Sitellite Public H/SShakargrh(Female)(P)",,,Muhallah Abcari,184080101,,,770,770,,,
"",,,,Muhallah Iqbal Pura,184080103,,,194,194,,,
"",,,,,Total:-,,,964,964,0,2,2
3,"3-Govt. Sitellite Public H/SShakargrh(Combined)(P)",,,Jail Area Gumtala  Chowk,184080102,,202,169,371,,,
"",,,,Jail Area Gumtala  Chowk,184080108,,458,382,840,,,
"",,,,Sabzi Mandi Area,184080104,,242,194,436,,,
"",,,,,Total:-,,902,745,1647,2,2,4
"",,,,,,,,,,,,
"",,,,,,,,,,,,
4,4-Boys P/S Din Pur Kalan (Male)(P),,,Din Pur Kalan,184080105,,787,,787,,,
"",,,,Din Pur Kalan,184080109,,701,,701,,,
"",,,,,Total:-,,1488,,1488,3,,3
"",,,,Din Pur Kalan,184080109,,,415,415,,,
"",,,,,Total:-,,,1170,1170,,3,3
6,"6-Govt. Girls Elementary School DinpurKalan(Combined)(P)",,,Din Pur Khourd,184080106,,532,442,974,,,
"",,,,Booj Pur Gowan,184080107,,401,299,700,,,
"",,,,,Total:-,,933,741,1674,2,2,4
7,"7-Govt. Boys P/S ShakargarhNo.1(Male)(P)",,,Muhallah Araian,184080201,,515,,515,,,
"",,,,Club Garh,184080202,,824,,824,,,
"",,,,,Total:-,,1339,,1339,3,,3
8,"8-Govt. Girls Elementry School,Shakargarh(Female)(P)",,,Muhallah Araian,184080201,,,390,390,,,
"",,,,Club Garh,184080202,,,609,609,,,
"",,,,,Total:-,,,999,999,0,2,2
9,9-Govt. Boys H/S Shakargarh (Male)(P),,,Muhallah Ansarian,184080203,,585,,585,,,
"",,,,Muhallah Ansarian,184080206,,436,,436,,,
"",,,,,Total:-,,1021,,1021,2,,2
10,"10-Govt. Boys H/S Shakargarh(Female)(P)",,,Muhallah Anssarian,184080203,,,430,430,,,
"",,,,Muhallah Anssarian,184080206,,,364,364,,,
"",,,,,Total:-,,,794,794,,2,2
"",,,,,,,,,,,,
11,11-Govt. Boys H/S Shakargarh (Male)(P),,,Muhallah Akbri,184080204,,561,,561,,,
"",,,,Imam Bargah Area,184080205,,547,,547,,,
"",,,,,Total:-,,1108,,1108,3,,3
12,"12-Govt. Boys H/S Shakargarh(Female)(P)",,,Muhallah Akbri,184080204,,,431,431,,,
"",,,,Imam Bargah Area,184080205,,,428,428,,,
"",,,,,Total:-,,,859,859,0,2,2
13,"13-Govt. Boys I.T. H/S Shakaragrh(Male)(P)",,,Muhallah Riaz Pura,184080301,,1067,,1067,,,
"",,,,Muhallah Riaz Pura,184080307,,136,,136,,,
"",,,,Muhallah Riaz Pura,184080308,,135,,135,,,
"",,,,,Total:-,,1338,,1338,3,,3
14,"14-Govt. Boys I.T. H/S Shakargarh(Female)(P)",,,Muhallah Riaz Pura,184080301,,,1044,1044,,,
"",,,,Muhallah Riaz Pura,184080307,,,66,66,,,
"",,,,Muhallah Riaz Pura,184080308,,,80,80,,,
"",,,,,Total:-,,,1190,1190,0,3,3
"",,,,,,,,,,,,
15,"15-Govt. Boys I.T. H/S Shakargarh(Combined)(P)",,,Muhallah Peoples Colony,184080302,,619,489,1108,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,619,489,1108,2,1,3
"",,,,,,,,,,,,
"",,,,,,,,,,,,
16,"16-Govt. Girls P/S Muslim Town(Male)(P)",,,"Muhallah Lal Pura MuslimTown",184080303,,286,,286,,,
"",,,,"Muhallah Lal Pura MuslimTown",184080309,,653,,653,,,
"",,,,,Total:-,,1736,,1736,4,,4
17,17-Govt. P/S Afzal Pura (Female)(P),,,"Muhallah Lal Pura MuslimTown",184080303,,,329,329,,,
"",,,,"Muhallah Lal Pura MuslimTown",184080309,,,505,505,,,
"",,,,"Muhallah Lal Pura MuslimTown",184080310,,,604,604,,,
"",,,,,Total:-,,,1438,1438,0,3,3
"",,,,,,,,,,,,
18,"18-Govt. Girls P/S Afzal Pura(Combined)(P)",,,Muhallah Nawaz Abad,184080304,,562,496,1058,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,562,496,1058,1,1,2
19,,,,Muhallah Rasheed Pura,184080305,,863,,863,,,
"",,,,Muhallah Rasheed Pura,184080311,,388,,388,,,
"",,,,Muhallah Rasheed Pura,184080312,,321,,321,,,
"",,,,,Total:-,,1572,,1572,3,,3
20,"20-Govt. Boys Degree CollegeShakargarh B.Se.Block. (Female)(P)",,,Muhallah Rasheed Pura,184080305,,,643,643,,,
"",,,,Muhallah Rasheed Pura,184080311,,,302,302,,,
"",,,,Muhallah Rasheed Pura,184080312,,,271,271,,,
"",,,,,Total:-,,,1216,1216,0,2,2
21,"21-Govt. Boys Degree college HostilShakargarh (Male)(P)",,,"Muhallah Rasheed PuraQabrastan Area",184080306,,665,,665,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",184080313,,290,,290,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",184080314,,960,,960,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",184080315,,199,,199,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",184080316,,187,,187,,,
"",,,,,Total:-,,2301,,2301,4,,4
22,"22-Govt. Boys Degree college HostilShakargarh (Female)(P)",,,"Muhallah Rasheed PuraQabrastan Area",184080306,,,559,559,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",184080313,,,197,197,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",184080314,,,764,764,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",184080315,,,181,181,,,
"",,,,"Muhallah Rasheed PuraQabrastan Area",184080316,,,172,172,,,
"",,,,,Total:-,,,1873,1873,0,4,4
23,23-Govt. Girls H/S Shakargarh (Male)(P),,,Muhallah Malkan,184080401,,698,,698,,,
"",,,,Muhallah Malkan,184080407,,658,,658,,,
"",,,,,Total:-,,1356,,1356,3,,3
24,"24-Govt. Girls H/S Shakargarh(Female)(P)",,,Muhallah Malkan,184080401,,,602,602,,,
"",,,,Muhallah Malkan,184080407,,,564,564,,,
"",,,,,Total:-,,,1166,1166,0,3,3
25,"25-Govt. Girls H/S Shakargarh(Combined)(P)",,,Main Qabristan Road,184080406,,474,377,851,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,474,377,851,1,1,2
"",,,,,,,,,,,,
26,"26-Govt. Boys M.M. H/S shakargarh(Male)(P)",,,Civil Hospital Area,184080402,,863,,863,,,
"",,,,Civil Hospital Area,184080408,,146,,146,,,
"",,,,,Total:-,,1009,,1009,2,,2
27,"27-Govt. Boys M.M. H/S shakargarh(Female)(P)",,,Civil Hospital Area,184080402,,,719,719,,,
"",,,,Civil Hospital Area,184080408,,,98,98,,,
"",,,,,Total:-,,,817,817,0,2,2
"",,,,,,,,,,,,
28,"28-Govt. Boys M.M. H/S shakargarh(Combined)(P)",,,Ranger Head quarter Area,184080404,,426,307,733,,,
"",,,,Ranger Head quarter Area,184080413,,494,368,862,,,
"",,,,,Total:-,,920,675,1595,2,2,4
29,"29-Govt. Girls P/S Shakargarh No.2 NearFlour Mill( Combined) (P)",,,Manzoor Colony,184080405,,634,448,1082,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,634,448,1082,2,1,3
"",,,,,,,,,,,,
"",,,,,,,,,,,,
30,"30-Govt. Boys M.M. H/S shakargarh(Male)(P)",,,Muhallah Munir Abad,184080403,,557,,557,,,
"",,,,Muhallah Munir Abad,184080409,,385,,385,,,
"",,,,Muhallah Munir Abad,184080410,,259,,259,,,
"",,,,Muhallah Munir Abad,184080411,,343,,343,,,
"",,,,Muhallah Munir Abad,184080412,,618,,618,,,
"",,,,,Total:-,,2162,,2162,4,,4
31,"31-Govt. Boys M.M. H/S Shakargarh(Female)(P)",,,Muhallah Munir Abad,184080403,,,440,440,,,
"",,,,Muhallah Munir Abad,184080409,,,310,310,,,
"",,,,Muhallah Munir Abad,184080410,,,258,258,,,
"",,,,Muhallah Munir Abad,184080411,,,310,310,,,
"",,,,Muhallah Munir Abad,184080412,,,518,518,,,
"",,,,,Total:-,,,1836,1836,0,4,4
32,"32-Govt.  Degree College for womenShakargarh (Combined)(P)",,,Muhallah Saraj Ganj,184080501,,408,343,751,,,
"",,,,Muhallah Bijli Garh,184080502,,397,325,722,,,
"",,,,,Total:-,,805,668,1473,2,2,4
33,33-Govt. P/S Rasheed Pur (Male)(P),,,Muhallah Rasheed Pura,184080503,,183,,183,,,
"",,,,Railway Line (West Part),184080504,,137,,137,,,
"",,,,Muhallah Faisal Town,184080505,,635,,635,,,
"",,,,,Total:-,,955,,955,2,,2
34,34-Govt. Girls P/S Fasil town (Female)(P),,,Muhallah Rasheed Pura,184080503,,,144,144,,,
"",,,,Railway Line (West Part),184080504,,,115,115,,,
"",,,,Muhallah Faisal Town,184080505,,,449,449,,,
"",,,,,Total:-,,,708,708,0,2,2
35,"35-Govt.Girls P/S Chamrial. (Combined)(P)",Chamrial,184021201,,,,428,349,777,,,
"",,Maghral,184021207,,,,468,344,812,,,
"",,Gogal pur,184021106,,,,172,129,301,,,
"",,Total:-,,,,,1560,1205,2765,2,1,3
36,"36-Govt.Girls P/S Patal Kalan.(Combined) (P)",Patal-Kalan,184021206,,,,468,344,812,,,
"",,Dadhwal,184021101,,,,292,253,545,,,
"",,Patal-Khurd,184021105,,,,33,18,51,,,
"",,Total:-,,,,,793,615,1408,2,1,3
37,37-GPS SanyareKalan. (Combined) (P),Saniari-Burjwali,184021205,,,,327,228,555,,,
"",,Sanyare-Kalan,184021203,,,,75,36,111,,,
"",,Sanyare-Khurd,184021202,,,,121,86,207,,,
"",,Total:-,,,,,523,350,873,2,1,3
38,"38-Govt.Girls M/S Chakra. (Combined)(P)",Ghor Gal,184021102,,,,236,164,400,,,
"",,Chakra,184021103,,,,246,137,383,,,
"",,Ghadu-Pindi,184021104,,,,136,100,236,,,
"",,Total:-,,,,,618,401,1019,1,1,2
39,39-GG E/S Sarjal. (Combined) (P),Sarjal,184020101,,,,557,480,1037,,,
"",,Halan.,184020106,,,,116,86,202,,,
"",,Total:-,,,,,673,566,1239,1,1,2
40,"40-Govt.Boys P/S Taira-Kalan(Combined) (P)",Taira-Katlan,184020102,,,,313,206,519,,,
"",,Harar-Khurd,184020107,,,,418,283,701,,,
"",,Harar-Kalan,184020108,,,,196,111,307,,,
"",,Total:-,,,,,927,600,1527,2,1,3
41,"41-Govt.Girls P/S Kohlian. (Combined)(P)",Sial,184020103,,,,145,95,240,,,
"",,Samsial.,184020104,,,,158,99,257,,,
"",,Kohlian,184020105,,,,316,223,539,,,
"",,Gajgal,184020109,,,,195,124,319,,,
"",,Total:-,,,,,814,541,1355,2,1,3
42,"42-Govt.Girls P/S Tuhana. (Combined)(P)",Amral.,184020201,,,,251,153,404,,,
"",,Wadha,184020203,,,,5,3,8,,,
"",,Tuhana,184020804,,,,470,322,792,,,
"",,Thakar-pur. BC,184020206,,,,1,2,3,,,
"",,Total:-,,,,,727,480,1207,1,1,2
43,43-Govt.Girls P/S Purne. (Combined) (P),Munan.,184020202,,,,333,251,584,,,
"",,Porne,184020205,,,,426,281,707,,,
"",,Total:-,,,,,759,532,1291,2,1,3
44,"44-Govt.Boys PrimarySchool Chattar.(Combined) (P)",Tughal-pur,184020204,,,,290,225,515,,,
"",,Chattar.,184020801,,,,470,325,795,,,
"",,Lambrial BC,184020802,,,,0,0,0,,,
"",,Sable,184020803,,,,189,130,319,,,
"",,Total:-,,,,,949,680,1629,2,1,3
45,"45-Govt. Boys P/S Bhupal-Pur Manjla(Combined) (P)",Bupal-Chakla.,184020401,,,,278,146,424,,,
"",,Bupal-Khurd,184020402,,,,91,69,160,,,
"",,Bupalpur-Manjla,184020403,,,,374,231,605,,,
46,"46-Govt.Girls P/S Chak Tela. (Combined)(P)",Aghur,184020404,,,,157,107,264,,,
"",,Chak Teela,184020405,,,,303,171,474,,,
"",,Chak Teela,184020406,,,,76,35,111,,,
"",,Chak -Kora.,184020705,,,,261,173,434,,,
"",,Total:-,,,,,797,486,1283,2,1,3
47,"47-Govt. Boys H/S Chatrana.(Combined)(P)",Chatrana,184010101,,,,709,469,1178,,,
"",,Chatrana,184010102,,,,382,255,637,,,
"",,,Total:-,,,,1091,724,1815,2,2,4
48,48-G. H/S .Maryal. (Combined)(P),Ghalour,184010103,,,,279,222,501,,,
"",,Maryal,184010202,,,,379,356,735,,,
"",,Fathey Pur Khurd.,1840202034,,,,,,,,,
"",,,Total:-,,,,658,578,1236,2,1,3
49,49-GGP/S.Pindi Manna. (Combined)(P),Fateh pur Kalan.,184010104,,,,341,245,586,,,
"",,Pindi Manna.,184010201,,,,672,453,1125,,,
"",,,Total:-,,,,1013,698,1711,2,2,4
50,"50-Govt Boys P/S .Chachara.(Combined)(P)",Japou lota.,184010203,,,,479,352,831,,,
"",,Chachara,184010204,,,,333,206,539,,,
"",,,Total:-,,,,812,558,1370,2,1,3
51,"51-Govt. Boys High School .Lakhnoor(Combined)",Lakhnoor.,184010205,,,,620,494,1114,,,
"",,,Total:-,,,,620,494,1114,1,1,2
52,52-Govt. Boys E/S Bajar. (Combined)(P),Bajar.,184010301,,,,465,340,805,,,
"",,Bajar.,184010302,,,,399,296,695,,,
"",,,Total:-,,,,864,636,1500,2,1,3
53,53-Govt. Boys P/S Banbu (Combined)(P),Bambu.,184010303,,,,676,530,1206,,,
"",,Bharowal,184010309,,,,328,228,556,,,
"",,,Total:-,,,,1004,758,1762,2,2,4
54,"54-Govt. Boys Elementry School , Dusri.(Combined)(P)",Dusri,184010304,,,,594,456,1050,,,
"",,Dusri,184010305,,,,351,301,652,,,
"",,,Total:-,,,,945,757,1702,2,2,4
55,"55-Govt. Girls P/S Riba Kalan.(Combined)(P)",Raiba Kalan.,184010306,,,,547,372,919,,,
"",,Raiba Kalan.,184010307,,,,508,363,871,,,
"",,,Total:-,,,,1055,735,1790,2,2,4
56,"56-Govt. BOYS P/S Kaiyan.(Combined)(P)",Kaiyan,184010308,,,,601,437,1038,,,
"",,Riba Chakla.,184010310,,,,280,163,443,,,
"",,,Total:-,,,,881,600,1481,2,1,3
57,"57-Govt. Boys Elementry SchoolKhanowal. (Male)(P)",Khanowal,184010401,,,,460,,460,,,
"",,Khanowal,184010402,,,,677,,677,,,
"",,,Total:-,,,,1137,,1137,2,,2
58,"58-Govt Boys Elementry SchoolKhanowal. (Female)(P)",Khanowal,184010401,,,,,380,380,,,
"",,Khanowal,184010402,,,,,503,503,,,
59,"59-Govt. Boys P/S Hansowala.(Combined)(P)",Hansowala,184010403,,,,648,427,1075,,,
"",,Hansowala,184010404,,,,329,216,545,,,
"",,,Total:-,,,,977,643,1620,2,1,3
60,"60-Govt. Girls Community Model SchoolBasra Jala. (Combined)(P)",Basra Jala.,184010405,,,,837,546,1383,,,
"",,Basra Jala.,184010407,,,,96,87,183,,,
"",,Weeru Wali,184010408,,,,431,307,738,,,
"",,,Total:-,,,,1364,940,2304,2,1,3
61,"61-Govt. Boys  P/S Basra Jala.(Combined)(P)",Basra Jala.,184010406,,,,563,381,944,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,563,381,944,1,1,2
62,"62-Govt Boys P/S Phalwari.(Combined)(P)",Phalwari,184010501,,,,560,505,1065,,,
"",,Phalwari,184010502,,,,437,376,813,,,
"",,,Total:-,,,,997,881,1878,2,2,4
63,"63-Govt Girls  P/S Taira Gujran.(Combined)(P)",Chak Beeka.,184010503,,,,285,233,518,,,
"",,Taira Gujran.,184010504,,,,602,411,1013,,,
"",,,Total:-,,,,887,644,1531,2,1,3
64,"64-Govt. Girls P/S Jhajwana.(Combined)(P)",Jhajwana,184010505,,,,501,403,904,,,
"",,Dheedowal.B.C.,184011003,,,,27,15,42,,,
"",,,Total:-,,,,528,418,946,1,1,2
65,"65-Govt. Girls P/S shani brahimana.(Combined)(P)",Chhani Barhamna,184010508,,,,420,293,562,,,
"",,Jatwal Gujran,184010506,,,,309,216,525,,,
