"PollingStationSerial No",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
154,"108Govt:Boys Middle School, 15/SP    (Male)",Chak 15/SP,210010301,479,0,479,2,0,2
"",,Chak 15/SP,210010302,394,0,394,,,
155,Govt: Girls Middle School 15/SP   (Female),Chak 15/SP,210010301,0,413,413,0,3,3
Chak 15/SP,210010302,0,293,293,,,,,
Chak 15/SP,210010303,0,326,326,,,,,
Chak 15/SP,210010304,0,193,193,,,,,
Chak 15/SP,210010305,0,241,241,,,,,
Chak 1/KB,210010309,670,493,1163,,,,,
157,"Govt:Boys Primary School, Rehmoo Kay       (Male)",Chak 1/KB,210010311,321,0,321,2,0,2
"",,Chak 1/KB,210010312,203,0,203,,,
"",,Rehmoon Kay,210010313,580,0,580,,,
158,"Govt:Boys Primary School, Rehmoo Kay    (Female)",Chak 1/KB,210010311,0,216,216,0,2,2
"",,Chak 1/KB,210010312,0,142,142,,,
"",,Rehmoon Kay,210010313,0,433,433,,,
159,Govt:Boys Primary School 14/SP      (Male),chak 14/SP,210010306,600,0,600,2,0,2
"",,chak 14/SP,210010307,484,0,484,,,
"",,chak 14/SP,210010308,104,0,104,,,
160,Govt:Boys Primary School 14/SP                  (Female),chak 14/SP,210010306,0,495,495,0,2,2
"",,chak 14/SP,210010307,0,399,399,,,
"",,chak 14/SP,210010308,0,77,77,,,
161,Govt:Boys Primary School 18/SP East             (Combined),Chak 18/SP,210080801,337,214,551,2,1,3
"",,Chak 18/SP,210080802,481,336,817,,,
162,Govt:Boys Primary School 18/SP West              (Combined),Chak 18/SP,210080803,319,213,532,1,1,2
"",,Chak 18/SP,210080804,395,222,617,,,
163,Govt:Boys Primary School 25/SP                      (Combined),Chak 25/SP,210080805,472,328,800,2,1,3
"",,Dhamiana,210080808,265,196,461,,,
164,Govt: Girls Primary School 25/SP   (Male),Chak 25/SP,210080806,564,0,564,2,0,2
"",,Chak 25/SP,210080807,436,0,436,,,
165,Govt: BoysPrimary School 25/SP                 (Female),Chak 25/SP,210080806,0,395,395,0,2,2
"",,Chak 25/SP,210080807,0,320,320,,,
166,Govt:Boys Primary School Gurditta             (Combined),Gurditta,210080601,277,195,472,1,1,2
"",,Gurditta,210080602,292,212,504,,,
167,Govt: Boys  Primary School Talib Ali             (Combined),Talib Ali,210080603,130,111,241,1,1,2
168,Govt:Boys Primary School Patasa             (Combined),Patasa,210080604,526,369,895,2,1,3
"",,Nehla Abad,210080605,285,191,476,,,
169,"Govt:Boys High School, 27/SP     (Male)",Chak 27/SP,210080610,364,0,364,2,0,2
Chak 27/SP,210080611,280,0,280,,,,,
Chak 27/SP,210080612,104,0,104,,,,,
Chak 27/SP,210080613,252,0,252,,,,,
Chak 27/SP,210080614,185,0,185,,,,,
Chak 27/SP,210080610,0,327,327,,,,,
Chak 27/SP,210080611,0,195,195,,,,,
Chak 27/SP,210080612,0,89,89,,,,,
"",,Chak 27/SP,210080614,0,164,164,,,
171,"Govt:Boys Primary School, Amar Singh          (Combined)",Chak Amar Singh,210080608,377,260,637,1,1,2
Chak Amar Singh,210080609,178,109,287,,,,,
"Mehmood Pur Babianwala",210080606,349,205,554,,,,,
"PollingStationSerial No",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths"
1,"Govt Boys High School Colony Area, Pakpattan (Male)","Kachari Road/ FaridNagar/ Depal Pur Road.",210100104,450,0,450,2,0,2
"Kachari Road/ FaridNagar/ Depal Pur Road.",210100108,214,0,214,,,,,
"Kachari Road/ FaridNagar/ Depal Pur Road.",210100109,524,0,524,,,,,
"Kachari Road/ FaridNagar/ Depal Pur Road.",210100110,786,0,786,,,,,
"Kachari Road/ FaridNagar/Depal Pur Road.",210100104,0,441,441,,,,,
"Kachari Road/ FaridNagar/ Depal Pur Road.",210100108,0,205,205,,,,,
"Kachari Road/ FaridNagar/ Depal Pur Road.",210100109,0,380,380,,,,,
3,"Govt: Boys High School Colony Area, Pakpattan (Male)","Mohallah Green Town-1",210100101,266,0,266,2,0,2
"",,"Mohallah Green Town-2",210100102,127,0,127,,,
"",,"Canal Colony/ OfficerColony",210100103,131,0,131,,,
4,"Govt:Girls High School, Colony  Area, Pakpattan  West(Female)","Mohallah Green Town-1",210100101,0,209,209,0,2,2
"",,"Mohallah Green Town-2",210100102,127,116,243,,,
"",,"Canal Colony/ OfficerColony",210100103,131,126,257,,,
5,"Govt:Boys Primary School, Madayshah  (Combined)","Pul 19-SP ,  JamalChowk/ Maday shah",210100107,455,373,828,1,1,2
6,"Tehsil Office, Basti Aslam Noai East                 (Male)","Ganj shakar Colony/Railway Road, KachariRoad.",210100105,320,0,320,2,0,2
"",,"Ganj shakar Colony/Railway Road, KachariRoad.",210100111,339,0,339,,,
"",,"Ganj shakar Colony/Railway Road, KachariRoad.",210100112,370,0,370,,,
7,"Govt:Girls Primary School, Basti Aslam Noai (Female)","Ganj shakar Colony/Railway Road, KachariRoad.",210100105,0,257,257,0,2,2
"Ganj shakar Colony/Railway Road, KachariRoad.",210100111,0,279,279,,,,,
"Ganj shakar Colony/Railway Road, KachariRoad.",210100112,0,274,274,,,,,
Basti Aslam Nowi,210100202,426,0,426,,,,,
Basti Aslam Nowi,210100209,315,0,315,,,,,
8,"Tehsil Office, Basti Aslam Noai East                 (Male)","ShaheedNaghar/Railway LocoShed/Basti Bagy Shah.",210100212,342,0,342,3,0,3
9,"Govt:Girls Primary School, Basti Aslam Noai (Female)",Basti Aslam Nowi,210100202,0,349,349,0,3,3
"",,Basti Aslam Nowi,210100209,0,268,268,,,
"",,Basti Aslam Nowi,210100210,0,613,613,,,
"",,"Shaheed Naghar/Railway Loco Shed/Basti Bagy Shah.",210100212,0,344,344,,,
10,"Tehsil Office, Basti Aslam Noai West                 (Male)","ShaheedNaghar/Railway LocoShed/Basti Bagy Shah.",210100203,623,0,623,4,0,4
"",,"ShaheedNaghar/Railway LocoShed/Basti Bagy Shah.",210100211,773,0,773,,,
"",,"ShaheedNaghar/Railway LocoShed/Basti Bagy Shah.",210100213,661,0,661,,,
11,"Govt:Boys Primary School, Basti Aslam Noai (Female)","Shaheed Naghar/Railway Loco Shed/Basti Bagy Shah.",210100203,0,886,886,0,4,4
"",,"Shaheed Naghar/Railway Loco Shed/Basti Bagy Shah.",210100211,0,431,431,,,
"",,"Shaheed Naghar/Railway Loco Shed/Basti Bagy Shah.",210100213,0,328,328,,,
12,"Govt:Boys Primary School, Basti Aslam Noai (Female)","Ali Block, Mansoora",210100201,0,291,291,0,1,1
"",,"Ali Block, Mansoora",210100208,0,165,165,,,
13,"Tehsil Office, Basti Aslam Noai West                 (Male)","Ali Block,Mansoora",210100201,413,0,413,2,0,2
"Ali Block,Mansoora",210100208,200,0,200,,,,,
15,Govt: Girls College for Women West  (Female),"Kachari Road/Depalpur Road.",210100106,0,401,401,0,2,2
16,"Govt:Boys Primary School, Basti Azizabad East (Male)","Mandi Mord/Rahmatpura/Azizabad/Androon GridStation.",210100205,862,0,862,2,0,2
17,Govt:Boys Primary School Basti Aziz abad West  (Female),"Mandi Mord/Rahmatpura/Azizabad/Androon GridStation.",210100205,0,679,679,0,2,2
18,"Govt. Secondary School. (Special Education) (BarayMuttasra Smaat) 37/SP Road Pakpattan East     (Male)","Muhammad Nagar/Rehmat Pura/Mohallah Nizamia/Nasirabad/ Sharif Pura.",210100206,435,0,435,3,0,3
"Muhammad Nagar/Rehmat Pura/Mohallah Nizamia/Nasirabad/ Sharif Pura.",210100214,595,0,595,,,,,
"Muhammad Nagar/Rehmat Pura/Mohallah Nizamia/Nasirabad/ Sharif Pura.",210100215,440,0,440,,,,,
"Muhammad Nagar/Rehmat Pura/Mohallah Nizamia/Nasirabad/ Sharif Pura.",210100206,0,438,438,,,,,
"",,"Muhammad Nagar/Rehmat Pura/Mohallah Nizamia/Nasirabad/ Sharif Pura.",210100215,0,372,372,,,
20,"(12)Govt. Secondary School. (Special Education) (BarayMuttasra Smaat) 37/SP Road Pakpattan East    (Male)","Basti Mehr Chiragh/Jamil Colony/Nadrabad/ BihariColony",210100207,615,0,615,2,0,2
21,"(13)Govt.Secondary School. (Special Education) (BarayMuttasra Smaat) 37/SP Road Pakpattan West   (Female)","Basti Mehr Chiragh/Jamil Colony/Nadrabad/ BihariColony",210100207,0,535,535,0,2,2
22,"Govt:Girls Primary School, Basti Girja Ghar East(Male)","Khan Pura/KachariRoad/Railway Phatak.",210100204,757,0,757,2,0,2
23,"Govt:Girls Primary School, Basti Girja Ghar West   (Female)","Khan Pura/KachariRoad/Railway Phatak.",210100204,0,631,631,0,2,2
24,"Office of the SDO.WAPDA Depalpur Road, Pak.   (Male)","Islam Colony/ HaiderColony",210100303,375,0,375,2,0,2
"",,"Islam Colony/ HaiderColony",210100308,546,0,546,,,
"",,"Islam Colony/ HaiderColony",210100309,337,0,337,,,
25,"office of the XEN Wapda, Depalpur Road, Pakpattan(Female)","Islam Colony/ HaiderColony",210100303,0,323,323,0,2,2
"Islam Colony/ HaiderColony",210100308,0,447,447,,,,,
"Islam Colony/ HaiderColony",210100309,0,316,316,,,,,
26,"Office of the SDO.WAPDA Depalpur Road, Pak.   (Male)","Ghulshan Colony/ IslamColony/MohallahSamadan Wala",210100302,409,0,409,2,0,2
"",,"Ghulshan Colony/ IslamColony/MohallahSamadan Wala",210100307,374,0,374,,,
27,"office of the XEN Wapda, Depalpur Road, Pakpattan(Female)","Ghali Hafizan wali/Railway Colony/ AqabWapda",210100301,0,221,221,0,2,2
"",,"Ghulshan Colony/ IslamColony/MohallahSamadan Wala",210100302,0,259,259,,,
"",,"Ghulshan Colony/ IslamColony/MohallahSamadan Wala",210100307,0,397,397,,,
28,"Office of the Market  Committee, Pakpattan  (East)    (Male)","Islam Colony/ RailwayRoad/Moh: Tahli wala",210100304,479,0,479,3,0,3
"Moh:Tahli wala/ GhaliNadra Khanwali,Koknaya Wala",210100305,587,0,587,,,,,
"Moh:Tahli wala/ GhaliNadra Khanwali,Koknaya Wala",210100311,346,0,346,,,,,
"Islam Colony/ RailwayRoad/Moh: Tahli wala",210100304,0,377,377,,,,,
"Moh:Tahli wala/ GhaliNadra Khanwali,Koknaya Wala",210100305,0,578,578,,,,,
30,"Govt:Boys High School, Urban Area, Pakpattan East(Male)",Islam Colony,210100401,825,0,825,2,0,2
"",,Islam Colony,210100407,421,0,421,,,
31,"Govt:Boys High School, Urban Area,Pakpattan West(Female)",Islam Colony,210100401,0,695,695,0,2,2
"",,Islam Colony,210100407,0,354,354,,,
32,"(20)Govt:Boys High School, Urban Area, Pakpattan East(Combined)","Pir Karyan/ IslamColony",210100402,599,512,1111,2,2,4
33,"Govt: MC.Boys Primary School, Pir Karyian East       (Male)","Railway Road/ PirKaryan 2",210100403,507,0,507,3,0,3
"",,"Railway Road/ PirKaryan 3",210100408,329,0,329,,,
"",,Pir Karyan-3,210100404,607,0,607,,,
34,"Govt:MC Boys Primary School,Pir Karyian  West  (Female)","Railway Road/ PirKaryan 2",210100403,0,402,402,0,2,2
"",,"Railway Road/ PirKaryan 3",210100408,0,311,311,,,
"",,Pir Karyan-3,210100404,0,506,506,,,
35,"(23)Govt:MC Boys Primary School,Pir Karyian  West(Combined)",Mohallah Pir  Karyan-4,210100405,311,284,595,2,2,4
"",,Mohallah Pir   Karyan-5,210100406,526,444,970,,,
36,"Govt:MC Boys Middle School, No.2 Pakpattan, East(Male)","Ghalllah Mandi /TahliWala",210100306,419,0,419,2,0,2
"",,"Ghalllah Mandi /TahliWala",210100310,979,0,979,,,
37,"Govt: MC.Girls  High School, No.2 Pakpattan East  (Female)","Ghalllah Mandi /TahliWala",210100306,0,449,449,0,3,3
"",,"Ghalllah Mandi /TahliWala",210100310,0,793,793,,,
38,"(24)Govt:MC Boys Middle School, No.2 Pakpattan, East(Combined)",Mohallah Ghalla Mandi,210110501,276,246,522,1,1,2
"Karkhana HajiKhurshed -1",210110502,533,0,533,,,,,
"Karkhana HajiKhurshad-2",210110503,257,0,257,,,,,
40,"Govt: MC.Girls  High School, No.2 Pakpattan West(Female)","Karkhana HajiKhurshed -1",210110502,0,467,467,0,2,2
"",,"Karkhana HajiKhurshad-2",210110503,0,243,243,,,
"",,"Kachiabadi Hajikhurshad .",210110504,0,416,416,,,
41,"Office of the Social Welfare Office,  Pir Kot Road, PakpattanEast  (Combined)","Meer Baz Khan/Mohallah Saeed Jalal",210100501,452,370,822,2,2,4
"",,"Mohallah Pir Karyan/Mohallah Saeed Jalal",210100502,424,326,750,,,
42,(28)Govt: Boys Primary School Pir kot               (Male),"Pir Karyan and Others,",210100503,645,0,645,2,0,2
"",,Pir Karyan,210100504,359,0,359,,,
43,Govt: Boys Primary School Pir kot (Female),"Pir Karyan and Others,",210100503,0,498,498,0,2,2
"",,Pir Karyan,210100504,0,302,302,,,
44,"Govt: MC Girls Primary School, Pir Kot, East        (Male)",Nai Abadi Pir Kot,210100705,264,0,264,2,0,2
"",,Mohallah Pir Kot,210100706,853,0,853,,,
45,"Govt: MC Girls Primary School, Pir Kot, West (Female)",Nai Abadi Pir Kot,210100705,0,202,202,0,2,2
"",,Mohallah Pir Kot,210100706,0,666,666,,,
46,"Nursing School, Hota Road, Pakpattan East     (Male)",Hassan Pura Bai Pass,210110403,192,0,192,2,0,2
"",,"Mohallah Farid Abad/Nai  Abadi Pir Sultan",210110405,217,0,217,,,
"",,Mohallah Farid Abad,210110406,240,0,240,,,
47,"Nursing School,Hota Road, Pakpattan  West (Female)",Hassan Pura Bai Pass,210110403,0,174,174,0,2,2
"Mohallah Farid Abad/Nai  Abadi Pir Sultan",210110405,0,170,170,,,,,
Mohallah Farid Abad,210110406,0,163,163,,,,,
"Jhajraran Wala/Mohallah Basharat/Machli Chowk.",210100701,410,0,410,,,,,
49,(34)Govt: Girls City High School (Middle protion)   (Male),"Mohallah Saeed abad/Purni Mall Mandi/Gulzarabad",210100702,658,0,658,2,0,2
"",,"Mohallah Saeed abad/Purni Mall Mandi/Gulzarabad",210100708,389,0,389,,,
50,"Govt: Girls City High School West, Pakpattan   (High Portion(Female)","Jhajraran Wala/Mohallah Basharat/Machli Chowk.",210100701,0,357,357,0,3,3
"",,"Jhajraran Wala/Mohallah Basharat/Machli Chowk.",210100707,0,355,355,,,
"",,"Mohallah Saeed abad/Purni Mall Mandi/Gulzarabad",210100702,0,539,539,,,
"",,"Mohallah Saeed abad/Purni Mall Mandi/Gulzarabad",210100708,0,342,342,,,
51,Govt:Boys Middle School Sufia Abad            (Male),Mohallah Sufiabad,210100604,223,0,223,3,0,3
"",,Mohallah Sufiabad,210100607,363,0,363,,,
"",,Mohallah Sufiabad,210100608,376,0,376,,,
"",,Mohallah Sufiabad,210100609,354,0,354,,,
"",,Mohallah Sufiabad,210100612,373,0,373,,,
52,Govt:Boys Middle School Sufia Abad               (Female),Mohallah Sufiabad,210100604,0,184,184,0,2,2
Mohallah Sufiabad,210100607,0,356,356,,,,,
Mohallah Sufiabad,210100608,0,307,307,,,,,
Mohallah Sufiabad,210100609,0,315,315,,,,,
Mohallah Sufiabad,210100612,0,216,216,,,,,
"Pir Sulatan / Busharat/Karam Pura",210100602,265,0,265,,,,,
"Pir Sulatan / Busharat/Karam Pura",210100605,153,0,153,,,,,
"",,"Pir Sulatan / Busharat/Karam Pura",210100610,295,0,295,,,
"",,"Pir Sulatan / Busharat/Karam Pura",210100611,165,0,165,,,
54,"Govt:Girls High School,Old Tehsil Road,Pakpattan North(Female)","Pir Sulatan / Busharat/Karam Pura",210100602,0,196,196,0,3,3
"",,"Pir Sulatan / Busharat/Karam Pura",210100605,0,122,122,,,
"",,"Pir Sulatan / Busharat/Karam Pura",210100606,0,411,411,,,
"",,"Pir Sulatan / Busharat/Karam Pura",210100610,0,300,300,,,
"",,"Pir Sulatan / Busharat/Karam Pura",210100611,0,91,91,,,
55,"Govt: Girls City High School , Pakpattan   (Middle Portion(Combined)","Chok Chati Kabar/Mohallah Busharat",210100601,240,218,458,1,1,2
"",,"Shahad Naghar/ PuranaThana",210100603,303,234,537,,,
56,"Govt.Boys High School, Sahiwal Road, Pakpattan East(Male)","Eid Gah-1/General BusStand",210110101,203,0,203,3,0,3
"",,Eid Gah-2,210110104,638,0,638,,,
"",,Eid Gah-3,210110105,547,0,547,,,
57,"Govt.Boys High School, Sahiwal Road,Pakpattan  West(Female)","Eid Gah-1/General BusStand",210110101,0,187,187,0,2,2
Eid Gah-2,210110104,0,525,525,,,,,
Eid Gah-3,210110105,0,472,472,,,,,
Sahiwal Raod Eid Gah,210110102,448,0,448,,,,,
"",,Eid Gah-4,210110106,214,0,214,,,
59,"Govt.Boys High School, Sahiwal Road,Pakpattan  South(Female)",Sahiwal Raod Eid Gah,210110102,0,416,416,0,2,2
"",,Sahiwal Raod Eid Gah,210110103,0,208,208,,,
"",,Eid Gah-4,210110106,0,178,178,,,
60,"Office of the Excise & Taxation, Sahiwal Road, PakpattanEast     (Male)","Eid Gah/ Aziz MakiChowk/ Town Hall",210110201,594,0,594,3,0,3
"",,Eid Gah-5,210110202,183,0,183,,,
"",,"Mohallah ChahaDuhatta",210110302,538,0,538,,,
61,"Office of the Excise & Taxation, Sahiwal Road, PakpattanWest       (Female)","Eid Gah/ Aziz MakiChowk/ Town Hall",210110201,0,572,572,0,2,2
"",,Eid Gah-5,210110202,0,152,152,,,
"",,"Mohallah ChahaDuhatta",210110302,0,453,453,,,
62,Arif Memorial Middle School (PEF)            (Combined),ZafarAbad,210110303,490,422,912,2,2,4
"",,"Hussan Pura / Cha.Duhatta/ Karm Pura",210110304,446,387,833,,,
63,ACPS Public School (PEF) Hussan Pura             (Male),"Hussan Pura/Cha.Duhatta/ KarmPura",210110305,466,0,466,2,0,2
"",,Nai Abadi Hussan Pura,210110402,535,0,535,,,
64,ACPS Public School (PEF) Hussan Pura             (Female),"Hussan Pura/Cha.Duhatta/ KarmPura",210110305,0,456,456,0,2,2
Nai Abadi Hussan Pura,210110402,0,440,440,,,,,
"Khawja Aziz Maki/Kameer Raod",210110203,343,0,343,,,,,
"ZafarAbad/ KameerRoad",210110204,402,0,402,,,,,
66,"Govt: MC Boys High School, No.1 near Darbar, PakpattanNorth    (Female)","Khawja Aziz Maki/Kameer Raod",210110203,0,248,248,0,2,2
"",,"ZafarAbad/ KameerRoad",210110204,0,336,336,,,
"",,"Fawara Chowk /Machili Chowk/Shaheedi Bazar",210110904,0,238,238,,,
67,"Govt:M.C Boys Primary School, near Kabir Chungi,Pakpattan      (Combined)","Mohallah Hassan Pura/Islam Colony",210110401,529,455,984,2,2,4
"",,Hussan Pura,210110404,504,388,892,,,
68,Govt:Faridia College for Boys Pakpattan (East) (Male),Inam Abad-1,210110601,390,0,390,3,0,3
"",,"Inam Abad-2 oppositeHospital",210110602,513,0,513,,,
"",,Smadhan  wala,210110604,172,0,172,,,
"",,"Mohallah Kokna Wala /Smadhan wala/ GaliDr.Abdul Rab Wali",210110701,308,0,308,,,
69,"Govt:Faridia College for Boys Pakpattan (West)(Female)",Inam Abad-1,210110601,0,342,342,0,2,2
"",,"Inam Abad-2 oppositeHospital",210110602,0,472,472,,,
"",,Smadhan  wala,210110604,0,150,150,,,
"",,"Mohallah Kokna Wala /Smadhan wala/ GaliDr.Abdul Rab Wali",210110701,0,308,308,,,
70,"Govt:  Fazil ka Islmia Boys High School, Pakpattan East(Male)","Shahdab Colony/Smadhan wala",210110505,361,0,361,3,0,3
"Shahdab Colony/Smadhan wala",210110506,348,0,348,,,,,
"Inam Abad/SahiwalRoad near NageenaChowk",210110603,281,0,281,,,,,
"Mohallah Smadhanwala",210110702,246,0,246,,,,,
71,"Govt:  Fazil ka Islmia Boys High School, Pakpattan West(Female)","Shahdab Colony/Smadhan wala",210110506,0,293,293,0,2,2
"",,"Inam Abad/SahiwalRoad near NageenaChowk",210110603,0,243,243,,,
"",,"Mohallah Smadhanwala",210110702,0,263,263,,,
72,Office of the  Tehsil Council Pakpattan East  (Male),"Dhaki , KachaBurj,Purani SabziMandi",210110801,584,0,584,2,0,2
"",,Kacha Burj,210110802,252,0,252,,,
73,Office of the  Tehsil Council Pakpattan West  (Female),"Dhaki , KachaBurj,Purani SabziMandi",210110801,0,403,403,0,2,2
"",,Kacha Burj,210110802,0,182,182,,,
74,Govt:Faridia College for Boys Pakpattan  North   (Male),"Smadhan wala/ GollSark/Gali Dr.TanweerWali",210110703,555,0,555,2,0,2
"",,"Smadhan wala/Circular Road",210110704,639,0,639,,,
75,Govt:Faridia College for Boys Pakpattan  South  (Female),"Smadhan wala/ GollSark/Gali Dr.TanweerWali",210110703,0,486,486,0,2,2
"",,"Smadhan wala/Circular Road",210110704,0,595,595,,,
76,"Govt:MC.Boys High School, No.1 near Darbar, PakpattanEast    (Male)","Androon SheheedGate/ Cha JhajjranWala",210100704,535,0,535,4,0,4
"Mohallah Cha Dhota /Purana Town Hall",210110301,566,0,566,,,,,
"Badar Diwan/ AndroonRehmon Gate.",210110902,401,369,770,,,,,
77,"Govt:MC.Boys High School No.1 near Darbar, PakpattanWest    (Female)","Mohallah Cha Dhota /Purana Town Hall",210110301,0,512,512,0,3,3
"",,"Badar Diwan/ AndroonRehmon Gate.",210110902,0,369,369,,,
78,"Govt:MC Girls Middle School, Circular  Road, PakpattanEast    (Male)","Dhaki Baba Farid nearNageena Chowk",210100703,268,0,268,2,0,2
"",,"Mohallah Badar Dewan/ Sahiwal Road",210110803,297,0,297,,,
"",,"Dhaki/ Mohallah BadarDewan",210110804,422,0,422,,,
79,"Govt:MC Girls Middle School, Circular  Road, PakpattanWest  (Female)","Dhaki Baba Farid nearNageena Chowk",210100703,0,252,252,0,2,2
"",,"Mohallah Badr Dewan/ Sahiwal Road",210110803,0,232,232,,,
"",,"Dhaki/ Mohallah BadarDewan",210110804,0,329,329,,,
80,"(59)Govt:MC Girls Middle School, Circular  Road, PakpattanEast   (Combined)",Mir Baz Dhaki,210110901,424,366,790,2,2,4
"",,"Town Hall/ RahmanMasjid/ Fawara Chowk.",210110903,389,319,708,,,
81,Govt.Girls Primary School Tiba Sher Kot       (Male),Pakpattan Rural,210100803,521,0,521,3,0,3
"",,Pakpattan Rural,210100805,494,0,494,,,
"",,Pakpattan Rural,210100806,118,0,118,,,
"",,Pakpattan Rural,210100505,275,0,275,,,
"",,Pakpattan Rural,210100506,35,0,35,,,
"",,Pakpattan Rural,210100807,95,0,95,,,
82,(61)Govt.Girls Primary School Tiba Sher Kot (Female),Pakpattan Rural,210100803,0,387,387,0,2,2
Pakpattan Rural,210100805,0,430,430,,,,,
Pakpattan Rural,210100806,0,79,79,,,,,
Pakpattan Rural,210100505,0,237,237,,,,,
Pakpattan Rural,210100506,0,37,37,,,,,
Pakpattan Rural,210100807,0,69,69,,,,,
Pakpattan Rural,210111003,253,175,428,,,,,
"",,Pakpattan Rural,210100804,198,158,356,,,
84,"Govt:Boys Primary School, Khairabad   (Combined)",Pakpattan Rural,210111005,155,100,255,1,1,2
"",,Pakpattan Rural,210111006,373,269,642,,,
85,Govt:Girls Primary School Soma            (Combined),Pakpattan Rural,210111001,507,368,875,2,1,3
"",,Pakpattan Rural,210111002,272,224,496,,,
86,Govt:Boys Primary School Basti Ghous Nagar  (Male),Pakpattan Rural,210111004,158,0,158,2,0,2
"",,Pakpattan Rural,210111007,301,0,301,,,
"",,Pakpattan Rural,210100801,533,0,533,,,
87,Govt:Boys Primary School Basti Ghous Nagar (Female),Pakpattan Rural,210111004,0,114,114,0,2,2
"",,Pakpattan Rural,210111007,0,231,231,,,
"",,Pakpattan Rural,210100801,0,458,458,,,
88,"Govt:Boys Middle School, 19/SP   (Male)","Chak 19/SP/ BastiRoshan Pura/ BaryanWala Khu.",210020108,631,0,631,2,0,2
"",,Chak 19/SP,210020109,775,0,775,,,
89,"(74)Govt:Boys Middle School, 19/SP             (Female)","Chak 19/SP/ BastiRoshan Pura/ BaryanWala Khu.",210020108,0,431,431,0,2,2
"",,Chak 19/SP,210020109,0,564,564,,,
90,"Govt:Girls Primary School, 19/SP           (Combined)",Chak 19/SP,210020110,274,200,474,2,2,4
"",,Chak 19/SP,210020111,415,328,743,,,
"",,Chak 19/SP,210020112,234,163,397,,,
91,"Govt:Girls High School,          37/SP   (Male)","Chak 37/SP/ Farid CityHousing Scheme/AbadiHassan Baitu/ BastiMadhy Shah.",210020101,354,0,354,2,0,2
"",,Chak 37/SP,210020102,291,0,291,,,
"",,Chak 37/SP,210020113,299,0,299,,,
92,"(76)Govt:Girls High School,          37/SP           (Female)","Chak 37/SP/ Farid CityHousing Scheme/AbadiHassan Baitu/ BastiMadhy Shah.",210020101,0,278,278,0,2,2
Chak 37/SP,210020102,0,269,269,,,,,
Chak 37/SP,210020113,0,258,258,,,,,
93,"Govt:Boys High School, 37/SP              (Combined)","Chak 37/SP/ IshaqNagar.",210020104,431,350,781,2,1,3
94,"Govt:Boys Primary School, Tibba  Nanak Sar  (Combined)","Chak 37/SP / TibaNanak Sar.",210020107,664,473,1137,1,1,2
95,"Govt:Boys Primary School, Rasool Pur         (Combined)","Chak 37/SP / RashoolPur/ Tiba Inyat Shah.",210020105,400,281,681,2,1,3
"",,"Chak 37/SP / RashoolPur/ Tiba Inyat Shah.",210020106,493,401,894,,,
96,"Govt""DPS, Malik Pur  Hota Road,            (Combined)","Malik Pur/ Kot KhudaBhush",210020201,112,85,197,1,1,2
"",,Malik Pur,210020202,68,47,115,,,
"",,Malik Pur,210020203,64,52,116,,,
"",,Malik Pur,210020204,418,314,732,,,
97,"Govt: Boys Primary School, Malik Pur,    (Male)",Malik Pur,210020205,221,0,221,2,0,2
"",,Malik Pur,210020219,201,0,201,,,
"",,Malik Pur,210020206,278,0,278,,,
"",,Malik Pur,210020210,224,0,224,,,
"",,Malik Pur,210020211,296,0,296,,,
98,"(81)Govt: Boys Primary School, Malik Pur,   (Female)",Malik Pur,210020205,0,168,168,0,2,2
"",,Malik Pur,210020219,0,155,155,,,
"",,Malik Pur,210020206,0,223,223,,,
"",,Malik Pur,210020210,0,173,173,,,
"",,Malik Pur,210020211,0,234,234,,,
99,"Govt:Boys Primary School, Ali Kamal ( Male)",Malik Pur,210020207,267,0,267,2,0,2
"",,Malik Pur,210020208,364,0,364,,,
"",,Malik Pur,210020209,531,0,531,,,
100,"Govt:Girls Primary School, Malik Pur           (Female)",Malik Pur,210020207,0,206,206,0,2,2
"",,Malik Pur,210020208,0,276,276,,,
"",,Malik Pur,210020209,0,441,441,,,
101,"Govt:Boys Primary School, Dhakku Chishti   (Combined)",Dhakku Chishti,210020212,431,350,781,2,2,4
"",,Dhakku Chishti,210020213,512,394,906,,,
102,"Govt:Girls High School, Adda Kot Dewan Hotta Road(Combined)",Dhakku Chishti,210020214,279,161,440,1,1,2
Chak 2/KB,210020215,639,552,1191,,,,,
Chak 2/KB,210020216,200,172,372,,,,,
Chak 4/KB,210020217,62,66,128,,,,,
104,"Govt:Boys Middle School, Pacca  Sidhar     (Male)",Khamba Dogar,210020304,296,0,296,2,0,2
"",,Pakka Sidhar,210020401,377,0,377,,,
"",,Pakka Sidhar,210020402,437,0,437,,,
105,"Govt:Boys Middle School, Pacca  Sidhar        (Female)",Khamba Dogar,210020304,0,189,189,0,2,2
"",,Pakka Sidhar,210020401,0,218,218,,,
"",,Pakka Sidhar,210020402,0,443,443,,,
106,"Govt:Girls Primary School, Pakka  Sidha    (Combined)",Pakka Sidhar,210020403,326,240,566,1,1,2
"",,Pakka Sidhar,210020404,378,313,691,,,
107,Govt Boys Middle School Pakka Sidhar         (Combined),Pakka Sidhar,210020405,447,305,752,1,1,2
"",,Pakka Sidhar,210020406,206,200,406,,,
